"","m","type","wave1","energy.level","price.level","age","gender","education","income.wave1","country","politcalorientation","Sum.policy.wave1","mean.abs.error.wave1","Sum.product","climate_concern.wave1","wave2","mean.abs.error.wave2","Sum.policy.wave2","Sum.product.wave2","climate_concern.wave2"
"1",227471319859444,"exp.int_che.hig",1,"1","2",73,"male","middle school","> 4'000€
>5'900 CHF","Germany",3,9,0.57,5,6,1,0.736,6,7,6
"2",227471319859444,"exp.int_mid.hig",1,"1","1",73,"male","middle school","> 4'000€
>5'900 CHF","Germany",3,9,0.57,5,6,1,0.736,6,7,6
"3",227471319859444,"exp.low_che.hig",1,"2","2",73,"male","middle school","> 4'000€
>5'900 CHF","Germany",3,9,0.57,5,6,1,0.736,6,7,6
"4",227471319859444,"exp.low_che.int",0,"1","2",73,"male","middle school","> 4'000€
>5'900 CHF","Germany",3,9,0.57,5,6,1,0.736,6,7,6
"5",227471319859444,"exp.low_mid.hig",1,"2","1",73,"male","middle school","> 4'000€
>5'900 CHF","Germany",3,9,0.57,5,6,1,0.736,6,7,6
"6",227471319859444,"mid.low_che.hig",1,"2","1",73,"male","middle school","> 4'000€
>5'900 CHF","Germany",3,9,0.57,5,6,1,0.736,6,7,6
"7",227471319859444,"mid.low_che.int",0,"1","1",73,"male","middle school","> 4'000€
>5'900 CHF","Germany",3,9,0.57,5,6,1,0.736,6,7,6
"8",227471319859447,"exp.int_che.hig",0,"1","2",64,"female","degree","<1'500- 2'499€
3'100-4'299CHF","Germany",5,4,0.421,1,6,0,0.526,4,1,6
"9",227471319859447,"exp.int_mid.hig",1,"1","1",64,"female","degree","<1'500- 2'499€
3'100-4'299CHF","Germany",5,4,0.421,1,6,0,0.526,4,1,6
"10",227471319859447,"exp.low_che.hig",0,"2","2",64,"female","degree","<1'500- 2'499€
3'100-4'299CHF","Germany",5,4,0.421,1,6,0,0.526,4,1,6
"11",227471319859447,"exp.low_che.int",0,"1","2",64,"female","degree","<1'500- 2'499€
3'100-4'299CHF","Germany",5,4,0.421,1,6,0,0.526,4,1,6
"12",227471319859447,"exp.low_mid.hig",0,"2","1",64,"female","degree","<1'500- 2'499€
3'100-4'299CHF","Germany",5,4,0.421,1,6,1,0.526,4,1,6
"13",227471319859447,"mid.low_che.hig",0,"2","1",64,"female","degree","<1'500- 2'499€
3'100-4'299CHF","Germany",5,4,0.421,1,6,0,0.526,4,1,6
"14",227471319859447,"mid.low_che.int",0,"1","1",64,"female","degree","<1'500- 2'499€
3'100-4'299CHF","Germany",5,4,0.421,1,6,0,0.526,4,1,6
"15",227471450945619,"exp.int_che.hig",1,"1","2",57,"female","degree","> 4'000€
>5'900 CHF","Switzerland",4,9,0.499,6,5.25,0,0.458,13,3,5
"16",227471450945619,"exp.int_mid.hig",1,"1","1",57,"female","degree","> 4'000€
>5'900 CHF","Switzerland",4,9,0.499,6,5.25,0,0.458,13,3,5
"17",227471450945619,"exp.low_che.hig",1,"2","2",57,"female","degree","> 4'000€
>5'900 CHF","Switzerland",4,9,0.499,6,5.25,1,0.458,13,3,5
"18",227471450945619,"exp.low_che.int",0,"1","2",57,"female","degree","> 4'000€
>5'900 CHF","Switzerland",4,9,0.499,6,5.25,0,0.458,13,3,5
"19",227471450945619,"exp.low_mid.hig",1,"2","1",57,"female","degree","> 4'000€
>5'900 CHF","Switzerland",4,9,0.499,6,5.25,1,0.458,13,3,5
"20",227471450945619,"mid.low_che.hig",1,"2","1",57,"female","degree","> 4'000€
>5'900 CHF","Switzerland",4,9,0.499,6,5.25,1,0.458,13,3,5
"21",227471450945619,"mid.low_che.int",1,"1","1",57,"female","degree","> 4'000€
>5'900 CHF","Switzerland",4,9,0.499,6,5.25,0,0.458,13,3,5
"22",227471450957862,"exp.int_che.hig",0,"1","2",41,"female","no formal education","> 4'000€
>5'900 CHF","Switzerland",4,0,1.74,1,3,0,1.08,4,0,5
"23",227471450957862,"exp.int_mid.hig",0,"1","1",41,"female","no formal education","> 4'000€
>5'900 CHF","Switzerland",4,0,1.74,1,3,0,1.08,4,0,5
"24",227471450957862,"exp.low_che.hig",0,"2","2",41,"female","no formal education","> 4'000€
>5'900 CHF","Switzerland",4,0,1.74,1,3,0,1.08,4,0,5
"25",227471450957862,"exp.low_che.int",0,"1","2",41,"female","no formal education","> 4'000€
>5'900 CHF","Switzerland",4,0,1.74,1,3,0,1.08,4,0,5
"26",227471450957862,"exp.low_mid.hig",1,"2","1",41,"female","no formal education","> 4'000€
>5'900 CHF","Switzerland",4,0,1.74,1,3,0,1.08,4,0,5
"27",227471450957862,"mid.low_che.hig",0,"2","1",41,"female","no formal education","> 4'000€
>5'900 CHF","Switzerland",4,0,1.74,1,3,0,1.08,4,0,5
"28",227471450957862,"mid.low_che.int",0,"1","1",41,"female","no formal education","> 4'000€
>5'900 CHF","Switzerland",4,0,1.74,1,3,0,1.08,4,0,5
"29",229166066768913,"exp.int_che.hig",0,"1","2",52,"male","no formal education","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,6,0.628,1,5,0,0.589,8,4,5.5
"30",229166066768913,"exp.int_mid.hig",0,"1","1",52,"male","no formal education","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,6,0.628,1,5,1,0.589,8,4,5.5
"31",229166066768913,"exp.low_che.hig",0,"2","2",52,"male","no formal education","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,6,0.628,1,5,0,0.589,8,4,5.5
