Gemeinde;Preise2022
Aeugst am Albis ;17,08
Affoltern am Albis ;17,08
Bonstetten ;17,08
Hausen am Albis ;17,08
Hedingen ;17,08
Kappel am Albis ;17,08
Knonau ;17,08
Maschwanden ;17,08
Mettmenstetten ;17,08
Obfelden ;17,08
Ottenbach ;17,08
Rifferswil ;17,08
Stallikon ;17,08
Wettswil am Albis ;17,08
Adlikon ;17,08
Benken (ZH) ;15,19
Berg am Irchel ;17,08
Buch am Irchel ;17,08
Dachsen ;17,08
Dorf ;17,08
Feuerthalen ;17,08
Flaach ;17,08
Flurlingen ;17,08
Andelfingen ;12,69
Henggart ;17,08
Humlikon ;17,08
Kleinandelfingen ;17,08
Laufen-Uhwiesen ;17,08
Marthalen ;17,47
Ossingen ;17,08
Rheinau ;17,08
Thalheim an der Thur ;17,08
Trüllikon ;17,08
Truttikon ;17,08
Volken ;17,08
Bachenbülach ;17,08
Bassersdorf ;17,08
Bülach ;17,08
Dietlikon ;19,6
Eglisau ;17,08
Embrach ;17,08
Freienstein-Teufen ;17,08
Glattfelden ;22,1
Glattfelden ;17,08
Hochfelden ;17,08
Höri ;17,08
Hüntwangen ;17,08
Kloten ;18
Lufingen ;17,08
Nürensdorf ;17,08
Oberembrach ;17,08
Opfikon ;19,31
Rafz ;17,08
Rorbas ;17,08
Wallisellen ;19,6
Wasterkingen ;17,08
Wil (ZH) ;17,08
Winkel ;17,08
Bachs ;17,08
Boppelsen ;17,08
Buchs (ZH) ;17,08
Dällikon ;17,08
Dänikon ;17,08
Dielsdorf ;17,08
Hüttikon ;17,08
Neerach ;17,08
Niederglatt ;17,08
Niederhasli ;17,08
Niederweningen ;17,08
Oberglatt ;19,52
Oberglatt ;17,08
Oberweningen ;17,08
Otelfingen ;16,96
Regensberg ;17,08
Regensdorf ;17,08
Rümlang ;19,42
Schleinikon ;17,08
Schöfflisdorf ;17,08
Stadel ;17,08
Steinmaur ;17,08
Weiach ;19,99
Bäretswil ;17,08
Bubikon ;17,08
Dürnten ;17,08
Dürnten ;17,57
Fischenthal ;17,08
Gossau (ZH) ;19,28
Gossau (ZH) ;17,08
Grüningen ;21,07
Hinwil ;17,08
Rüti (ZH) ;18,48
Seegräben ;17,08
Wald (ZH) ;19,94
Wetzikon (ZH) ;20,22
Adliswil ;17,08
Kilchberg (ZH) ;17,08
Langnau am Albis ;17,08
Oberrieden ;17,08
Richterswil ;17,08
Rüschlikon ;17,08
Thalwil ;17,08
Erlenbach (ZH) ;20,04
Herrliberg ;17,28
Hombrechtikon ;17,08
Küsnacht (ZH) ;19,32
Männedorf ;20
Meilen ;20,47
Oetwil am See ;17,08
Stäfa ;16,85
Uetikon am See ;20,82
Zumikon ;17,08
Zollikon ;20,44
Fehraltorf ;21,11
Hittnau ;17,08
Lindau ;19,3
Pfäffikon ;16,98
Russikon ;17,08
Weisslingen ;17,08
Wila ;17,08
Wildberg ;17,08
Dübendorf ;19,38
Egg ;17,08
Fällanden ;16,44
Greifensee ;17,08
Maur ;17,08
Mönchaltorf ;17,08
Schwerzenbach ;17,08
Uster ;18
Volketswil ;17,08
Wangen-Brüttisellen ;17,08
Wangen-Brüttisellen ;19,02
Altikon ;17,08
Brütten ;17,08
Dägerlen ;17,08
Dättlikon ;17,08
Dinhard ;17,08
Ellikon an der Thur ;17,08
Elsau ;18,27
Elsau ;17,08
Elsau ;18,08
Hagenbuch ;17,08
Hettlingen ;17,08
Neftenbach ;17,08
Pfungen ;17,08
Rickenbach (ZH) ;17,08
Schlatt (ZH) ;17,08
Seuzach ;17,08
Turbenthal ;17,08
Winterthur ;21,68
Zell (ZH) ;17,08
Aesch (ZH) ;17,08
Birmensdorf (ZH) ;17,08
Dietikon ;17,08
Geroldswil ;17,08
Oberengstringen ;17,08
Oetwil an der Limmat ;17,08
Schlieren ;17,08
Uitikon ;17,08
Unterengstringen ;17,08
Urdorf ;17,08
Weiningen (ZH) ;17,08
Zürich ;21,5
Stammheim ;17,08
Wädenswil ;17,08
Elgg ;17,08
Horgen ;17,81
Horgen ;17,08
Illnau-Effretikon ;17,08
Bauma ;17,08
Wiesendangen ;17,08
Aarberg ;17,16
Bargen (BE) ;21,34
Grossaffoltern ;24,47
Kallnach ;23,7
Kallnach ;18,7
Kappelen ;25,2
Lyss ;24,47
Meikirch ;25,2
Radelfingen ;25,2
Rapperswil (BE) ;19,69
Rapperswil (BE) ;23,7
Rapperswil (BE) ;22,69
Schüpfen ;25,2
Seedorf (BE) ;21,71
Seedorf (BE) ;25,2
Aarwangen ;18,42
Auswil ;25,2
Bannwil ;25,2
Bleienbach ;25,2
Busswil bei Melchnau ;25,2
Gondiswil ;25,2
Langenthal ;23,91
Lotzwil ;20,38
Madiswil ;25,2
Madiswil ;21,84
Melchnau ;22,52
Oeschenbach ;25,2
Reisiswil ;25,2
Roggwil (BE) ;23,36
Rohrbach ;25,2
Rohrbachgraben ;25,2
Rütschelen ;25,2
Schwarzhäusern ;25,7
Thunstetten ;25,2
Ursenbach ;24,99
Wynau ;22,79
Bern ;21,21
Bolligen ;25,2
Bremgarten bei Bern ;25,2
Kirchlindach ;25,2
Köniz ;25,6
Muri bei Bern ;25,2
Oberbalm ;25,2
Stettlen ;25,2
Vechigen ;25,2
Wohlen bei Bern ;25,2
Zollikofen ;25,2
Ittigen ;25,2
Ostermundigen ;25,2
Biel/Bienne ;24,71
Evilard ;25,2
Arch ;21,11
Büetigen ;15,63
Büren an der Aare ;23,9
Diessbach bei Büren ;22,27
Dotzigen ;25,2
Lengnau (BE) ;20,61
Leuzigen ;21,79
Meienried ;25,2
Meinisberg ;25,2
Oberwil bei Büren ;21,11
Pieterlen ;22,4
Rüti bei Büren ;22,31
Wengi ;23,69
Aefligen ;20,47
Alchenstorf ;25,2
Bäriswil ;20,47
Burgdorf ;23,28
Ersigen ;25,2
Hasle bei Burgdorf ;23,01
Hasle bei Burgdorf ;25,2
Heimiswil ;25,2
Hellsau ;25,2
Hindelbank ;20,47
Höchstetten ;25,2
Kernenried ;20,47
Kirchberg (BE) ;21,44
Koppigen ;23,54
Krauchthal ;20,47
Lyssach ;20,47
Oberburg ;24,67
Rüdtligen-Alchenflüh ;20,47
Rumendingen ;25,2
Rüti bei Lyssach ;25,2
Willadingen ;23,54
Wynigen ;25,2
Corgémont ;25,2
Cormoret ;25,18
Cortébert ;25,28
Courtelary ;25,28
La Ferrière ;24,98
Mont-Tramelan ;25,08
Orvin ;25,2
Renan (BE) ;25,28
Romont (BE) ;25,2
Saint-Imier ;25,6
Saint-Imier ;26,2
Sonceboz-Sombeval ;25,2
Sonvilier ;25,28
Tramelan ;23,66
Villeret ;25,28
Sauge ;25,2
Péry-La Heutte ;25,2
Brüttelen ;25,2
Erlach ;25,2
Finsterhennen ;25,2
Gals ;25,2
Gampelen ;25,2
Ins ;19,29
Lüscherz ;25,2
Müntschemier ;25,2
Siselen ;25,02
Treiten ;25,2
Tschugg ;25,2
Vinelz ;25,2
Bätterkinden ;20,47
Bätterkinden ;25,2
Deisswil bei Münchenbuchsee ;20,47
Diemerswil ;25,2
Fraubrunnen ;20,47
Jegenstorf ;20,47
Iffwil ;20,47
Mattstetten ;20,47
Moosseedorf ;20,47
Münchenbuchsee ;24,42
Urtenen-Schönbühl ;20,47
Utzenstorf ;25,2
