"","ResponseId","m","Sum","gender","country","education","household_size","Duration.wave2","age","income.wave2","Minutes.wave2","Minutes","climate_concern","concern.scaled","exp.low_che.int","exp.low_che.hig","exp.low_mid.hig","exp.int_che.hig","exp.int_mid.hig","mid.low_che.int","mid.low_che.hig","percent"
"1","R_06dMV3ns8Oso0fv",229320605949036,4,"male","Germany","obligatory school",1,698,49,"<1'500€
<3'100CHF",11,"okay",4,-0.640144230769231,1,0,0,1,1,0,1,0.571428571428571
"2","R_08pQbcqpFcnHu6Z",229410206679098,2,"female","Switzerland","degree",5,1076,31,"> 4'000€
>5'900 CHF",17,"okay",6,1.35985576923077,0,0,1,0,0,1,0,0.285714285714286
"3","R_0Ah8ZQaBntW3RmN",229321438136512,4,"female","Switzerland","degree",1,1984,59,"<1'500- 2'499€
3'100-4'299CHF",33,"okay",6,1.35985576923077,0,1,1,1,0,0,1,0.571428571428571
"4","R_0GLAzLpKzb2dj0t",229410206607464,3,"male","Switzerland","obligatory school",1,809,32,"2'500- 4'000€
<4'300- 5'899CHF",13,"okay",5.25,0.609855769230769,0,0,1,0,1,0,1,0.428571428571429
"5","R_0jlDzmWvG165Jfj",229758454228087,5,"male","Switzerland","degree",3,1198,65,"<1'500€
<3'100CHF",19,"okay",5.75,1.10985576923077,0,1,1,1,1,0,1,0.714285714285714
"6","R_0JNK6I2YBa5L4eR",229242295741575,5,"female","Germany","middle school",2,1216,58,"<1'500- 2'499€
3'100-4'299CHF",20,"okay",3.5,-1.14014423076923,1,0,1,1,1,0,1,0.714285714285714
"7","R_0pu0FH42yF3mlGx",229242295753844,2,"male","Germany","middle school",2,895,33,"2'500- 4'000€
<4'300- 5'899CHF",14,"okay",3.25,-1.39014423076923,0,0,1,0,1,0,0,0.285714285714286
"8","R_0qrY0GIlLElSZnr",229242449957973,4,"male","Switzerland","obligatory school",2,1520,67,"> 4'000€
>5'900 CHF",25,"okay",6,1.35985576923077,0,1,1,0,1,0,1,0.571428571428571
"9","R_0wTi4jmliqouWu5",229937963021321,3,"male","Switzerland","obligatory school",1,1760,58,"<1'500- 2'499€
3'100-4'299CHF",29,"okay",4,-0.640144230769231,0,0,0,0,1,1,1,0.428571428571429
"10","R_10pBdcRCpngqXjW",229409893581988,5,"female","Germany","middle school",2,1572,66,"<1'500- 2'499€
3'100-4'299CHF",26,"okay",5.75,1.10985576923077,0,1,1,1,1,0,1,0.714285714285714
