"","ResponseId.wave1","verhalten","similarity","verhalten2","v2","v1","similarity.2"
"1","R_01khgozVq3awK6l","ab",1,"ab","b","a",9
"2","R_01khgozVq3awK6l","ad",2,"ad","d","a",8
"3","R_01khgozVq3awK6l","ae",9,"ae","e","a",1
"4","R_01khgozVq3awK6l","af",8,"af","f","a",2
"5","R_01khgozVq3awK6l","bd",7,"bd","d","b",3
"6","R_01khgozVq3awK6l","be",2,"be","e","b",8
"7","R_01khgozVq3awK6l","bf",1,"bf","f","b",9
"8","R_01khgozVq3awK6l","de",1,"de","e","d",9
"9","R_01khgozVq3awK6l","df",2,"df","f","d",8
"10","R_01khgozVq3awK6l","ef",9,"ef","f","e",1
"11","R_01khgozVq3awK6l","fa",8,"fa","a","f",2
"12","R_01khgozVq3awK6l","ea",9,"ea","a","e",1
"13","R_01khgozVq3awK6l","da",2,"da","a","d",8
"14","R_01khgozVq3awK6l","ba",1,"ba","a","b",9
"15","R_01khgozVq3awK6l","fb",1,"fb","b","f",9
"16","R_01khgozVq3awK6l","eb",2,"eb","b","e",8
"17","R_01khgozVq3awK6l","db",7,"db","b","d",3
"18","R_01khgozVq3awK6l","fd",2,"fd","d","f",8
"19","R_01khgozVq3awK6l","ed",1,"ed","d","e",9
"20","R_01khgozVq3awK6l","fe",9,"fe","e","f",1
"21","R_0Ccj6UbDeEIHB29","ab",6,"ab","b","a",4
"22","R_0Ccj6UbDeEIHB29","ad",3,"ad","d","a",7
"23","R_0Ccj6UbDeEIHB29","ae",6,"ae","e","a",4
"24","R_0Ccj6UbDeEIHB29","af",6,"af","f","a",4
"25","R_0Ccj6UbDeEIHB29","bd",6,"bd","d","b",4
"26","R_0Ccj6UbDeEIHB29","be",6,"be","e","b",4
"27","R_0Ccj6UbDeEIHB29","bf",5,"bf","f","b",5
"28","R_0Ccj6UbDeEIHB29","de",5,"de","e","d",5
"29","R_0Ccj6UbDeEIHB29","df",5,"df","f","d",5
"30","R_0Ccj6UbDeEIHB29","ef",5,"ef","f","e",5
"31","R_0Ccj6UbDeEIHB29","fa",6,"fa","a","f",4
"32","R_0Ccj6UbDeEIHB29","ea",6,"ea","a","e",4
"33","R_0Ccj6UbDeEIHB29","da",3,"da","a","d",7
"34","R_0Ccj6UbDeEIHB29","ba",6,"ba","a","b",4
"35","R_0Ccj6UbDeEIHB29","fb",5,"fb","b","f",5
"36","R_0Ccj6UbDeEIHB29","eb",6,"eb","b","e",4
"37","R_0Ccj6UbDeEIHB29","db",6,"db","b","d",4
"38","R_0Ccj6UbDeEIHB29","fd",5,"fd","d","f",5
"39","R_0Ccj6UbDeEIHB29","ed",5,"ed","d","e",5
"40","R_0Ccj6UbDeEIHB29","fe",5,"fe","e","f",5
"41","R_0dg1Hw00DVaqtzz","ab",3,"ab","b","a",7
"42","R_0dg1Hw00DVaqtzz","ad",4,"ad","d","a",6
"43","R_0dg1Hw00DVaqtzz","ae",5,"ae","e","a",5
"44","R_0dg1Hw00DVaqtzz","af",5,"af","f","a",5
"45","R_0dg1Hw00DVaqtzz","bd",3,"bd","d","b",7
"46","R_0dg1Hw00DVaqtzz","be",5,"be","e","b",5
"47","R_0dg1Hw00DVaqtzz","bf",4,"bf","f","b",6
"48","R_0dg1Hw00DVaqtzz","de",6,"de","e","d",4
"49","R_0dg1Hw00DVaqtzz","df",7,"df","f","d",3
"50","R_0dg1Hw00DVaqtzz","ef",7,"ef","f","e",3
"51","R_0dg1Hw00DVaqtzz","fa",5,"fa","a","f",5
"52","R_0dg1Hw00DVaqtzz","ea",5,"ea","a","e",5
"53","R_0dg1Hw00DVaqtzz","da",4,"da","a","d",6
"54","R_0dg1Hw00DVaqtzz","ba",3,"ba","a","b",7
"55","R_0dg1Hw00DVaqtzz","fb",4,"fb","b","f",6
"56","R_0dg1Hw00DVaqtzz","eb",5,"eb","b","e",5
"57","R_0dg1Hw00DVaqtzz","db",3,"db","b","d",7
"58","R_0dg1Hw00DVaqtzz","fd",7,"fd","d","f",3
"59","R_0dg1Hw00DVaqtzz","ed",6,"ed","d","e",4
"60","R_0dg1Hw00DVaqtzz","fe",7,"fe","e","f",3
"61","R_0ePq1ONxoWexxIZ","ab",5,"ab","b","a",5
"62","R_0ePq1ONxoWexxIZ","ad",4,"ad","d","a",6
"63","R_0ePq1ONxoWexxIZ","ae",6,"ae","e","a",4
"64","R_0ePq1ONxoWexxIZ","af",6,"af","f","a",4
"65","R_0ePq1ONxoWexxIZ","bd",5,"bd","d","b",5
"66","R_0ePq1ONxoWexxIZ","be",6,"be","e","b",4
"67","R_0ePq1ONxoWexxIZ","bf",4,"bf","f","b",6
"68","R_0ePq1ONxoWexxIZ","de",5,"de","e","d",5
"69","R_0ePq1ONxoWexxIZ","df",5,"df","f","d",5
"70","R_0ePq1ONxoWexxIZ","ef",3,"ef","f","e",7
"71","R_0ePq1ONxoWexxIZ","fa",6,"fa","a","f",4
"72","R_0ePq1ONxoWexxIZ","ea",6,"ea","a","e",4
"73","R_0ePq1ONxoWexxIZ","da",4,"da","a","d",6
"74","R_0ePq1ONxoWexxIZ","ba",5,"ba","a","b",5
"75","R_0ePq1ONxoWexxIZ","fb",4,"fb","b","f",6
"76","R_0ePq1ONxoWexxIZ","eb",6,"eb","b","e",4
"77","R_0ePq1ONxoWexxIZ","db",5,"db","b","d",5
"78","R_0ePq1ONxoWexxIZ","fd",5,"fd","d","f",5
"79","R_0ePq1ONxoWexxIZ","ed",5,"ed","d","e",5
"80","R_0ePq1ONxoWexxIZ","fe",3,"fe","e","f",7
"81","R_0j0zAq6VQ3vdScp","ab",6,"ab","b","a",4
"82","R_0j0zAq6VQ3vdScp","ad",6,"ad","d","a",4
"83","R_0j0zAq6VQ3vdScp","ae",5,"ae","e","a",5
"84","R_0j0zAq6VQ3vdScp","af",6,"af","f","a",4
"85","R_0j0zAq6VQ3vdScp","bd",6,"bd","d","b",4
"86","R_0j0zAq6VQ3vdScp","be",6,"be","e","b",4
"87","R_0j0zAq6VQ3vdScp","bf",6,"bf","f","b",4
"88","R_0j0zAq6VQ3vdScp","de",4,"de","e","d",6
