"","m","Duration.wave1","ResponseId.wave1","gender","country","income.wave1","education","household_size","politicalorientation_1","Duration.wave2","ResponseId","age","income.wave2","Minutes.wave1","Minutes.wave2","Minutes"
"1",227471319859444,1022,"R_8q6n1RRt6MyyXex","male","Germany","> 4'000€
>5'900 CHF","middle school",2,3,1157,"R_tE6MoKzmZtjFxD3",73,"> 4'000€
>5'900 CHF",17,19,"okay"
"2",227471319859447,1366,"R_3037BPovs68z8Wp","female","Germany","<1'500- 2'499€
3'100-4'299CHF","degree",2,5,2392,"R_Ojo34qwq19Vpce5",64,"<1'500€
<3'100CHF",22,39,"okay"
"3",227471450945619,1465,"R_eFZQYTp4gO6YksF","female","Switzerland","> 4'000€
>5'900 CHF","degree",5,4,1572,"R_2qw808RHTW32LfJ",57,"2'500- 4'000€
<4'300- 5'899CHF",24,26,"okay"
"4",227471450957862,574,"R_DqafDJUij6pOidj","female","Switzerland","> 4'000€
>5'900 CHF","no formal education",3,4,851,"R_1oqkBndhcpDZMqi",41,"2'500- 4'000€
<4'300- 5'899CHF",9,14,"okay"
"5",229166066768913,10587,"R_1DHkbYKKczezY5F","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","no formal education",2,5,2617,"R_5ubF1SY3fuyTBgB",52,"2'500- 4'000€
<4'300- 5'899CHF",176,43,"okay"
"6",229166066768915,1200,"R_sSR9IooKusigb73","male","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",1,7,639,"R_3rS4w78ysOQsr12",35,"<1'500- 2'499€
3'100-4'299CHF",20,10,"okay"
"7",229166066769952,714,"R_3000hwBRNJeHRkh","male","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",1,5,1107,"R_1JWxlIuMDhQbBIo",35,"<1'500- 2'499€
3'100-4'299CHF",11,18,"okay"
"8",229166066770991,697,"R_3ffPXWQN4a5pytn","male","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",1,5,886,"R_3nAgm8GpHtzVUDU",69,"<1'500- 2'499€
3'100-4'299CHF",11,14,"okay"
"9",229166066770993,1609,"R_O8b53p7xh5bwplT","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,5,4263,"R_1mPZTN6F4Yrwu6f",58,"2'500- 4'000€
<4'300- 5'899CHF",26,71,"okay"
"10",229166066770995,1721,"R_3pur3flLVeCyf0a","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,5,3500,"R_1Nwcl43Ai659iKk",50,"<1'500- 2'499€
3'100-4'299CHF",28,58,"okay"
"11",229166066770996,923,"R_eQGtapLFAf1IMTv","female","Germany","<1'500€
<3'100CHF","no formal education",1,4,11389,"R_1gSAD3TrXCoKAP8",56,"<1'500€
<3'100CHF",15,189,"okay"
"12",229166066772029,1290,"R_3gUFyQf7Rr82fjq","male","Germany","> 4'000€
>5'900 CHF","middle school",4,2,1555,"R_xsifixdM2f3FCTf",43,"> 4'000€
>5'900 CHF",21,25,"okay"
"13",229166066772032,955,"R_2U4PlWg8c50p8eU","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,5,1992,"R_OHz0Pqln4SpsteV",51,"> 4'000€
>5'900 CHF",15,33,"okay"
"14",229166066774127,514,"R_aV36R7kJhEmeyyd","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",1,3,671,"R_1eVHrT71kd11atG",37,"2'500- 4'000€
<4'300- 5'899CHF",8,11,"okay"
"15",229166066775173,693,"R_1cUttmhVO5YA2hl","female","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",3,6,1641,"R_oY2EItjnjxzqhYR",24,"<1'500- 2'499€
3'100-4'299CHF",11,27,"okay"
"16",229166066778296,1123,"R_3gXXt1W2K8Pos3x","female","Germany","> 4'000€
>5'900 CHF","middle school",2,5,1239,"R_1Frcm9brNvhVz0E",59,"> 4'000€
>5'900 CHF",18,20,"okay"
"17",229166066778304,1477,"R_1C4wdUlbfbQ1hML","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",1,3,1453,"R_8hNT7jXVSBb9qhP",70,"<1'500- 2'499€
3'100-4'299CHF",24,24,"okay"
"18",229166066778312,1299,"R_BywDqqxLxP5MOLD","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,3,1503,"R_3Oq241l7XqxA9WE",64,"2'500- 4'000€
<4'300- 5'899CHF",21,25,"okay"
"19",229166066780393,956,"R_2AYaEaBun0p5kaC","male","Germany","> 4'000€
>5'900 CHF","obligatory school",2,8,1028,"R_1Oq34eyVcqNOov1",57,"> 4'000€
>5'900 CHF",15,17,"okay"
"20",229166066780404,1365,"R_3ke5ZDJpQBX1C0j","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,5,1497,"R_1IGfF1abpdkWhLy",72,"2'500- 4'000€
<4'300- 5'899CHF",22,24,"okay"
"21",229166066782222,1295,"R_21aXH4qkpWoMUfc","male","Germany","<1'500- 2'499€
3'100-4'299CHF","degree",2,5,1439,"R_1I6MKxO41jAt15N",29,"2'500- 4'000€
<4'300- 5'899CHF",21,23,"okay"
"22",229166066786390,876,"R_2VdofypBJBuhz1H","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,8,1868,"R_1LUJuqInfZjP2R8",60,"2'500- 4'000€
<4'300- 5'899CHF",14,31,"okay"
"23",229166066788467,915,"R_wMLudDlqiyZgrTP","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",1,8,789,"R_1IT6KwLp3K88KU6",56,"<1'500- 2'499€
3'100-4'299CHF",15,13,"okay"
"24",229166066788475,639,"R_WfbcOa4R3TKEukN","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",2,6,855,"R_eUJ7b0qtFajcHiF",60,"> 4'000€
>5'900 CHF",10,14,"okay"
"25",229166066790561,957,"R_3haa92gLJ7b3TlA","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",4,7,1137,"R_1P5chxMcINlG3fJ",33,"2'500- 4'000€
<4'300- 5'899CHF",15,18,"okay"
"26",229166066792658,1235,"R_DAy13Qg9X0yju5b","male","Germany","<1'500€
<3'100CHF","no formal education",1,5,1520,"R_2ZQvMICyBHJJC25",57,"<1'500€
<3'100CHF",20,25,"okay"
"27",229166066799696,2921,"R_2e8rPRQ3Tf6hpC0","male","Germany","<1'500- 2'499€
3'100-4'299CHF","no formal education",1,5,939,"R_3Pe0emppqE6grrU",41,"<1'500- 2'499€
3'100-4'299CHF",48,15,"okay"
"28",229166066803864,1514,"R_2cBDYRcdwlr6tJe","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","no formal education",3,4,2083,"R_10xEptLaoi40BlX",67,"2'500- 4'000€
<4'300- 5'899CHF",25,34,"okay"
"29",229166066809875,5059,"R_3iwZiFBbukhyafr","female","Germany","<1'500€
<3'100CHF","middle school",1,5,2803,"R_6s6crm2aG0TsoBr",64,"<1'500€
<3'100CHF",84,46,"okay"
"30",229166066821130,1319,"R_2BnFF7O0UemP6bn","female","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",2,4,829,"R_1KXEGN3b38r2ypb",36,"<1'500- 2'499€
3'100-4'299CHF",21,13,"okay"
