"","ResponseId.wave1","m","Sum","Duration.wave1","gender","country","income.wave1","education","household_size","politcalorientation","ResponseId","age","Minutes.wave1","Minutes","climate_concern","concern.scaled","exp.low_che.int","exp.low_che.hig","exp.low_mid.hig","exp.int_che.hig","exp.int_mid.hig","mid.low_che.int","mid.low_che.hig","percent"
"1","R_01khgozVq3awK6l",229255657984114,4,1227,"male","Germany","> 4'000€
>5'900 CHF","degree",2,3,"R_3jTAW9uI1ykta3D",51,20,"okay",6,1.2375,0,1,1,0,1,0,1,0.571428571428571
"2","R_0Ccj6UbDeEIHB29",229320605935722,5,671,"male","Germany","> 4'000€
>5'900 CHF","degree",5,6,"R_1pmuFdooAp2AmoL",49,11,"okay",3.75,-1.0125,0,1,1,0,1,1,1,0.714285714285714
"3","R_0dg1Hw00DVaqtzz",229678093154327,3,1410,"male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","degree",1,5,"R_1DC5nrZ8uUaZwqY",41,23,"okay",5.25,0.4875,0,0,1,0,1,0,1,0.428571428571429
"4","R_0ePq1ONxoWexxIZ",229677069770883,6,516,"male","Germany","> 4'000€
>5'900 CHF","obligatory school",3,4,"R_2yeVJlifqE1mXtM",58,8,"okay",5,0.2375,0,1,1,1,1,1,1,0.857142857142857
"5","R_0j0zAq6VQ3vdScp",229242295751744,7,939,"male","Germany","> 4'000€
>5'900 CHF","middle school",4,6,"R_3n1R19NUDl9sDMH",46,15,"okay",3.5,-1.2625,1,1,1,1,1,1,1,1
"6","R_0OfdToodUAnFM6B",229320606084260,4,601,"male","Germany","> 4'000€
>5'900 CHF","middle school",5,3,"R_2OGwTX83fhyDNnI",20,10,"okay",5.25,0.4875,1,0,1,0,0,1,1,0.571428571428571
"7","R_0OolMie4oWOnlJv",229678093372428,5,747,"male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","middle school",3,8,"R_2492pCKHqf5dlKi",41,12,"okay",2.75,-2.0125,0,1,1,0,1,1,1,0.714285714285714
"8","R_0TmEasAMNDaTx73",229255657997387,2,1630,"female","Germany","<1'500- 2'499€
3'100-4'299CHF","degree",1,6,"R_2uTLa7HMnc5Gs9E",28,27,"okay",4,-0.7625,0,0,1,0,0,0,1,0.285714285714286
"9","R_10AtUJUGZhCk5ng",229242295744695,3,247,"female","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",3,7,"R_27WfeRMBd73Aqa8",42,4,"speeder",4,-0.7625,0,1,0,1,0,0,1,0.428571428571429
"10","R_10BPCjelrDxAXgb",230469411950672,7,1222,"male","Switzerland","> 4'000€
>5'900 CHF","degree",2,5,"R_2XogjSrW9vqpdC3",70,20,"okay",6,1.2375,1,1,1,1,1,1,1,1
