"","postal.code"
"1",4800
"2",4055
"3",6403
"4",8152
"5",6285
"6",3013
"7",8954
"8",8180
"9",4500
"10",7270
"11",5507
"12",9442
"13",4054
"14",6020
"15",4917
"16",9016
"17",9011
"18",5623
"19",9000
"20",8634
"21",4500
"22",3213
"23",3905
"24",5415
"25",8193
"26",3270
"27",9244
"28",5012
"29",3400
"30",5332
"31",7250
"32",8049
"33",1716
"34",3183
"35",6340
"36",6030
"37",6122
"38",7402
"39",3862
"40",8623
"41",9100
"42",8903
"43",8004
"44",5210
"45",3671
"46",8632
"47",4103
"48",3178
"49",9100
"50",5024
"51",6023
"52",6010
"53",3115
"54",8542
"55",8730
"56",3775
"57",6015
"58",5734
"59",3552
"60",8595
"61",5524
"62",8122
"63",4702
"64",8108
"65",8762
"66",8001
"67",5722
"68",2554
"69",9450
"70",3713
"71",9240
"72",8600
"73",8185
"74",4313
"75",8552
"76",3063
"77",8187
"78",8152
"79",8047
"80",8702
"81",4000
"82",8311
"83",8712
"84",8193
"85",8957
"86",4057
"87",8238
"88",4053
"89",3661
"90",8049
"91",6020
"92",8004
"93",4056
"94",4452
"95",9055
"96",4633
"97",8200
"98",6000
"99",4562
"100",8248
"101",5722
"102",6422
"103",9552
"104",3432
"105",3110
"106",4123
"107",6300
"108",4419
"109",6003
"110",3032
"111",3250
"112",4950
"113",8580
"114",2504
"115",8500
"116",8046
"117",5430
"118",9126
"119",3097
"120",4055
"121",8703
"122",8304
"123",5242
"124",8427
"125",4055
"126",4052
"127",4055
"128",3270
"129",8356
"130",4153
"131",4144
"132",8805
"133",6460
"134",8197
"135",3008
"136",9452
"137",9526
"138",8037
"139",8405
"140",9470
"141",6330
"142",8132
"143",4600
"144",3186
"145",4802
"146",3538
"147",3008
"148",6243
"149",8041
"150",3550
"151",3052
"152",8570
"153",3363
"154",6200
"155",9000
"156",8050
"157",8222
"158",3074
"159",6600
"160",6370
"161",6465
"162",6038
"164",5412
"165",6074
"166",5430
"167",4852
"168",8005
"169",3123
"170",1568
"171",9435
"172",8451
"173",8610
"174",1700
"175",6247
"176",6048
"177",6950
"178",4528
"179",8800
"180",5722
"181",9630
"182",6982
"183",8932
"184",4600
"185",5612
"186",4954
"187",5442
"188",4704
"189",3270
"190",9469
"191",6130
"192",3065
"193",9113
"194",6300
"195",7233
"196",8572
"197",8002
"198",8645
"199",3018
"200",8500
"201",3072
"202",8048
"203",8003
"204",8057
"205",3862
"206",8152
"207",4127
"208",8868
"209",8180
"210",6045
"211",8180
"212",8222
"213",2504
"214",9000
"215",3902
"216",8355
"217",1700
"218",9400
"219",9100
"220",8153
"221",8340
"222",5645
"223",9127
"224",3174
"225",3007
"226",4055
"227",8046
"229",3510
"231",1203
"232",9320
"233",8114
"234",9535
"235",5610
"236",2854
"237",6010
"238",8600
"239",5415
"240",8625
"241",9470
"242",3700
"243",4056
"244",6403
"245",3027
"246",6207
"247",5430
"248",4412
"249",9514
"250",8546
"251",8590
"252",9103
"253",4055
"254",4125
"255",1260
"256",3436
"257",2000
"258",8212
"259",4450
"260",8450
"261",8880
"262",8444
"263",8302
"264",4056
"265",8803
"266",3360
"267",8050
"268",2500
"269",5707
"270",8048
"271",5621
"272",8952
"273",4147
"274",8037
"275",8182
"276",6343
"277",8052
"278",8006
"279",3072
"280",7000
"281",3008
"282",3672
"283",8630
"284",5018
"285",4057
"286",8001
"287",9507
"288",3322
"289",6460
"290",9444
"291",6132
"292",4303
"293",4553
"294",2543
"295",9008
