"","postal.code","Gemeinde"
"1",1203,"Genève"
"2",1260,"Nyon"
"3",1568,"Delley-Portalban"
"4",1700,"Fribourg"
"5",1700,"Fribourg"
"6",1716,"Plaffeien"
"7",2000,"Neuchâtel"
"8",2500,"Biel/Bienne"
"9",2504,"Biel/Bienne"
"10",2504,"Biel/Bienne"
"11",2543,"Lengnau (BE) "
"12",2554,"Meinisberg"
"13",2854,"Haute-Sorne "
"14",3007,"Bern"
"15",3008,"Bern"
"16",3008,"Bern"
"17",3008,"Bern"
"18",3013,"Bern"
"19",3018,"Bern"
"20",3027,"Bern"
"21",3032,"Wohlen bei Bern"
"22",3052,"Zollikofen"
"23",3063,"Ittigen"
"24",3065,"Bollingen"
"25",3072,"Ostermundigen"
"26",3072,"Ostermundigen"
"27",3074,"Muri bei Bern"
"28",3097,"Köniz"
"29",3110,"Münsingen"
"30",3115,"Gerzensee"
"31",3123,"Belp"
"32",3174,"Köniz"
"33",3178,"Bösingen"
"34",3183,"Schwarzenburg"
"35",3186,"Düdingen"
"36",3213,"Kleinbösingen"
"37",3250,"Lyss"
"38",3270,"Aarberg"
"39",3270,"Aarberg"
"40",3270,"Aarberg"
"41",3322,"Urtenen-Schönbühl"
"42",3322,"Mattstetten"
"43",3360,"Herzogenbuchsee"
"44",3363,"Herzogenbuchsee "
"45",3400,"Burgdorf"
"46",3432,"Lützelflüh"
"47",3436,"Rüderswil "
"48",3510,"Häutligen"
"49",3510,"Freimettigen"
"50",3510,"Konolfingen"
"51",3538,"Röthenbach im Emmental"
"52",3550,"Langnau im Emmental"
"53",3552,"Langnau im Emmental"
"54",3661,"Uetendorf"
"55",3671,"Herbligen"
"56",3671,"Brenzikofen"
"57",3672,"Oberdiessbach"
"58",3700,"Spiez"
"59",3713,"Reichenbach im Kandertal"
"60",3775,"Lenk"
"61",3862,"Innertkirchen"
"62",3862,"Innertkirchen"
"63",3902,"Brig-Glis"
"64",3905,"Saas-Almagell"
"65",4000,"Basel"
"66",4052,"Basel"
"67",4053,"Basel"
"68",4054,"Basel"
"69",4055,"Basel"
"70",4055,"Basel"
"71",4055,"Basel"
"72",4055,"Basel"
"73",4055,"Basel"
"74",4055,"Basel"
"75",4056,"Basel"
"76",4056,"Basel"
"77",4056,"Basel"
"78",4057,"Basel"
"79",4057,"Basel"
"80",4103,"Bottmingen"
"81",4123,"Allschwil"
"82",4125,"Riehen"
"83",4127,"Birsfelden"
"84",4144,"Arlesheim"
"85",4147,"Aesch (BL)"
"86",4153,"Reinach BL"
"87",4303,"Kaiseraugst"
"88",4313,"Möhlin"
"89",4412,"Nuglar-St. Pantaleon "
"90",4419,"Lupsingen"
"91",4450,"Sissach"
"92",4452,"Itingen"
"93",4500,"Solothurn"
"94",4500,"Solothurn"
"95",4528,"Zuchwil"
"96",4553,"Subingen"
"97",4562,"Biberist"
"98",4600,"Olten"
"99",4600,"Olten"
"100",4633,"Hauenstein-Ifenthal "
"101",4702,"Oensingen"
"102",4704,"Niederbipp"
"103",4800,"Zofingen"
"104",4802,"Strengelbach"
"105",4852,"Rothrist"
"106",4917,"Melchnau"
"107",4917,"Busswil bei Melchnau"
"108",4950,"Huttwil"
"109",4954,"Wyssachen"
"110",5012,"Eppenberg-Wöschnau "
"111",5012,"Schönenwerd"
"112",5018,"Erlinsbach (AG)"
"113",5024,"Küttigen"
"114",5210,"Windisch"
"115",5242,"Birr"
"116",5242,"Lupfig"
"117",5332,"Zurzach"
"118",5412,"Gebenstorf"
"119",5415,"Obersiggenthal"
"120",5415,"Obersiggenthal"
"121",5415,"Obersiggenthal "
"122",5415,"Obersiggenthal "
"123",5430,"Wettingen"
"124",5430,"Wettingen"
"125",5430,"Wettingen"
"126",5442,"Fislisbach"
"127",5507,"Mellingen"
"128",5524,"Niederwil (AG)"
"129",5610,"Wohlen (AG)"
"130",5612,"Villmergen"
"131",5621,"Zufikon"
"132",5623,"Boswil"
"133",5645,"Aettenschwil "
"134",5707,"Seengen"
"135",5722,"Gränichen"
"136",5722,"Gränichen"
"137",5722,"Gränichen"
"138",5734,"Reinach (AG)"
"139",6000,"Luzern"
"140",6003,"Luzern"
"141",6010,"Kriens"
"142",6010,"Kriens"
"143",6015,"Luzern"
"144",6020,"Emmen"
"145",6020,"Emmen"
"146",6023,"Rothenburg"
"147",6030,"Ebikon"
"148",6038,"Honau"
"149",6038,"Gisikon"
"150",6045,"Meggen"
"151",6048,"Horw"
"152",6074,"Giswil"
"153",6122,"Menznau"
"154",6130,"Willisau"
"155",6132,"Willisau"
"156",6207,"Nottwil"
"157",6243,"Egolzwil"
"158",6247,"Schötz"
"159",6285,"Hitzkirch"
"160",6300,"Zug"
"161",6300,"Zug"
"162",6330,"Cham"
"163",6340,"Baar"
"164",6343,"Risch"
"165",6370,"Oberdorf (NW)"
"166",6370,"Stans"
"167",6403,"Küssnacht (SZ)"
"168",6403,"Küssnacht (SZ)"
"169",6422,"Steinen"
"170",6460,"Altdorf (UR)"
"171",6460,"Altdorf (UR)"
"172",6465,"Unterschächen"
"173",6600,"Locarno"
"174",6600,"Muralto"
"175",6950,"Capriasca"
"176",6982,"Agno"
"177",7000,"Chur"
"178",7233,"Jenaz"
"179",7250,"Klosters"
"180",7270,"Davos "
"181",7402,"Bonaduz"
"182",8001,"Zürich"
"183",8001,"Zürich"
"184",8002,"Zürich"
"185",8003,"Zürich"
"186",8004,"Zürich"
"187",8004,"Zürich"
"188",8005,"Zürich"
"189",8006,"Zürich"
"190",8037,"Zürich"
"191",8037,"Zürich"
"192",8041,"Zürich"
"193",8046,"Zürich"
"194",8046,"Zürich"
"195",8047,"Zürich"
"196",8048,"Zürich"
"197",8048,"Zürich"
"198",8049,"Zürich"
"199",8049,"Zürich"
"200",8050,"Zürich"
"201",8050,"Zürich"
"202",8052,"Zürich"
"203",8057,"Zürich"
"204",8108,"Dällikon"
"205",8114,"Dänikon "
"206",8122,"Maur"
"207",8132,"Egg"
