"","m","behavior","gender","age","country","education","actual","actual.log","ResponseId.wave1.wave1","estimate.wave1","income.wave1","estimation.bias.wave1","estimation.bias.log.wave1","absolute.error.wave1","absolute.error.log.wave1","estimate.log.wave1","climate_concern.wave1","concern.scaled.wave1","ResponseId.wave1","numeracy.f","certainty","estimate.wave2","estimation.bias.wave2","estimation.bias.log.wave2","absolute.error.wave2","absolute.error.log.wave2","estimate.log.wave2","climate_concern.wave2","concern.scaled.wave2","Duration.wave1","ResponseId.wave1.wave2","household_size","politicalorientation_1","Duration.wave2","ResponseId.wave2","income.wave2","Minutes.wave1","Minutes.wave2","Minutes"
"1",227471319859444,"dishwasher","male",73,"Germany","middle school",74,1.86923171973098,"R_8q6n1RRt6MyyXex",2000,"> 4'000€
>5'900 CHF",27.027027027027,1.431798275933,27.027027027027,1.431798275933,3.30102999566398,6,1.07881773399015,"R_tE6MoKzmZtjFxD3","numeracy high",3,500,6.75675675675676,0.829738284605043,6.75675675675676,0.829738284605043,2.69897000433602,6,1.19581280788177,1022,"R_8q6n1RRt6MyyXex",2,3,1157,"R_tE6MoKzmZtjFxD3","> 4'000€
>5'900 CHF",17,19,"okay"
"2",227471319859444,"dryer","male",73,"Germany","middle school",1088,3.03662889536216,"R_8q6n1RRt6MyyXex",2000,"> 4'000€
>5'900 CHF",1.83823529411765,0.26440110030182,1.83823529411765,0.26440110030182,3.30102999566398,6,1.07881773399015,"R_tE6MoKzmZtjFxD3","numeracy high",3,2000,1.83823529411765,0.26440110030182,1.83823529411765,0.26440110030182,3.30102999566398,6,1.19581280788177,1022,"R_8q6n1RRt6MyyXex",2,3,1157,"R_tE6MoKzmZtjFxD3","> 4'000€
>5'900 CHF",17,19,"okay"
"3",227471319859444,"fridge","male",73,"Germany","middle school",52,1.7160033436348,"R_8q6n1RRt6MyyXex",500,"> 4'000€
>5'900 CHF",9.61538461538461,0.98296666070122,9.61538461538461,0.98296666070122,2.69897000433602,6,1.07881773399015,"R_tE6MoKzmZtjFxD3","numeracy high",3,1500,28.8461538461538,1.46008791542088,28.8461538461538,1.46008791542088,3.17609125905568,6,1.19581280788177,1022,"R_8q6n1RRt6MyyXex",2,3,1157,"R_tE6MoKzmZtjFxD3","> 4'000€
>5'900 CHF",17,19,"okay"
"4",227471319859444,"hairdryer","male",73,"Germany","middle school",128,2.10720996964787,"R_8q6n1RRt6MyyXex",250,"> 4'000€
>5'900 CHF",1.953125,0.290730039024169,1.953125,0.290730039024169,2.39794000867204,6,1.07881773399015,"R_tE6MoKzmZtjFxD3","numeracy high",2,2000,15.625,1.19382002601611,15.625,1.19382002601611,3.30102999566398,6,1.19581280788177,1022,"R_8q6n1RRt6MyyXex",2,3,1157,"R_tE6MoKzmZtjFxD3","> 4'000€
>5'900 CHF",17,19,"okay"
"5",227471319859444,"heating","male",73,"Germany","middle school",1141,3.05728564441821,"R_8q6n1RRt6MyyXex",2500,"> 4'000€
>5'900 CHF",2.19106047326906,0.340654364253823,2.19106047326906,0.340654364253823,3.39794000867204,6,1.07881773399015,"R_tE6MoKzmZtjFxD3","numeracy high",4,3000,2.62927256792287,0.419835610301448,2.62927256792287,0.419835610301448,3.47712125471966,6,1.19581280788177,1022,"R_8q6n1RRt6MyyXex",2,3,1157,"R_tE6MoKzmZtjFxD3","> 4'000€
>5'900 CHF",17,19,"okay"
"6",227471319859444,"light","male",73,"Germany","middle school",358,2.55388302664387,"R_8q6n1RRt6MyyXex",100,"> 4'000€
>5'900 CHF",0.279329608938547,-0.553883026643874,0.279329608938547,0.553883026643874,2,6,1.07881773399015,"R_tE6MoKzmZtjFxD3","numeracy high",3,500,1.39664804469274,0.145086977692144,1.39664804469274,0.145086977692144,2.69897000433602,6,1.19581280788177,1022,"R_8q6n1RRt6MyyXex",2,3,1157,"R_tE6MoKzmZtjFxD3","> 4'000€
>5'900 CHF",17,19,"okay"
"7",227471319859444,"shower","male",73,"Germany","middle school",1186,3.07408468902824,"R_8q6n1RRt6MyyXex",1500,"> 4'000€
>5'900 CHF",1.26475548060708,0.102006570027437,1.26475548060708,0.102006570027437,3.17609125905568,6,1.07881773399015,"R_tE6MoKzmZtjFxD3","numeracy high",3,500,0.421585160202361,-0.375114684692225,0.421585160202361,0.375114684692225,2.69897000433602,6,1.19581280788177,1022,"R_8q6n1RRt6MyyXex",2,3,1157,"R_tE6MoKzmZtjFxD3","> 4'000€
>5'900 CHF",17,19,"okay"
"8",227471319859444,"washing","male",73,"Germany","middle school",127,2.10380372095596,"R_8q6n1RRt6MyyXex",500,"> 4'000€
>5'900 CHF",3.93700787401575,0.595166283380062,3.93700787401575,0.595166283380062,2.69897000433602,6,1.07881773399015,"R_tE6MoKzmZtjFxD3","numeracy high",2,2000,15.748031496063,1.19722627470802,15.748031496063,1.19722627470802,3.30102999566398,6,1.19581280788177,1022,"R_8q6n1RRt6MyyXex",2,3,1157,"R_tE6MoKzmZtjFxD3","> 4'000€
>5'900 CHF",17,19,"okay"
"9",227471319859447,"dishwasher","female",64,"Germany","degree",74,1.86923171973098,"R_3037BPovs68z8Wp",85,"<1'500- 2'499€
3'100-4'299CHF",1.14864864864865,0.0601872059833166,1.14864864864865,0.0601872059833166,1.92941892571429,6,1.07881773399015,"R_Ojo34qwq19Vpce5","numeracy low",3,200,2.7027027027027,0.431798275933005,2.7027027027027,0.431798275933005,2.30102999566398,6,1.19581280788177,1366,"R_3037BPovs68z8Wp",2,5,2392,"R_Ojo34qwq19Vpce5","<1'500€
<3'100CHF",22,39,"okay"
"10",227471319859447,"dryer","female",64,"Germany","degree",1088,3.03662889536216,"R_3037BPovs68z8Wp",160,"<1'500- 2'499€
3'100-4'299CHF",0.147058823529412,-0.832508912706236,0.147058823529412,0.832508912706236,2.20411998265592,6,1.07881773399015,"R_Ojo34qwq19Vpce5","numeracy low",2,200,0.183823529411765,-0.73559889969818,0.183823529411765,0.73559889969818,2.30102999566398,6,1.19581280788177,1366,"R_3037BPovs68z8Wp",2,5,2392,"R_Ojo34qwq19Vpce5","<1'500€
<3'100CHF",22,39,"okay"
"11",227471319859447,"fridge","female",64,"Germany","degree",52,1.7160033436348,"R_3037BPovs68z8Wp",150,"<1'500- 2'499€
3'100-4'299CHF",2.88461538461538,0.460087915420882,2.88461538461538,0.460087915420882,2.17609125905568,6,1.07881773399015,"R_Ojo34qwq19Vpce5","numeracy low",2,200,3.84615384615385,0.585026652029182,3.84615384615385,0.585026652029182,2.30102999566398,6,1.19581280788177,1366,"R_3037BPovs68z8Wp",2,5,2392,"R_Ojo34qwq19Vpce5","<1'500€
<3'100CHF",22,39,"okay"
"12",227471319859447,"hairdryer","female",64,"Germany","degree",128,2.10720996964787,"R_3037BPovs68z8Wp",74,"<1'500- 2'499€
3'100-4'299CHF",0.578125,-0.237978249916892,0.578125,0.237978249916892,1.86923171973098,6,1.07881773399015,"R_Ojo34qwq19Vpce5","numeracy low",2,365,2.8515625,0.455082894808606,2.8515625,0.455082894808606,2.56229286445647,6,1.19581280788177,1366,"R_3037BPovs68z8Wp",2,5,2392,"R_Ojo34qwq19Vpce5","<1'500€
<3'100CHF",22,39,"okay"
"13",227471319859447,"heating","female",64,"Germany","degree",1141,3.05728564441821,"R_3037BPovs68z8Wp",140,"<1'500- 2'499€
3'100-4'299CHF",0.122699386503067,-0.911157608739977,0.122699386503067,0.911157608739977,2.14612803567824,6,1.07881773399015,"R_Ojo34qwq19Vpce5","numeracy low",2,200,0.175284837861525,-0.756255648754233,0.175284837861525,0.756255648754233,2.30102999566398,6,1.19581280788177,1366,"R_3037BPovs68z8Wp",2,5,2392,"R_Ojo34qwq19Vpce5","<1'500€
<3'100CHF",22,39,"okay"
"14",227471319859447,"light","female",64,"Germany","degree",358,2.55388302664387,"R_3037BPovs68z8Wp",100,"<1'500- 2'499€
3'100-4'299CHF",0.279329608938547,-0.553883026643874,0.279329608938547,0.553883026643874,2,6,1.07881773399015,"R_Ojo34qwq19Vpce5","numeracy low",1,209,0.583798882681564,-0.23373674053282,0.583798882681564,0.23373674053282,2.32014628611105,6,1.19581280788177,1366,"R_3037BPovs68z8Wp",2,5,2392,"R_Ojo34qwq19Vpce5","<1'500€
<3'100CHF",22,39,"okay"
"15",227471319859447,"shower","female",64,"Germany","degree",1186,3.07408468902824,"R_3037BPovs68z8Wp",1000,"<1'500- 2'499€
3'100-4'299CHF",0.843170320404722,-0.0740846890282438,0.843170320404722,0.0740846890282438,3,6,1.07881773399015,"R_Ojo34qwq19Vpce5","numeracy low",3,365,0.307757166947723,-0.511791824571769,0.307757166947723,0.511791824571769,2.56229286445647,6,1.19581280788177,1366,"R_3037BPovs68z8Wp",2,5,2392,"R_Ojo34qwq19Vpce5","<1'500€
<3'100CHF",22,39,"okay"
"16",227471319859447,"washing","female",64,"Germany","degree",127,2.10380372095596,"R_3037BPovs68z8Wp",220,"<1'500- 2'499€
3'100-4'299CHF",1.73228346456693,0.238618959866249,1.73228346456693,0.238618959866249,2.34242268082221,6,1.07881773399015,"R_Ojo34qwq19Vpce5","numeracy low",3,40,0.31496062992126,-0.501743729627995,0.31496062992126,0.501743729627995,1.60205999132796,6,1.19581280788177,1366,"R_3037BPovs68z8Wp",2,5,2392,"R_Ojo34qwq19Vpce5","<1'500€
<3'100CHF",22,39,"okay"
"17",227471450945619,"dishwasher","female",57,"Switzerland","degree",74,1.86923171973098,"R_eFZQYTp4gO6YksF",1000,"> 4'000€
>5'900 CHF",13.5135135135135,1.13076828026902,13.5135135135135,1.13076828026902,3,5.25,0.328817733990148,"R_2qw808RHTW32LfJ","numeracy high",2,900,12.1621621621622,1.08501078970835,12.1621621621622,1.08501078970835,2.95424250943932,5,0.195812807881773,1465,"R_eFZQYTp4gO6YksF",5,4,1572,"R_2qw808RHTW32LfJ","2'500- 4'000€
<4'300- 5'899CHF",24,26,"okay"
"18",227471450945619,"dryer","female",57,"Switzerland","degree",1088,3.03662889536216,"R_eFZQYTp4gO6YksF",1500,"> 4'000€
>5'900 CHF",1.37867647058824,0.13946236369352,1.37867647058824,0.13946236369352,3.17609125905568,5.25,0.328817733990148,"R_2qw808RHTW32LfJ","numeracy high",3,800,0.735294117647059,-0.133538908370217,0.735294117647059,0.133538908370217,2.90308998699194,5,0.195812807881773,1465,"R_eFZQYTp4gO6YksF",5,4,1572,"R_2qw808RHTW32LfJ","2'500- 4'000€
<4'300- 5'899CHF",24,26,"okay"
