"","m","impact.wave1","events.wave1","ee_concerns.wave1","country","impact.wave2","energy_price","percent_energy","gas_price","percent_gas","ee_concerns.wave2","events.wave2","n","ee_concerns.diff","impact.diff"
"1",227471319859444,3,348,4,"Germany",3,2,8,3,NA,2,348922,1,2,0
"2",227471319859447,4,34,5,"Switzerland",3,3,NA,2,15,4,3,1,1,1
"3",227471450945619,3,48,1,"Switzerland",4,2,3,2,5,1,8,1,0,-1
"4",227471450957862,2,4,5,"Switzerland",2,2,50,2,30,4,4822,1,1,0
"5",229166066768915,4,4,4,"Germany",4,2,5,2,10,4,20,1,0,0
"6",229166066770991,3,48,6,"Germany",4,4,10,4,10,5,20,1,1,-1
"7",229166066770993,3,48,6,"Germany",3,2,50,2,20,5,4,1,1,0
"8",229166066778296,2,34,5,"Germany",3,2,15,2,25,5,3422,1,0,-1
"9",229166066778304,2,34,5,"Germany",2,2,90,2,80,5,32021422,1,0,0
"10",229166066778312,3,48,5,"Germany",3,2,60,3,NA,5,20214822,1,0,0
"11",229166066780404,4,8,5,"Germany",3,2,30,2,30,6,202148,1,-1,1
"12",229166066782222,3,13456,6,"Germany",3,3,NA,2,10,5,132048,1,1,0
"13",229166066786390,4,8,4,"Germany",3,2,15,2,20,6,20214,1,-2,1
"14",229166066788472,3,34,5,"Germany",4,4,5,3,NA,5,20218,1,0,-1
"15",229166066788475,4,4,6,"Germany",4,4,12,4,15,6,214,1,0,0
"16",229166066789519,4,11,2,"Germany",4,2,20,2,25,1,1,1,1,0
"17",229166066792658,1,11,5,"Germany",1,2,50,2,50,6,2022,1,-1,0
"18",229166066799696,4,11,1,"Germany",4,3,NA,3,NA,3,11,1,-2,0
"19",229166066803864,2,348,6,"Germany",4,2,30,2,40,6,32021422,1,0,-2
"20",229166066809875,1,34,6,"Germany",2,3,NA,3,NA,5,822,1,1,-1
"21",229166066821130,2,489,5,"Germany",4,2,50,2,30,5,20214922,1,0,-2
"22",229166066823206,4,4,2,"Germany",4,3,NA,3,NA,2,4,1,0,0
"23",229166066833639,1,134,6,"Germany",1,2,25,3,NA,6,134,1,0,0
"24",229166066833642,3,348,4,"Germany",3,2,25,3,NA,5,320214822,1,-1,0
"25",229166416656617,3,48,4,"Switzerland",3,2,25,4,30,3,48,1,1,0
"26",229166416657657,4,489,5,"Switzerland",3,2,10,2,5,4,148922,1,1,1
"27",229166416658444,3,12345689,2,"Switzerland",3,3,NA,3,NA,2,148922,1,0,0
"28",229166416658456,4,49,4,"Switzerland",3,2,20,2,15,4,34,1,0,1
