"","postal.code","ResponseId","m","country","price.diff.percent","price.diff","Preis2022","Preis2023"
"1",1203,"R_9ELsKDXdklSgout",229242450000078,2,22.8,4.5,19.7,24.2
"2",1260,"R_OwY0BjyA8AlUB3z",229937962990809,2,51.5,12.6,24.5,37.2
"3",1568,"R_3EmcbAxB2fgWfm5",229678093294826,2,19.8,4.19,21.2,25.4
"4",1700,"R_3fTRdl9Y4HIzfQI",229242449966323,2,19.8,4.19,21.2,25.4
"5",1700,"R_3qatyGZwQtBLs5f",229256171858967,2,19.8,4.19,21.2,25.4
"6",1716,"R_1jIJHh1689WJ1Wf",230296025094160,2,19.8,4.19,21.2,25.4
"7",2000,"R_oZRgNtKPISTf8Qh",229242450013428,2,40.6,9.51,23.6,33.1
"8",2500,"R_stC3dwfSaL6cLBL",229321438035199,2,29,7.17,24.7,31.9
"9",2504,"R_3PB2Ltxuh03nSYU",229678093243470,2,29,7.17,24.7,31.9
"10",2504,"R_2R3WdyyTBE50O4B",229242449960062,2,29,7.17,24.7,31.9
"11",2554,"R_21hMGEwDlPxhjIx",229242449956922,2,1.19,0.3,25.2,25.5
"12",2854,"R_A0evhkLCvzpJ2Jb",229937963061289,2,1.19,0.3,25.2,25.5
"13",3007,"R_3xe9GWONYDTpSKZ",229321437670402,2,20,4.25,21.2,25.5
"14",3008,"R_2YEre5bJYfgYrBC",229321437994179,2,20,4.25,21.2,25.5
"15",3008,"R_vwBxcGO3XV6CNqx",229321437924448,2,20,4.25,21.2,25.5
"16",3008,"R_2Vr5HURfk3ALUOy",229321437921368,2,20,4.25,21.2,25.5
"17",3013,"R_1CeTcMn0lbUzusP",229410207421640,2,20,4.25,21.2,25.5
"18",3018,"R_3LYXqMeVnadDV9q",229321438159066,2,20,4.25,21.2,25.5
"19",3027,"R_ctDsV86N4F35z6p",229321437737054,2,20,4.25,21.2,25.5
"20",3032,"R_2qvzPowbEHSePSC",229321437681681,2,1.19,0.3,25.2,25.5
"21",3052,"R_2yrOKnTx9VJIJYc",229678093439187,2,1.19,0.3,25.2,25.5
"22",3063,"R_25HpnGCVJmRDJeN",229256171906265,2,1.19,0.3,25.2,25.5
"23",3072,"R_3m7AJOItrFHHcFB",229166416667853,2,1.19,0.3,25.2,25.5
"24",3072,"R_vOUVtIULfb961Kp",229678093112449,2,1.19,0.3,25.2,25.5
"25",3074,"R_30bGOYP8zubfggO",229678093404311,2,1.19,0.3,25.2,25.5
