"","postal.code"
"1",4528
"2",5034
"3",4800
"4",8135
"5",6206
"6",4055
"7",7220
"8",6403
"9",4055
"10",5400
"11",3322
"12",8152
"13",6285
"14",6343
"15",8153
"16",9442
"17",3013
"18",9320
"19",8590
"20",8954
"21",8180
"22",4500
"23",7270
"24",5507
"25",9442
"26",4054
"27",6020
"28",4917
"29",9016
"30",4914
"31",9011
"32",5623
"33",9000
"34",8634
"35",4500
"36",3213
"37",3905
"38",5415
"39",8606
"40",8193
"41",9451
"42",8047
"43",3270
"44",3063
"45",9244
"46",9562
"47",8564
"48",8048
"49",5012
"50",3400
"51",5432
"52",9470
"53",5332
"54",7250
"55",2543
"56",8049
"57",1716
"58",3183
"59",5466
"60",5442
"61",8716
"62",6340
"63",6030
"64",6122
"65",7402
"66",3004
"67",3862
"68",4452
"69",8623
"70",9100
"71",8903
"72",8004
"73",6004
"74",5210
"75",8353
"76",8632
"77",4103
"78",3178
"79",9100
"80",5024
"81",6023
"82",8400
"83",6010
"84",8450
"85",3115
"86",8542
"87",8730
"88",3775
"89",6015
"90",8910
"91",5734
"92",8280
"93",3552
"94",8595
"95",8957
"96",8173
"97",3633
"98",5524
"99",8122
"100",8953
"101",4702
"102",8108
"103",8762
"104",8001
"105",5722
"106",2554
"107",3072
"108",9450
"109",9430
"110",3713
"111",6020
"112",9240
"113",8600
"114",8633
"115",8185
"116",4313
"117",6500
"118",8552
"119",5000
"120",8156
"121",3063
"122",6142
"123",8187
"124",8483
"125",8152
"126",8535
"127",8047
"128",8702
"129",3536
"130",4000
"131",8311
"132",8712
"133",3008
"134",5036
"135",8049
"136",8193
"137",8957
"138",51379
"139",4717
"140",3326
"141",9450
"142",4057
"143",3752
"144",8000
"145",9100
"146",9000
"147",8624
"148",4053
"149",5330
"150",8238
"151",4053
"152",3661
"153",8634
"154",8049
"155",3628
"156",6265
"157",6020
"158",3930
"159",8004
"160",4052
"161",4056
"162",4452
"163",9055
"164",4057
"165",4633
"166",8200
"167",6000
"168",4562
"169",4056
"170",5704
"171",8248
"172",5722
"173",6422
"174",3600
"175",9552
"176",3432
"177",3110
"178",4123
"179",9230
"180",3324
"181",4612
"182",6300
"183",4419
"184",8222
"185",5014
"186",6003
"187",3032
"188",3250
"189",4950
"190",8580
"191",2504
"192",8500
"193",8046
"194",4058
"195",5430
"196",8057
"197",5432
"198",9126
"199",3097
"200",4055
"201",8703
"202",8304
"203",8180
"204",8863
"205",9424
"206",5242
"207",8427
"208",4242
"209",4055
"210",8804
"211",4052
"212",4055
"213",5223
"214",5312
"215",3270
"216",8356
"217",4153
"218",8902
"219",8005
"220",4144
"221",8805
"222",8630
"223",3075
"224",3125
"225",6460
"226",8197
"227",5042
"228",3008
"229",9452
"230",9526
"231",8037
"232",8405
"233",1700
"234",9470
"235",6330
"236",9014
"237",8132
"238",9532
"239",4955
"240",8102
"241",8037
"242",4600
"243",3186
"244",8240
"245",4053
"246",4802
"247",3538
"248",6403
"249",3008
"250",3004
"251",6243
"252",8041
"253",3550
"254",3052
"255",8570
"256",8451
"257",3363
"258",6200
"259",9000
"260",8362
"261",3818
"262",9103
"263",8280
"264",8050
"265",8222
"266",3074
"267",6600
"268",6370
"269",6465
"270",6280
"271",6038
"273",5412
"274",6074
"275",5430
"276",4852
"277",8005
"278",8512
"279",3123
"280",1568
"281",6048
"282",2514
"283",9435
"284",7000
"285",8451
"286",8610
"287",1700
"288",8730
"289",6247
"290",8952
"291",6048
"292",6950
"293",4800
"294",4528
"295",8800
"296",8717
"297",5722
"298",9630
"300",6982
"301",6403
"302",9533
"303",8180
"304",5014
"305",3604
