"","m","ResponseId.wave1.x","mean.est.bias.wave1","mean.abs.error.wave1","binary.x","ResponseId.wave2","ResponseId.x","mean.est.bias.wave2","mean.abs.error.wave2","binary.y","numeracy.f","error.diff","error.diff.2","error.diff.f","Duration.wave1","ResponseId.wave1.y","gender","country","income.wave1","education","household_size","politicalorientation_1","Duration.wave2","ResponseId.y","age","income.wave2","Minutes.wave1","Minutes.wave2","Minutes"
"1",227471319859444,"R_8q6n1RRt6MyyXex",0.432,0.57,"over","R_tE6MoKzmZtjFxD3","R_tE6MoKzmZtjFxD3",0.642,0.736,"over","numeracy high",-0.166,-0.2,"increased error",1022,"R_8q6n1RRt6MyyXex","male","Germany","> 4'000€
>5'900 CHF","middle school",2,3,1157,"R_tE6MoKzmZtjFxD3",73,"> 4'000€
>5'900 CHF",17,19,"okay"
"2",227471319859447,"R_3037BPovs68z8Wp",-0.231,0.421,"under","R_Ojo34qwq19Vpce5","R_Ojo34qwq19Vpce5",-0.158,0.526,"under","numeracy low",-0.105,-0.1,"increased error",1366,"R_3037BPovs68z8Wp","female","Germany","<1'500- 2'499€
3'100-4'299CHF","degree",2,5,2392,"R_Ojo34qwq19Vpce5",64,"<1'500€
<3'100CHF",22,39,"okay"
"3",227471450945619,"R_eFZQYTp4gO6YksF",0.436,0.499,"over","R_2qw808RHTW32LfJ","R_2qw808RHTW32LfJ",0.0523,0.458,"over","numeracy high",0.041,0,"no change",1465,"R_eFZQYTp4gO6YksF","female","Switzerland","> 4'000€
>5'900 CHF","degree",5,4,1572,"R_2qw808RHTW32LfJ",57,"2'500- 4'000€
<4'300- 5'899CHF",24,26,"okay"
"4",227471450957862,"R_DqafDJUij6pOidj",-1.74,1.74,"under","R_1oqkBndhcpDZMqi","R_1oqkBndhcpDZMqi",-1.08,1.08,"under","numeracy low",0.66,0.7,"decreased error",574,"R_DqafDJUij6pOidj","female","Switzerland","> 4'000€
>5'900 CHF","no formal education",3,4,851,"R_1oqkBndhcpDZMqi",41,"2'500- 4'000€
<4'300- 5'899CHF",9,14,"okay"
"5",229166066768913,"R_1DHkbYKKczezY5F",-0.19,0.628,"under","R_5ubF1SY3fuyTBgB","R_5ubF1SY3fuyTBgB",0.589,0.589,"over","numeracy low",0.039,0,"no change",10587,"R_1DHkbYKKczezY5F","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","no formal education",2,5,2617,"R_5ubF1SY3fuyTBgB",52,"2'500- 4'000€
<4'300- 5'899CHF",176,43,"okay"
"6",229166066768915,"R_sSR9IooKusigb73",0.342,0.569,"over","R_3rS4w78ysOQsr12","R_3rS4w78ysOQsr12",0.479,0.569,"over","numeracy high",0,0,"no change",1200,"R_sSR9IooKusigb73","male","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",1,7,639,"R_3rS4w78ysOQsr12",35,"<1'500- 2'499€
3'100-4'299CHF",20,10,"okay"
"7",229166066769952,"R_3000hwBRNJeHRkh",-0.74,0.799,"under","R_1JWxlIuMDhQbBIo","R_1JWxlIuMDhQbBIo",-0.498,0.545,"under","numeracy low",0.254,0.3,"decreased error",714,"R_3000hwBRNJeHRkh","male","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",1,5,1107,"R_1JWxlIuMDhQbBIo",35,"<1'500- 2'499€
3'100-4'299CHF",11,18,"okay"
"8",229166066770991,"R_3ffPXWQN4a5pytn",-0.868,0.939,"under","R_3nAgm8GpHtzVUDU","R_3nAgm8GpHtzVUDU",-1.3,1.3,"under","numeracy low",-0.361,-0.4,"increased error",697,"R_3ffPXWQN4a5pytn","male","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",1,5,886,"R_3nAgm8GpHtzVUDU",69,"<1'500- 2'499€
3'100-4'299CHF",11,14,"okay"
"9",229166066770993,"R_O8b53p7xh5bwplT",0.00338,0.394,"over","R_1mPZTN6F4Yrwu6f","R_1mPZTN6F4Yrwu6f",-0.252,0.397,"under","numeracy low",-0.003,0,"no change",1609,"R_O8b53p7xh5bwplT","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,5,4263,"R_1mPZTN6F4Yrwu6f",58,"2'500- 4'000€
<4'300- 5'899CHF",26,71,"okay"
"10",229166066770995,"R_3pur3flLVeCyf0a",-1.47,1.47,"under","R_1Nwcl43Ai659iKk","R_1Nwcl43Ai659iKk",-1.66,1.66,"under","numeracy low",-0.19,-0.2,"increased error",1721,"R_3pur3flLVeCyf0a","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,5,3500,"R_1Nwcl43Ai659iKk",50,"<1'500- 2'499€
3'100-4'299CHF",28,58,"okay"
"11",229166066770996,"R_eQGtapLFAf1IMTv",0.678,0.682,"over","R_1gSAD3TrXCoKAP8","R_1gSAD3TrXCoKAP8",0.0133,0.523,"over","numeracy low",0.159,0.2,"decreased error",923,"R_eQGtapLFAf1IMTv","female","Germany","<1'500€
<3'100CHF","no formal education",1,4,11389,"R_1gSAD3TrXCoKAP8",56,"<1'500€
<3'100CHF",15,189,"okay"
"12",229166066772029,"R_3gUFyQf7Rr82fjq",0.678,0.752,"over","R_xsifixdM2f3FCTf","R_xsifixdM2f3FCTf",0.211,0.73,"over","numeracy low",0.022,0,"no change",1290,"R_3gUFyQf7Rr82fjq","male","Germany","> 4'000€
>5'900 CHF","middle school",4,2,1555,"R_xsifixdM2f3FCTf",43,"> 4'000€
>5'900 CHF",21,25,"okay"
"13",229166066772032,"R_2U4PlWg8c50p8eU",0.168,0.348,"over","R_OHz0Pqln4SpsteV","R_OHz0Pqln4SpsteV",0.38,0.417,"over","numeracy low",-0.069,-0.1,"increased error",955,"R_2U4PlWg8c50p8eU","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,5,1992,"R_OHz0Pqln4SpsteV",51,"> 4'000€
>5'900 CHF",15,33,"okay"
"14",229166066774127,"R_aV36R7kJhEmeyyd",-0.178,0.43,"under","R_1eVHrT71kd11atG","R_1eVHrT71kd11atG",-0.695,0.728,"under","numeracy low",-0.298,-0.3,"increased error",514,"R_aV36R7kJhEmeyyd","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",1,3,671,"R_1eVHrT71kd11atG",37,"2'500- 4'000€
<4'300- 5'899CHF",8,11,"okay"
"15",229166066775173,"R_1cUttmhVO5YA2hl",-0.149,0.346,"under","R_oY2EItjnjxzqhYR","R_oY2EItjnjxzqhYR",-0.615,0.647,"under","numeracy low",-0.301,-0.3,"increased error",693,"R_1cUttmhVO5YA2hl","female","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",3,6,1641,"R_oY2EItjnjxzqhYR",24,"<1'500- 2'499€
3'100-4'299CHF",11,27,"okay"
"16",229166066778296,"R_3gXXt1W2K8Pos3x",0.311,0.769,"over","R_1Frcm9brNvhVz0E","R_1Frcm9brNvhVz0E",-1.08,1.08,"under","numeracy low",-0.311,-0.3,"increased error",1123,"R_3gXXt1W2K8Pos3x","female","Germany","> 4'000€
>5'900 CHF","middle school",2,5,1239,"R_1Frcm9brNvhVz0E",59,"> 4'000€
>5'900 CHF",18,20,"okay"
"17",229166066778304,"R_1C4wdUlbfbQ1hML",-0.223,0.488,"under","R_8hNT7jXVSBb9qhP","R_8hNT7jXVSBb9qhP",-0.0925,0.274,"under","numeracy high",0.214,0.2,"decreased error",1477,"R_1C4wdUlbfbQ1hML","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",1,3,1453,"R_8hNT7jXVSBb9qhP",70,"<1'500- 2'499€
3'100-4'299CHF",24,24,"okay"
"18",229166066778312,"R_BywDqqxLxP5MOLD",0.108,0.346,"over","R_3Oq241l7XqxA9WE","R_3Oq241l7XqxA9WE",0.123,0.242,"over","numeracy low",0.104,0.1,"decreased error",1299,"R_BywDqqxLxP5MOLD","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,3,1503,"R_3Oq241l7XqxA9WE",64,"2'500- 4'000€
<4'300- 5'899CHF",21,25,"okay"
"19",229166066780393,"R_2AYaEaBun0p5kaC",-1.01,1.01,"under","R_1Oq34eyVcqNOov1","R_1Oq34eyVcqNOov1",-0.393,0.486,"under","numeracy low",0.524,0.5,"decreased error",956,"R_2AYaEaBun0p5kaC","male","Germany","> 4'000€
>5'900 CHF","obligatory school",2,8,1028,"R_1Oq34eyVcqNOov1",57,"> 4'000€
>5'900 CHF",15,17,"okay"
"20",229166066780404,"R_3ke5ZDJpQBX1C0j",0.0622,0.528,"over","R_1IGfF1abpdkWhLy","R_1IGfF1abpdkWhLy",0.124,0.466,"over","numeracy low",0.062,0.1,"decreased error",1365,"R_3ke5ZDJpQBX1C0j","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,5,1497,"R_1IGfF1abpdkWhLy",72,"2'500- 4'000€
<4'300- 5'899CHF",22,24,"okay"
"21",229166066782222,"R_21aXH4qkpWoMUfc",-0.0082,0.574,"under","R_1I6MKxO41jAt15N","R_1I6MKxO41jAt15N",-0.0323,0.689,"under","numeracy low",-0.115,-0.1,"increased error",1295,"R_21aXH4qkpWoMUfc","male","Germany","<1'500- 2'499€
3'100-4'299CHF","degree",2,5,1439,"R_1I6MKxO41jAt15N",29,"2'500- 4'000€
<4'300- 5'899CHF",21,23,"okay"
"22",229166066786390,"R_2VdofypBJBuhz1H",-0.382,0.579,"under","R_1LUJuqInfZjP2R8","R_1LUJuqInfZjP2R8",-0.233,0.434,"under","numeracy low",0.145,0.1,"decreased error",876,"R_2VdofypBJBuhz1H","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,8,1868,"R_1LUJuqInfZjP2R8",60,"2'500- 4'000€
<4'300- 5'899CHF",14,31,"okay"
"23",229166066788467,"R_wMLudDlqiyZgrTP",-0.136,0.441,"under","R_1IT6KwLp3K88KU6","R_1IT6KwLp3K88KU6",-1.1,1.21,"under","numeracy high",-0.769,-0.8,"increased error",915,"R_wMLudDlqiyZgrTP","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",1,8,789,"R_1IT6KwLp3K88KU6",56,"<1'500- 2'499€
3'100-4'299CHF",15,13,"okay"
"24",229166066788475,"R_WfbcOa4R3TKEukN",-0.543,0.689,"under","R_eUJ7b0qtFajcHiF","R_eUJ7b0qtFajcHiF",-0.872,0.872,"under","numeracy low",-0.183,-0.2,"increased error",639,"R_WfbcOa4R3TKEukN","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",2,6,855,"R_eUJ7b0qtFajcHiF",60,"> 4'000€
>5'900 CHF",10,14,"okay"
"25",229166066789519,"R_2EEuiLLUQlAKcEz",-0.289,0.561,"under","R_ZKQs1KphaxQxIbf","R_ZKQs1KphaxQxIbf",-0.553,0.585,"under","numeracy low",-0.0239999999999999,0,"no change",481,"R_2EEuiLLUQlAKcEz","male","Germany","<1'500- 2'499€
3'100-4'299CHF","no formal education",2,6,382,"R_ZKQs1KphaxQxIbf",25,"<1'500- 2'499€
3'100-4'299CHF",8,6,"speeder"
"26",229166066790561,"R_3haa92gLJ7b3TlA",-0.0116,0.451,"under","R_1P5chxMcINlG3fJ","R_1P5chxMcINlG3fJ",-0.00153,0.671,"under","numeracy low",-0.22,-0.2,"increased error",957,"R_3haa92gLJ7b3TlA","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",4,7,1137,"R_1P5chxMcINlG3fJ",33,"2'500- 4'000€
<4'300- 5'899CHF",15,18,"okay"
"27",229166066792658,"R_DAy13Qg9X0yju5b",-0.304,0.803,"under","R_2ZQvMICyBHJJC25","R_2ZQvMICyBHJJC25",-0.431,0.808,"under","numeracy low",-0.005,0,"no change",1235,"R_DAy13Qg9X0yju5b","male","Germany","<1'500€
<3'100CHF","no formal education",1,5,1520,"R_2ZQvMICyBHJJC25",57,"<1'500€
<3'100CHF",20,25,"okay"
"28",229166066799696,"R_2e8rPRQ3Tf6hpC0",-0.0648,0.754,"under","R_3Pe0emppqE6grrU","R_3Pe0emppqE6grrU",0.799,0.799,"over","numeracy low",-0.045,0,"no change",2921,"R_2e8rPRQ3Tf6hpC0","male","Germany","<1'500- 2'499€
3'100-4'299CHF","no formal education",1,5,939,"R_3Pe0emppqE6grrU",41,"<1'500- 2'499€
3'100-4'299CHF",48,15,"okay"
"29",229166066803864,"R_2cBDYRcdwlr6tJe",0.469,0.648,"over","R_10xEptLaoi40BlX","R_10xEptLaoi40BlX",0.14,0.543,"over","numeracy low",0.105,0.1,"decreased error",1514,"R_2cBDYRcdwlr6tJe","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","no formal education",3,4,2083,"R_10xEptLaoi40BlX",67,"2'500- 4'000€
<4'300- 5'899CHF",25,34,"okay"
"30",229166066809875,"R_3iwZiFBbukhyafr",-0.172,0.304,"under","R_6s6crm2aG0TsoBr","R_6s6crm2aG0TsoBr",-0.19,0.619,"under","numeracy high",-0.315,-0.3,"increased error",5059,"R_3iwZiFBbukhyafr","female","Germany","<1'500€
<3'100CHF","middle school",1,5,2803,"R_6s6crm2aG0TsoBr",64,"<1'500€
<3'100CHF",84,46,"okay"
"31",229166066809882,"R_2txmnVLQNoVL3lA",-1.17,1.17,"under","R_2afTzFOww0h9R2E","R_2afTzFOww0h9R2E",-0.87,0.87,"under","numeracy low",0.3,0.3,"decreased error",311,"R_2txmnVLQNoVL3lA","female","Germany","<1'500- 2'499€
3'100-4'299CHF","no formal education",2,6,394,"R_2afTzFOww0h9R2E",24,"<1'500- 2'499€
3'100-4'299CHF",5,6,"speeder"
"32",229166066821130,"R_2BnFF7O0UemP6bn",-0.164,0.361,"under","R_1KXEGN3b38r2ypb","R_1KXEGN3b38r2ypb",0.0508,0.333,"over","numeracy low",0.028,0,"no change",1319,"R_2BnFF7O0UemP6bn","female","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",2,4,829,"R_1KXEGN3b38r2ypb",36,"<1'500- 2'499€
3'100-4'299CHF",21,13,"okay"
"33",229166066823206,"R_3iD1T8NlCZIuSSn",0.56,0.602,"over","R_wKMS5f4HdQYL8Zj","R_wKMS5f4HdQYL8Zj",-0.824,0.97,"under","numeracy low",-0.368,-0.4,"increased error",1602,"R_3iD1T8NlCZIuSSn","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",3,3,1437,"R_wKMS5f4HdQYL8Zj",19,"2'500- 4'000€
<4'300- 5'899CHF",26,23,"okay"
"34",229166066831553,"R_1o73oJZeSvsMGPn",-0.49,0.709,"under","R_ugDYeh2JMMg4YWB","R_ugDYeh2JMMg4YWB",0.0928,0.535,"over","numeracy low",0.174,0.2,"decreased error",648,"R_1o73oJZeSvsMGPn","female","Germany","> 4'000€
>5'900 CHF","middle school",2,6,1161,"R_ugDYeh2JMMg4YWB",37,"> 4'000€
>5'900 CHF",10,19,"okay"
"35",229166066833642,"R_cTN0cTJ7C5jMipr",0.308,0.561,"over","R_2S8EuuoWZ1zlEUd","R_2S8EuuoWZ1zlEUd",0.031,0.87,"over","numeracy high",-0.309,-0.3,"increased error",598,"R_cTN0cTJ7C5jMipr","male","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",4,7,730,"R_2S8EuuoWZ1zlEUd",20,"2'500- 4'000€
<4'300- 5'899CHF",9,12,"okay"
