"","m","impact.wave1","events.wave1","ee_concerns.wave1","country","impact.wave2","energy_price","percent_energy","gas_price","percent_gas","ee_concerns.wave2","events.wave2","n","ee_concerns.diff","impact.diff"
"1",227471319859444,3,348,4,"Germany",3,2,8,3,NA,2,348922,1,2,0
"2",227471319859447,4,34,5,"Switzerland",3,3,NA,2,15,4,3,1,1,1
"3",227471450945619,3,48,1,"Switzerland",4,2,3,2,5,1,8,1,0,-1
"4",227471450957862,2,4,5,"Switzerland",2,2,50,2,30,4,4822,1,1,0
"5",229166066768913,3,348,4,"Germany",3,2,10,2,15,4,3422,1,0,0
"6",229166066768915,4,4,4,"Germany",4,2,5,2,10,4,20,1,0,0
"7",229166066769952,3,11,4,"Germany",3,2,30,2,15,5,11,1,-1,0
"8",229166066770991,3,48,6,"Germany",4,4,10,4,10,5,20,1,1,-1
"9",229166066770993,3,48,6,"Germany",3,2,50,2,20,5,4,1,1,0
"10",229166066770995,4,3,4,"Germany",3,2,30,2,80,5,204,1,-1,1
"11",229166066770996,2,34,5,"Germany",2,2,20,2,20,6,3204,1,-1,0
"12",229166066772029,5,34,5,"Germany",3,2,53,2,47,6,32148,1,-1,2
"13",229166066772032,2,34,4,"Germany",3,3,NA,3,NA,4,32021422,1,0,-1
"14",229166066774127,4,34,3,"Germany",3,3,NA,2,10,4,320,1,-1,1
"15",229166066775173,4,1,3,"Germany",3,3,NA,3,NA,4,11,1,-1,1
"16",229166066778296,2,34,5,"Germany",3,2,15,2,25,5,3422,1,0,-1
"17",229166066778304,2,34,5,"Germany",2,2,90,2,80,5,32021422,1,0,0
"18",229166066778312,3,48,5,"Germany",3,2,60,3,NA,5,20214822,1,0,0
"19",229166066780393,4,34,3,"Germany",3,3,NA,2,10,5,11,1,-2,1
"20",229166066780404,4,8,5,"Germany",3,2,30,2,30,6,202148,1,-1,1
"21",229166066782222,3,13456,6,"Germany",3,3,NA,2,10,5,132048,1,1,0
"22",229166066786390,4,8,4,"Germany",3,2,15,2,20,6,20214,1,-2,1
"23",229166066788467,4,8,6,"Germany",3,3,NA,3,NA,6,11,1,0,1
"24",229166066788475,4,4,6,"Germany",4,4,12,4,15,6,214,1,0,0
"25",229166066789519,4,11,2,"Germany",4,2,20,2,25,1,1,1,1,0
"26",229166066790561,3,3,4,"Germany",4,3,NA,2,30,5,3,1,-1,-1
"27",229166066792658,1,11,5,"Germany",1,2,50,2,50,6,2022,1,-1,0
"28",229166066799696,4,11,1,"Germany",4,3,NA,3,NA,3,11,1,-2,0
