"","ResponseId","verhalten","similarity","verhalten2","v2","v1","similarity.2"
"1","R_06dMV3ns8Oso0fv","ab",1,"ab","b","a",9
"2","R_06dMV3ns8Oso0fv","ac",1,"ac","c","a",9
"3","R_06dMV3ns8Oso0fv","ad",1,"ad","d","a",9
"4","R_06dMV3ns8Oso0fv","ae",9,"ae","e","a",1
"5","R_06dMV3ns8Oso0fv","af",5,"af","f","a",5
"6","R_06dMV3ns8Oso0fv","bc",1,"bc","c","b",9
"7","R_06dMV3ns8Oso0fv","bd",1,"bd","d","b",9
"8","R_06dMV3ns8Oso0fv","be",4,"be","e","b",6
"9","R_06dMV3ns8Oso0fv","bf",1,"bf","f","b",9
"10","R_06dMV3ns8Oso0fv","cd",1,"cd","d","c",9
"11","R_06dMV3ns8Oso0fv","ce",1,"ce","e","c",9
"12","R_06dMV3ns8Oso0fv","cf",1,"cf","f","c",9
"13","R_06dMV3ns8Oso0fv","de",1,"de","e","d",9
"14","R_06dMV3ns8Oso0fv","df",1,"df","f","d",9
"15","R_06dMV3ns8Oso0fv","ef",9,"ef","f","e",1
"16","R_06dMV3ns8Oso0fv","fa",5,"fa","a","f",5
"17","R_06dMV3ns8Oso0fv","ea",9,"ea","a","e",1
"18","R_06dMV3ns8Oso0fv","da",1,"da","a","d",9
"19","R_06dMV3ns8Oso0fv","ca",1,"ca","a","c",9
"20","R_06dMV3ns8Oso0fv","ba",1,"ba","a","b",9
"21","R_06dMV3ns8Oso0fv","fb",1,"fb","b","f",9
"22","R_06dMV3ns8Oso0fv","eb",4,"eb","b","e",6
"23","R_06dMV3ns8Oso0fv","db",1,"db","b","d",9
"24","R_06dMV3ns8Oso0fv","cb",1,"cb","b","c",9
"25","R_06dMV3ns8Oso0fv","fc",1,"fc","c","f",9
"26","R_06dMV3ns8Oso0fv","ec",1,"ec","c","e",9
"27","R_06dMV3ns8Oso0fv","dc",1,"dc","c","d",9
"28","R_06dMV3ns8Oso0fv","fd",1,"fd","d","f",9
"29","R_06dMV3ns8Oso0fv","ed",1,"ed","d","e",9
"30","R_06dMV3ns8Oso0fv","fe",9,"fe","e","f",1
"31","R_08pQbcqpFcnHu6Z","ab",4,"ab","b","a",6
"32","R_08pQbcqpFcnHu6Z","ac",2,"ac","c","a",8
"33","R_08pQbcqpFcnHu6Z","ad",4,"ad","d","a",6
"34","R_08pQbcqpFcnHu6Z","ae",4,"ae","e","a",6
"35","R_08pQbcqpFcnHu6Z","af",4,"af","f","a",6
