"","ResponseId","m","Sum","gender","country","education","household_size","Duration.wave2","age","income.wave2","Minutes.wave2","Minutes","climate_concern","concern.scaled","percent","type","choice","A","B","priceA","priceB","energyA","energyB","trade.price","trade.energy","price.level","energy.level"
"1","R_06dMV3ns8Oso0fv",229320605949036,4,"male","Germany","obligatory school",1,698,49,"<1'500€
<3'100CHF",11,"okay",4,-0.640144230769231,0.571428571428571,"exp.low_che.int",1,"exp.low","che.int","exp","che","low","int","expensive-cheap","low-medium","2","1"
"2","R_06dMV3ns8Oso0fv",229320605949036,4,"male","Germany","obligatory school",1,698,49,"<1'500€
<3'100CHF",11,"okay",4,-0.640144230769231,0.571428571428571,"exp.low_che.hig",0,"exp.low","che.hig","exp","che","low","hig","expensive-cheap","low-high","2","2"
"3","R_06dMV3ns8Oso0fv",229320605949036,4,"male","Germany","obligatory school",1,698,49,"<1'500€
<3'100CHF",11,"okay",4,-0.640144230769231,0.571428571428571,"exp.low_mid.hig",0,"exp.low","mid.hig","exp","mid","low","hig","expensive-mid","low-high","1","2"
"4","R_06dMV3ns8Oso0fv",229320605949036,4,"male","Germany","obligatory school",1,698,49,"<1'500€
<3'100CHF",11,"okay",4,-0.640144230769231,0.571428571428571,"exp.int_che.hig",1,"exp.int","che.hig","exp","che","int","hig","expensive-cheap","medium-high","2","1"
"5","R_06dMV3ns8Oso0fv",229320605949036,4,"male","Germany","obligatory school",1,698,49,"<1'500€
<3'100CHF",11,"okay",4,-0.640144230769231,0.571428571428571,"exp.int_mid.hig",1,"exp.int","mid.hig","exp","mid","int","hig","expensive-mid","medium-high","1","1"
"6","R_06dMV3ns8Oso0fv",229320605949036,4,"male","Germany","obligatory school",1,698,49,"<1'500€
<3'100CHF",11,"okay",4,-0.640144230769231,0.571428571428571,"mid.low_che.int",0,"mid.low","che.int","mid","che","low","int","mid-cheap","low-medium","1","1"
"7","R_06dMV3ns8Oso0fv",229320605949036,4,"male","Germany","obligatory school",1,698,49,"<1'500€
<3'100CHF",11,"okay",4,-0.640144230769231,0.571428571428571,"mid.low_che.hig",1,"mid.low","che.hig","mid","che","low","hig","mid-cheap","low-high","1","2"
"8","R_08pQbcqpFcnHu6Z",229410206679098,2,"female","Switzerland","degree",5,1076,31,"> 4'000€
>5'900 CHF",17,"okay",6,1.35985576923077,0.285714285714286,"exp.low_che.int",0,"exp.low","che.int","exp","che","low","int","expensive-cheap","low-medium","2","1"
"9","R_08pQbcqpFcnHu6Z",229410206679098,2,"female","Switzerland","degree",5,1076,31,"> 4'000€
>5'900 CHF",17,"okay",6,1.35985576923077,0.285714285714286,"exp.low_che.hig",0,"exp.low","che.hig","exp","che","low","hig","expensive-cheap","low-high","2","2"
"10","R_08pQbcqpFcnHu6Z",229410206679098,2,"female","Switzerland","degree",5,1076,31,"> 4'000€
>5'900 CHF",17,"okay",6,1.35985576923077,0.285714285714286,"exp.low_mid.hig",1,"exp.low","mid.hig","exp","mid","low","hig","expensive-mid","low-high","1","2"
"11","R_08pQbcqpFcnHu6Z",229410206679098,2,"female","Switzerland","degree",5,1076,31,"> 4'000€
>5'900 CHF",17,"okay",6,1.35985576923077,0.285714285714286,"exp.int_che.hig",0,"exp.int","che.hig","exp","che","int","hig","expensive-cheap","medium-high","2","1"
"12","R_08pQbcqpFcnHu6Z",229410206679098,2,"female","Switzerland","degree",5,1076,31,"> 4'000€
>5'900 CHF",17,"okay",6,1.35985576923077,0.285714285714286,"exp.int_mid.hig",0,"exp.int","mid.hig","exp","mid","int","hig","expensive-mid","medium-high","1","1"
"13","R_08pQbcqpFcnHu6Z",229410206679098,2,"female","Switzerland","degree",5,1076,31,"> 4'000€
>5'900 CHF",17,"okay",6,1.35985576923077,0.285714285714286,"mid.low_che.int",1,"mid.low","che.int","mid","che","low","int","mid-cheap","low-medium","1","1"
"14","R_08pQbcqpFcnHu6Z",229410206679098,2,"female","Switzerland","degree",5,1076,31,"> 4'000€
>5'900 CHF",17,"okay",6,1.35985576923077,0.285714285714286,"mid.low_che.hig",0,"mid.low","che.hig","mid","che","low","hig","mid-cheap","low-high","1","2"
"15","R_0Ah8ZQaBntW3RmN",229321438136512,4,"female","Switzerland","degree",1,1984,59,"<1'500- 2'499€
3'100-4'299CHF",33,"okay",6,1.35985576923077,0.571428571428571,"exp.low_che.int",0,"exp.low","che.int","exp","che","low","int","expensive-cheap","low-medium","2","1"
"16","R_0Ah8ZQaBntW3RmN",229321438136512,4,"female","Switzerland","degree",1,1984,59,"<1'500- 2'499€
3'100-4'299CHF",33,"okay",6,1.35985576923077,0.571428571428571,"exp.low_che.hig",1,"exp.low","che.hig","exp","che","low","hig","expensive-cheap","low-high","2","2"
"17","R_0Ah8ZQaBntW3RmN",229321438136512,4,"female","Switzerland","degree",1,1984,59,"<1'500- 2'499€
3'100-4'299CHF",33,"okay",6,1.35985576923077,0.571428571428571,"exp.low_mid.hig",1,"exp.low","mid.hig","exp","mid","low","hig","expensive-mid","low-high","1","2"
"18","R_0Ah8ZQaBntW3RmN",229321438136512,4,"female","Switzerland","degree",1,1984,59,"<1'500- 2'499€
3'100-4'299CHF",33,"okay",6,1.35985576923077,0.571428571428571,"exp.int_che.hig",1,"exp.int","che.hig","exp","che","int","hig","expensive-cheap","medium-high","2","1"
"19","R_0Ah8ZQaBntW3RmN",229321438136512,4,"female","Switzerland","degree",1,1984,59,"<1'500- 2'499€
3'100-4'299CHF",33,"okay",6,1.35985576923077,0.571428571428571,"exp.int_mid.hig",0,"exp.int","mid.hig","exp","mid","int","hig","expensive-mid","medium-high","1","1"
"20","R_0Ah8ZQaBntW3RmN",229321438136512,4,"female","Switzerland","degree",1,1984,59,"<1'500- 2'499€
3'100-4'299CHF",33,"okay",6,1.35985576923077,0.571428571428571,"mid.low_che.int",0,"mid.low","che.int","mid","che","low","int","mid-cheap","low-medium","1","1"
"21","R_0Ah8ZQaBntW3RmN",229321438136512,4,"female","Switzerland","degree",1,1984,59,"<1'500- 2'499€
3'100-4'299CHF",33,"okay",6,1.35985576923077,0.571428571428571,"mid.low_che.hig",1,"mid.low","che.hig","mid","che","low","hig","mid-cheap","low-high","1","2"
"22","R_0GLAzLpKzb2dj0t",229410206607464,3,"male","Switzerland","obligatory school",1,809,32,"2'500- 4'000€
<4'300- 5'899CHF",13,"okay",5.25,0.609855769230769,0.428571428571429,"exp.low_che.int",0,"exp.low","che.int","exp","che","low","int","expensive-cheap","low-medium","2","1"
"23","R_0GLAzLpKzb2dj0t",229410206607464,3,"male","Switzerland","obligatory school",1,809,32,"2'500- 4'000€
<4'300- 5'899CHF",13,"okay",5.25,0.609855769230769,0.428571428571429,"exp.low_che.hig",0,"exp.low","che.hig","exp","che","low","hig","expensive-cheap","low-high","2","2"
"24","R_0GLAzLpKzb2dj0t",229410206607464,3,"male","Switzerland","obligatory school",1,809,32,"2'500- 4'000€
<4'300- 5'899CHF",13,"okay",5.25,0.609855769230769,0.428571428571429,"exp.low_mid.hig",1,"exp.low","mid.hig","exp","mid","low","hig","expensive-mid","low-high","1","2"
"25","R_0GLAzLpKzb2dj0t",229410206607464,3,"male","Switzerland","obligatory school",1,809,32,"2'500- 4'000€
<4'300- 5'899CHF",13,"okay",5.25,0.609855769230769,0.428571428571429,"exp.int_che.hig",0,"exp.int","che.hig","exp","che","int","hig","expensive-cheap","medium-high","2","1"
"26","R_0GLAzLpKzb2dj0t",229410206607464,3,"male","Switzerland","obligatory school",1,809,32,"2'500- 4'000€
<4'300- 5'899CHF",13,"okay",5.25,0.609855769230769,0.428571428571429,"exp.int_mid.hig",1,"exp.int","mid.hig","exp","mid","int","hig","expensive-mid","medium-high","1","1"
"27","R_0GLAzLpKzb2dj0t",229410206607464,3,"male","Switzerland","obligatory school",1,809,32,"2'500- 4'000€
<4'300- 5'899CHF",13,"okay",5.25,0.609855769230769,0.428571428571429,"mid.low_che.int",0,"mid.low","che.int","mid","che","low","int","mid-cheap","low-medium","1","1"
"28","R_0GLAzLpKzb2dj0t",229410206607464,3,"male","Switzerland","obligatory school",1,809,32,"2'500- 4'000€
<4'300- 5'899CHF",13,"okay",5.25,0.609855769230769,0.428571428571429,"mid.low_che.hig",1,"mid.low","che.hig","mid","che","low","hig","mid-cheap","low-high","1","2"
"29","R_0jlDzmWvG165Jfj",229758454228087,5,"male","Switzerland","degree",3,1198,65,"<1'500€
<3'100CHF",19,"okay",5.75,1.10985576923077,0.714285714285714,"exp.low_che.int",0,"exp.low","che.int","exp","che","low","int","expensive-cheap","low-medium","2","1"
"30","R_0jlDzmWvG165Jfj",229758454228087,5,"male","Switzerland","degree",3,1198,65,"<1'500€
<3'100CHF",19,"okay",5.75,1.10985576923077,0.714285714285714,"exp.low_che.hig",1,"exp.low","che.hig","exp","che","low","hig","expensive-cheap","low-high","2","2"
"31","R_0jlDzmWvG165Jfj",229758454228087,5,"male","Switzerland","degree",3,1198,65,"<1'500€
<3'100CHF",19,"okay",5.75,1.10985576923077,0.714285714285714,"exp.low_mid.hig",1,"exp.low","mid.hig","exp","mid","low","hig","expensive-mid","low-high","1","2"
"32","R_0jlDzmWvG165Jfj",229758454228087,5,"male","Switzerland","degree",3,1198,65,"<1'500€
<3'100CHF",19,"okay",5.75,1.10985576923077,0.714285714285714,"exp.int_che.hig",1,"exp.int","che.hig","exp","che","int","hig","expensive-cheap","medium-high","2","1"
"33","R_0jlDzmWvG165Jfj",229758454228087,5,"male","Switzerland","degree",3,1198,65,"<1'500€
<3'100CHF",19,"okay",5.75,1.10985576923077,0.714285714285714,"exp.int_mid.hig",1,"exp.int","mid.hig","exp","mid","int","hig","expensive-mid","medium-high","1","1"
"34","R_0jlDzmWvG165Jfj",229758454228087,5,"male","Switzerland","degree",3,1198,65,"<1'500€
<3'100CHF",19,"okay",5.75,1.10985576923077,0.714285714285714,"mid.low_che.int",0,"mid.low","che.int","mid","che","low","int","mid-cheap","low-medium","1","1"
"35","R_0jlDzmWvG165Jfj",229758454228087,5,"male","Switzerland","degree",3,1198,65,"<1'500€
<3'100CHF",19,"okay",5.75,1.10985576923077,0.714285714285714,"mid.low_che.hig",1,"mid.low","che.hig","mid","che","low","hig","mid-cheap","low-high","1","2"
"36","R_0JNK6I2YBa5L4eR",229242295741575,5,"female","Germany","middle school",2,1216,58,"<1'500- 2'499€
3'100-4'299CHF",20,"okay",3.5,-1.14014423076923,0.714285714285714,"exp.low_che.int",1,"exp.low","che.int","exp","che","low","int","expensive-cheap","low-medium","2","1"
"37","R_0JNK6I2YBa5L4eR",229242295741575,5,"female","Germany","middle school",2,1216,58,"<1'500- 2'499€
3'100-4'299CHF",20,"okay",3.5,-1.14014423076923,0.714285714285714,"exp.low_che.hig",0,"exp.low","che.hig","exp","che","low","hig","expensive-cheap","low-high","2","2"
"38","R_0JNK6I2YBa5L4eR",229242295741575,5,"female","Germany","middle school",2,1216,58,"<1'500- 2'499€
3'100-4'299CHF",20,"okay",3.5,-1.14014423076923,0.714285714285714,"exp.low_mid.hig",1,"exp.low","mid.hig","exp","mid","low","hig","expensive-mid","low-high","1","2"
"39","R_0JNK6I2YBa5L4eR",229242295741575,5,"female","Germany","middle school",2,1216,58,"<1'500- 2'499€
3'100-4'299CHF",20,"okay",3.5,-1.14014423076923,0.714285714285714,"exp.int_che.hig",1,"exp.int","che.hig","exp","che","int","hig","expensive-cheap","medium-high","2","1"
"40","R_0JNK6I2YBa5L4eR",229242295741575,5,"female","Germany","middle school",2,1216,58,"<1'500- 2'499€
3'100-4'299CHF",20,"okay",3.5,-1.14014423076923,0.714285714285714,"exp.int_mid.hig",1,"exp.int","mid.hig","exp","mid","int","hig","expensive-mid","medium-high","1","1"
"41","R_0JNK6I2YBa5L4eR",229242295741575,5,"female","Germany","middle school",2,1216,58,"<1'500- 2'499€
3'100-4'299CHF",20,"okay",3.5,-1.14014423076923,0.714285714285714,"mid.low_che.int",0,"mid.low","che.int","mid","che","low","int","mid-cheap","low-medium","1","1"
"42","R_0JNK6I2YBa5L4eR",229242295741575,5,"female","Germany","middle school",2,1216,58,"<1'500- 2'499€
3'100-4'299CHF",20,"okay",3.5,-1.14014423076923,0.714285714285714,"mid.low_che.hig",1,"mid.low","che.hig","mid","che","low","hig","mid-cheap","low-high","1","2"
"43","R_0pu0FH42yF3mlGx",229242295753844,2,"male","Germany","middle school",2,895,33,"2'500- 4'000€
<4'300- 5'899CHF",14,"okay",3.25,-1.39014423076923,0.285714285714286,"exp.low_che.int",0,"exp.low","che.int","exp","che","low","int","expensive-cheap","low-medium","2","1"
"44","R_0pu0FH42yF3mlGx",229242295753844,2,"male","Germany","middle school",2,895,33,"2'500- 4'000€
<4'300- 5'899CHF",14,"okay",3.25,-1.39014423076923,0.285714285714286,"exp.low_che.hig",0,"exp.low","che.hig","exp","che","low","hig","expensive-cheap","low-high","2","2"
"45","R_0pu0FH42yF3mlGx",229242295753844,2,"male","Germany","middle school",2,895,33,"2'500- 4'000€
<4'300- 5'899CHF",14,"okay",3.25,-1.39014423076923,0.285714285714286,"exp.low_mid.hig",1,"exp.low","mid.hig","exp","mid","low","hig","expensive-mid","low-high","1","2"
"46","R_0pu0FH42yF3mlGx",229242295753844,2,"male","Germany","middle school",2,895,33,"2'500- 4'000€
<4'300- 5'899CHF",14,"okay",3.25,-1.39014423076923,0.285714285714286,"exp.int_che.hig",0,"exp.int","che.hig","exp","che","int","hig","expensive-cheap","medium-high","2","1"
"47","R_0pu0FH42yF3mlGx",229242295753844,2,"male","Germany","middle school",2,895,33,"2'500- 4'000€
<4'300- 5'899CHF",14,"okay",3.25,-1.39014423076923,0.285714285714286,"exp.int_mid.hig",1,"exp.int","mid.hig","exp","mid","int","hig","expensive-mid","medium-high","1","1"
"48","R_0pu0FH42yF3mlGx",229242295753844,2,"male","Germany","middle school",2,895,33,"2'500- 4'000€
<4'300- 5'899CHF",14,"okay",3.25,-1.39014423076923,0.285714285714286,"mid.low_che.int",0,"mid.low","che.int","mid","che","low","int","mid-cheap","low-medium","1","1"
"49","R_0pu0FH42yF3mlGx",229242295753844,2,"male","Germany","middle school",2,895,33,"2'500- 4'000€
<4'300- 5'899CHF",14,"okay",3.25,-1.39014423076923,0.285714285714286,"mid.low_che.hig",0,"mid.low","che.hig","mid","che","low","hig","mid-cheap","low-high","1","2"
"50","R_0qrY0GIlLElSZnr",229242449957973,4,"male","Switzerland","obligatory school",2,1520,67,"> 4'000€
>5'900 CHF",25,"okay",6,1.35985576923077,0.571428571428571,"exp.low_che.int",0,"exp.low","che.int","exp","che","low","int","expensive-cheap","low-medium","2","1"
"51","R_0qrY0GIlLElSZnr",229242449957973,4,"male","Switzerland","obligatory school",2,1520,67,"> 4'000€
>5'900 CHF",25,"okay",6,1.35985576923077,0.571428571428571,"exp.low_che.hig",1,"exp.low","che.hig","exp","che","low","hig","expensive-cheap","low-high","2","2"
"52","R_0qrY0GIlLElSZnr",229242449957973,4,"male","Switzerland","obligatory school",2,1520,67,"> 4'000€
>5'900 CHF",25,"okay",6,1.35985576923077,0.571428571428571,"exp.low_mid.hig",1,"exp.low","mid.hig","exp","mid","low","hig","expensive-mid","low-high","1","2"
"53","R_0qrY0GIlLElSZnr",229242449957973,4,"male","Switzerland","obligatory school",2,1520,67,"> 4'000€
>5'900 CHF",25,"okay",6,1.35985576923077,0.571428571428571,"exp.int_che.hig",0,"exp.int","che.hig","exp","che","int","hig","expensive-cheap","medium-high","2","1"
"54","R_0qrY0GIlLElSZnr",229242449957973,4,"male","Switzerland","obligatory school",2,1520,67,"> 4'000€
>5'900 CHF",25,"okay",6,1.35985576923077,0.571428571428571,"exp.int_mid.hig",1,"exp.int","mid.hig","exp","mid","int","hig","expensive-mid","medium-high","1","1"
"55","R_0qrY0GIlLElSZnr",229242449957973,4,"male","Switzerland","obligatory school",2,1520,67,"> 4'000€
>5'900 CHF",25,"okay",6,1.35985576923077,0.571428571428571,"mid.low_che.int",0,"mid.low","che.int","mid","che","low","int","mid-cheap","low-medium","1","1"
"56","R_0qrY0GIlLElSZnr",229242449957973,4,"male","Switzerland","obligatory school",2,1520,67,"> 4'000€
>5'900 CHF",25,"okay",6,1.35985576923077,0.571428571428571,"mid.low_che.hig",1,"mid.low","che.hig","mid","che","low","hig","mid-cheap","low-high","1","2"
"57","R_0wTi4jmliqouWu5",229937963021321,3,"male","Switzerland","obligatory school",1,1760,58,"<1'500- 2'499€
3'100-4'299CHF",29,"okay",4,-0.640144230769231,0.428571428571429,"exp.low_che.int",0,"exp.low","che.int","exp","che","low","int","expensive-cheap","low-medium","2","1"
"58","R_0wTi4jmliqouWu5",229937963021321,3,"male","Switzerland","obligatory school",1,1760,58,"<1'500- 2'499€
3'100-4'299CHF",29,"okay",4,-0.640144230769231,0.428571428571429,"exp.low_che.hig",0,"exp.low","che.hig","exp","che","low","hig","expensive-cheap","low-high","2","2"
"59","R_0wTi4jmliqouWu5",229937963021321,3,"male","Switzerland","obligatory school",1,1760,58,"<1'500- 2'499€
3'100-4'299CHF",29,"okay",4,-0.640144230769231,0.428571428571429,"exp.low_mid.hig",0,"exp.low","mid.hig","exp","mid","low","hig","expensive-mid","low-high","1","2"
"60","R_0wTi4jmliqouWu5",229937963021321,3,"male","Switzerland","obligatory school",1,1760,58,"<1'500- 2'499€
3'100-4'299CHF",29,"okay",4,-0.640144230769231,0.428571428571429,"exp.int_che.hig",0,"exp.int","che.hig","exp","che","int","hig","expensive-cheap","medium-high","2","1"
"61","R_0wTi4jmliqouWu5",229937963021321,3,"male","Switzerland","obligatory school",1,1760,58,"<1'500- 2'499€
3'100-4'299CHF",29,"okay",4,-0.640144230769231,0.428571428571429,"exp.int_mid.hig",1,"exp.int","mid.hig","exp","mid","int","hig","expensive-mid","medium-high","1","1"
"62","R_0wTi4jmliqouWu5",229937963021321,3,"male","Switzerland","obligatory school",1,1760,58,"<1'500- 2'499€
3'100-4'299CHF",29,"okay",4,-0.640144230769231,0.428571428571429,"mid.low_che.int",1,"mid.low","che.int","mid","che","low","int","mid-cheap","low-medium","1","1"
"63","R_0wTi4jmliqouWu5",229937963021321,3,"male","Switzerland","obligatory school",1,1760,58,"<1'500- 2'499€
3'100-4'299CHF",29,"okay",4,-0.640144230769231,0.428571428571429,"mid.low_che.hig",1,"mid.low","che.hig","mid","che","low","hig","mid-cheap","low-high","1","2"
"64","R_10pBdcRCpngqXjW",229409893581988,5,"female","Germany","middle school",2,1572,66,"<1'500- 2'499€
3'100-4'299CHF",26,"okay",5.75,1.10985576923077,0.714285714285714,"exp.low_che.int",0,"exp.low","che.int","exp","che","low","int","expensive-cheap","low-medium","2","1"
"65","R_10pBdcRCpngqXjW",229409893581988,5,"female","Germany","middle school",2,1572,66,"<1'500- 2'499€
3'100-4'299CHF",26,"okay",5.75,1.10985576923077,0.714285714285714,"exp.low_che.hig",1,"exp.low","che.hig","exp","che","low","hig","expensive-cheap","low-high","2","2"
"66","R_10pBdcRCpngqXjW",229409893581988,5,"female","Germany","middle school",2,1572,66,"<1'500- 2'499€
3'100-4'299CHF",26,"okay",5.75,1.10985576923077,0.714285714285714,"exp.low_mid.hig",1,"exp.low","mid.hig","exp","mid","low","hig","expensive-mid","low-high","1","2"
"67","R_10pBdcRCpngqXjW",229409893581988,5,"female","Germany","middle school",2,1572,66,"<1'500- 2'499€
3'100-4'299CHF",26,"okay",5.75,1.10985576923077,0.714285714285714,"exp.int_che.hig",1,"exp.int","che.hig","exp","che","int","hig","expensive-cheap","medium-high","2","1"
"68","R_10pBdcRCpngqXjW",229409893581988,5,"female","Germany","middle school",2,1572,66,"<1'500- 2'499€
3'100-4'299CHF",26,"okay",5.75,1.10985576923077,0.714285714285714,"exp.int_mid.hig",1,"exp.int","mid.hig","exp","mid","int","hig","expensive-mid","medium-high","1","1"
"69","R_10pBdcRCpngqXjW",229409893581988,5,"female","Germany","middle school",2,1572,66,"<1'500- 2'499€
3'100-4'299CHF",26,"okay",5.75,1.10985576923077,0.714285714285714,"mid.low_che.int",0,"mid.low","che.int","mid","che","low","int","mid-cheap","low-medium","1","1"
"70","R_10pBdcRCpngqXjW",229409893581988,5,"female","Germany","middle school",2,1572,66,"<1'500- 2'499€
3'100-4'299CHF",26,"okay",5.75,1.10985576923077,0.714285714285714,"mid.low_che.hig",1,"mid.low","che.hig","mid","che","low","hig","mid-cheap","low-high","1","2"
"71","R_10qL1CUVhegrTOE",229678093213710,1,"male","Switzerland","degree",2,1104,69,"2'500- 4'000€
<4'300- 5'899CHF",18,"okay",3,-1.64014423076923,0.142857142857143,"exp.low_che.int",0,"exp.low","che.int","exp","che","low","int","expensive-cheap","low-medium","2","1"
"72","R_10qL1CUVhegrTOE",229678093213710,1,"male","Switzerland","degree",2,1104,69,"2'500- 4'000€
<4'300- 5'899CHF",18,"okay",3,-1.64014423076923,0.142857142857143,"exp.low_che.hig",0,"exp.low","che.hig","exp","che","low","hig","expensive-cheap","low-high","2","2"
"73","R_10qL1CUVhegrTOE",229678093213710,1,"male","Switzerland","degree",2,1104,69,"2'500- 4'000€
<4'300- 5'899CHF",18,"okay",3,-1.64014423076923,0.142857142857143,"exp.low_mid.hig",1,"exp.low","mid.hig","exp","mid","low","hig","expensive-mid","low-high","1","2"
"74","R_10qL1CUVhegrTOE",229678093213710,1,"male","Switzerland","degree",2,1104,69,"2'500- 4'000€
<4'300- 5'899CHF",18,"okay",3,-1.64014423076923,0.142857142857143,"exp.int_che.hig",0,"exp.int","che.hig","exp","che","int","hig","expensive-cheap","medium-high","2","1"
"75","R_10qL1CUVhegrTOE",229678093213710,1,"male","Switzerland","degree",2,1104,69,"2'500- 4'000€
<4'300- 5'899CHF",18,"okay",3,-1.64014423076923,0.142857142857143,"exp.int_mid.hig",0,"exp.int","mid.hig","exp","mid","int","hig","expensive-mid","medium-high","1","1"
