"","ResponseId.wave1","verhalten","similarity","verhalten2","v2","v1","similarity.2"
"1","R_0dg1Hw00DVaqtzz","ab",3,"ab","b","a",7
"2","R_0dg1Hw00DVaqtzz","ad",4,"ad","d","a",6
"3","R_0dg1Hw00DVaqtzz","ae",5,"ae","e","a",5
"4","R_0dg1Hw00DVaqtzz","af",5,"af","f","a",5
"5","R_0dg1Hw00DVaqtzz","bd",3,"bd","d","b",7
"6","R_0dg1Hw00DVaqtzz","be",5,"be","e","b",5
"7","R_0dg1Hw00DVaqtzz","bf",4,"bf","f","b",6
"8","R_0dg1Hw00DVaqtzz","de",6,"de","e","d",4
"9","R_0dg1Hw00DVaqtzz","df",7,"df","f","d",3
"10","R_0dg1Hw00DVaqtzz","ef",7,"ef","f","e",3
"11","R_0dg1Hw00DVaqtzz","fa",5,"fa","a","f",5
"12","R_0dg1Hw00DVaqtzz","ea",5,"ea","a","e",5
"13","R_0dg1Hw00DVaqtzz","da",4,"da","a","d",6
"14","R_0dg1Hw00DVaqtzz","ba",3,"ba","a","b",7
"15","R_0dg1Hw00DVaqtzz","fb",4,"fb","b","f",6
"16","R_0dg1Hw00DVaqtzz","eb",5,"eb","b","e",5
"17","R_0dg1Hw00DVaqtzz","db",3,"db","b","d",7
"18","R_0dg1Hw00DVaqtzz","fd",7,"fd","d","f",3
"19","R_0dg1Hw00DVaqtzz","ed",6,"ed","d","e",4
"20","R_0dg1Hw00DVaqtzz","fe",7,"fe","e","f",3
"21","R_0OfdToodUAnFM6B","ab",9,"ab","b","a",1
"22","R_0OfdToodUAnFM6B","ad",4,"ad","d","a",6
"23","R_0OfdToodUAnFM6B","ae",4,"ae","e","a",6
"24","R_0OfdToodUAnFM6B","af",7,"af","f","a",3
"25","R_0OfdToodUAnFM6B","bd",6,"bd","d","b",4
"26","R_0OfdToodUAnFM6B","be",8,"be","e","b",2
"27","R_0OfdToodUAnFM6B","bf",1,"bf","f","b",9
"28","R_0OfdToodUAnFM6B","de",5,"de","e","d",5
"29","R_0OfdToodUAnFM6B","df",1,"df","f","d",9
"30","R_0OfdToodUAnFM6B","ef",8,"ef","f","e",2
"31","R_0OfdToodUAnFM6B","fa",7,"fa","a","f",3
"32","R_0OfdToodUAnFM6B","ea",4,"ea","a","e",6
"33","R_0OfdToodUAnFM6B","da",4,"da","a","d",6
"34","R_0OfdToodUAnFM6B","ba",9,"ba","a","b",1
"35","R_0OfdToodUAnFM6B","fb",1,"fb","b","f",9
"36","R_0OfdToodUAnFM6B","eb",8,"eb","b","e",2
"37","R_0OfdToodUAnFM6B","db",6,"db","b","d",4
"38","R_0OfdToodUAnFM6B","fd",1,"fd","d","f",9
"39","R_0OfdToodUAnFM6B","ed",5,"ed","d","e",5
"40","R_0OfdToodUAnFM6B","fe",8,"fe","e","f",2
"41","R_0OolMie4oWOnlJv","ab",3,"ab","b","a",7
"42","R_0OolMie4oWOnlJv","ad",6,"ad","d","a",4
"43","R_0OolMie4oWOnlJv","ae",5,"ae","e","a",5
"44","R_0OolMie4oWOnlJv","af",7,"af","f","a",3
"45","R_0OolMie4oWOnlJv","bd",6,"bd","d","b",4
"46","R_0OolMie4oWOnlJv","be",3,"be","e","b",7
"47","R_0OolMie4oWOnlJv","bf",3,"bf","f","b",7
"48","R_0OolMie4oWOnlJv","de",7,"de","e","d",3
"49","R_0OolMie4oWOnlJv","df",6,"df","f","d",4
"50","R_0OolMie4oWOnlJv","ef",7,"ef","f","e",3
"51","R_0OolMie4oWOnlJv","fa",7,"fa","a","f",3
"52","R_0OolMie4oWOnlJv","ea",5,"ea","a","e",5
"53","R_0OolMie4oWOnlJv","da",6,"da","a","d",4
"54","R_0OolMie4oWOnlJv","ba",3,"ba","a","b",7
"55","R_0OolMie4oWOnlJv","fb",3,"fb","b","f",7
"56","R_0OolMie4oWOnlJv","eb",3,"eb","b","e",7
"57","R_0OolMie4oWOnlJv","db",6,"db","b","d",4
"58","R_0OolMie4oWOnlJv","fd",6,"fd","d","f",4
"59","R_0OolMie4oWOnlJv","ed",7,"ed","d","e",3
"60","R_0OolMie4oWOnlJv","fe",7,"fe","e","f",3
"61","R_0TmEasAMNDaTx73","ab",4,"ab","b","a",6
"62","R_0TmEasAMNDaTx73","ad",2,"ad","d","a",8
"63","R_0TmEasAMNDaTx73","ae",7,"ae","e","a",3
"64","R_0TmEasAMNDaTx73","af",6,"af","f","a",4
"65","R_0TmEasAMNDaTx73","bd",2,"bd","d","b",8
"66","R_0TmEasAMNDaTx73","be",3,"be","e","b",7
"67","R_0TmEasAMNDaTx73","bf",4,"bf","f","b",6
"68","R_0TmEasAMNDaTx73","de",3,"de","e","d",7
"69","R_0TmEasAMNDaTx73","df",2,"df","f","d",8
"70","R_0TmEasAMNDaTx73","ef",8,"ef","f","e",2
"71","R_0TmEasAMNDaTx73","fa",6,"fa","a","f",4
"72","R_0TmEasAMNDaTx73","ea",7,"ea","a","e",3
"73","R_0TmEasAMNDaTx73","da",2,"da","a","d",8
"74","R_0TmEasAMNDaTx73","ba",4,"ba","a","b",6
"75","R_0TmEasAMNDaTx73","fb",4,"fb","b","f",6
"76","R_0TmEasAMNDaTx73","eb",3,"eb","b","e",7
"77","R_0TmEasAMNDaTx73","db",2,"db","b","d",8
"78","R_0TmEasAMNDaTx73","fd",2,"fd","d","f",8
"79","R_0TmEasAMNDaTx73","ed",3,"ed","d","e",7
"80","R_0TmEasAMNDaTx73","fe",8,"fe","e","f",2
"81","R_10TQ9M87QSuIqpq","ab",2,"ab","b","a",8
"82","R_10TQ9M87QSuIqpq","ad",1,"ad","d","a",9
"83","R_10TQ9M87QSuIqpq","ae",3,"ae","e","a",7
"84","R_10TQ9M87QSuIqpq","af",3,"af","f","a",7
"85","R_10TQ9M87QSuIqpq","bd",3,"bd","d","b",7
"86","R_10TQ9M87QSuIqpq","be",1,"be","e","b",9
"87","R_10TQ9M87QSuIqpq","bf",1,"bf","f","b",9
"88","R_10TQ9M87QSuIqpq","de",1,"de","e","d",9
"89","R_10TQ9M87QSuIqpq","df",1,"df","f","d",9
"90","R_10TQ9M87QSuIqpq","ef",1,"ef","f","e",9
"91","R_10TQ9M87QSuIqpq","fa",3,"fa","a","f",7
"92","R_10TQ9M87QSuIqpq","ea",3,"ea","a","e",7
"93","R_10TQ9M87QSuIqpq","da",1,"da","a","d",9
"94","R_10TQ9M87QSuIqpq","ba",2,"ba","a","b",8
"95","R_10TQ9M87QSuIqpq","fb",1,"fb","b","f",9
"96","R_10TQ9M87QSuIqpq","eb",1,"eb","b","e",9
"97","R_10TQ9M87QSuIqpq","db",3,"db","b","d",7
"98","R_10TQ9M87QSuIqpq","fd",1,"fd","d","f",9
"99","R_10TQ9M87QSuIqpq","ed",1,"ed","d","e",9
"100","R_10TQ9M87QSuIqpq","fe",1,"fe","e","f",9
"101","R_10ZfwML5Q6HbOBv","ab",7,"ab","b","a",3
"102","R_10ZfwML5Q6HbOBv","ad",4,"ad","d","a",6
"103","R_10ZfwML5Q6HbOBv","ae",4,"ae","e","a",6
"104","R_10ZfwML5Q6HbOBv","af",3,"af","f","a",7
"105","R_10ZfwML5Q6HbOBv","bd",2,"bd","d","b",8
"106","R_10ZfwML5Q6HbOBv","be",6,"be","e","b",4
"107","R_10ZfwML5Q6HbOBv","bf",3,"bf","f","b",7
"108","R_10ZfwML5Q6HbOBv","de",3,"de","e","d",7
"109","R_10ZfwML5Q6HbOBv","df",3,"df","f","d",7
"110","R_10ZfwML5Q6HbOBv","ef",3,"ef","f","e",7
"111","R_10ZfwML5Q6HbOBv","fa",3,"fa","a","f",7
"112","R_10ZfwML5Q6HbOBv","ea",4,"ea","a","e",6
"113","R_10ZfwML5Q6HbOBv","da",4,"da","a","d",6
"114","R_10ZfwML5Q6HbOBv","ba",7,"ba","a","b",3
"115","R_10ZfwML5Q6HbOBv","fb",3,"fb","b","f",7
"116","R_10ZfwML5Q6HbOBv","eb",6,"eb","b","e",4
"117","R_10ZfwML5Q6HbOBv","db",2,"db","b","d",8
"118","R_10ZfwML5Q6HbOBv","fd",3,"fd","d","f",7
"119","R_10ZfwML5Q6HbOBv","ed",3,"ed","d","e",7
"120","R_10ZfwML5Q6HbOBv","fe",3,"fe","e","f",7
"121","R_114x80EEaCoWOK0","ab",9,"ab","b","a",1
"122","R_114x80EEaCoWOK0","ad",6,"ad","d","a",4
"123","R_114x80EEaCoWOK0","ae",6,"ae","e","a",4
"124","R_114x80EEaCoWOK0","af",5,"af","f","a",5
"125","R_114x80EEaCoWOK0","bd",5,"bd","d","b",5
"126","R_114x80EEaCoWOK0","be",9,"be","e","b",1
"127","R_114x80EEaCoWOK0","bf",5,"bf","f","b",5
"128","R_114x80EEaCoWOK0","de",5,"de","e","d",5
"129","R_114x80EEaCoWOK0","df",9,"df","f","d",1
"130","R_114x80EEaCoWOK0","ef",9,"ef","f","e",1
"131","R_114x80EEaCoWOK0","fa",5,"fa","a","f",5
"132","R_114x80EEaCoWOK0","ea",6,"ea","a","e",4
"133","R_114x80EEaCoWOK0","da",6,"da","a","d",4
"134","R_114x80EEaCoWOK0","ba",9,"ba","a","b",1
"135","R_114x80EEaCoWOK0","fb",5,"fb","b","f",5
"136","R_114x80EEaCoWOK0","eb",9,"eb","b","e",1
"137","R_114x80EEaCoWOK0","db",5,"db","b","d",5
