"","m","Duration.wave1","ResponseId.wave1","gender","country","income.wave1","education","household_size","politicalorientation_1","Duration.wave2","ResponseId","age","income.wave2","Minutes.wave1","Minutes.wave2","Minutes"
"1",227471319859444,1022,"R_8q6n1RRt6MyyXex","male","Germany","> 4'000€
>5'900 CHF","middle school",2,3,1157,"R_tE6MoKzmZtjFxD3",73,"> 4'000€
>5'900 CHF",17,19,"okay"
"2",227471319859447,1366,"R_3037BPovs68z8Wp","female","Germany","<1'500- 2'499€
3'100-4'299CHF","degree",2,5,2392,"R_Ojo34qwq19Vpce5",64,"<1'500€
<3'100CHF",22,39,"okay"
"3",227471450945619,1465,"R_eFZQYTp4gO6YksF","female","Switzerland","> 4'000€
>5'900 CHF","degree",5,4,1572,"R_2qw808RHTW32LfJ",57,"2'500- 4'000€
<4'300- 5'899CHF",24,26,"okay"
"4",227471450957862,574,"R_DqafDJUij6pOidj","female","Switzerland","> 4'000€
>5'900 CHF","no formal education",3,4,851,"R_1oqkBndhcpDZMqi",41,"2'500- 4'000€
<4'300- 5'899CHF",9,14,"okay"
"5",229166066768915,1200,"R_sSR9IooKusigb73","male","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",1,7,639,"R_3rS4w78ysOQsr12",35,"<1'500- 2'499€
3'100-4'299CHF",20,10,"okay"
"6",229166066770991,697,"R_3ffPXWQN4a5pytn","male","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",1,5,886,"R_3nAgm8GpHtzVUDU",69,"<1'500- 2'499€
3'100-4'299CHF",11,14,"okay"
"7",229166066770993,1609,"R_O8b53p7xh5bwplT","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,5,4263,"R_1mPZTN6F4Yrwu6f",58,"2'500- 4'000€
<4'300- 5'899CHF",26,71,"okay"
"8",229166066778296,1123,"R_3gXXt1W2K8Pos3x","female","Germany","> 4'000€
>5'900 CHF","middle school",2,5,1239,"R_1Frcm9brNvhVz0E",59,"> 4'000€
>5'900 CHF",18,20,"okay"
"9",229166066778304,1477,"R_1C4wdUlbfbQ1hML","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",1,3,1453,"R_8hNT7jXVSBb9qhP",70,"<1'500- 2'499€
3'100-4'299CHF",24,24,"okay"
"10",229166066778312,1299,"R_BywDqqxLxP5MOLD","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,3,1503,"R_3Oq241l7XqxA9WE",64,"2'500- 4'000€
<4'300- 5'899CHF",21,25,"okay"
"11",229166066780404,1365,"R_3ke5ZDJpQBX1C0j","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,5,1497,"R_1IGfF1abpdkWhLy",72,"2'500- 4'000€
<4'300- 5'899CHF",22,24,"okay"
"12",229166066782222,1295,"R_21aXH4qkpWoMUfc","male","Germany","<1'500- 2'499€
3'100-4'299CHF","degree",2,5,1439,"R_1I6MKxO41jAt15N",29,"2'500- 4'000€
<4'300- 5'899CHF",21,23,"okay"
"13",229166066786390,876,"R_2VdofypBJBuhz1H","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,8,1868,"R_1LUJuqInfZjP2R8",60,"2'500- 4'000€
<4'300- 5'899CHF",14,31,"okay"
"14",229166066788472,3813,"R_1gIlDrlegDFV6sF","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","no formal education",5,3,3729,"R_3M0xwiuX0tjd8ZJ",26,"<1'500€
<3'100CHF",63,62,"okay"
"15",229166066788475,639,"R_WfbcOa4R3TKEukN","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",2,6,855,"R_eUJ7b0qtFajcHiF",60,"> 4'000€
>5'900 CHF",10,14,"okay"
"16",229166066792658,1235,"R_DAy13Qg9X0yju5b","male","Germany","<1'500€
<3'100CHF","no formal education",1,5,1520,"R_2ZQvMICyBHJJC25",57,"<1'500€
<3'100CHF",20,25,"okay"
"17",229166066799696,2921,"R_2e8rPRQ3Tf6hpC0","male","Germany","<1'500- 2'499€
3'100-4'299CHF","no formal education",1,5,939,"R_3Pe0emppqE6grrU",41,"<1'500- 2'499€
3'100-4'299CHF",48,15,"okay"
"18",229166066803864,1514,"R_2cBDYRcdwlr6tJe","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","no formal education",3,4,2083,"R_10xEptLaoi40BlX",67,"2'500- 4'000€
<4'300- 5'899CHF",25,34,"okay"
"19",229166066809875,5059,"R_3iwZiFBbukhyafr","female","Germany","<1'500€
<3'100CHF","middle school",1,5,2803,"R_6s6crm2aG0TsoBr",64,"<1'500€
<3'100CHF",84,46,"okay"
"20",229166066821130,1319,"R_2BnFF7O0UemP6bn","female","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",2,4,829,"R_1KXEGN3b38r2ypb",36,"<1'500- 2'499€
3'100-4'299CHF",21,13,"okay"
"21",229166066823206,1602,"R_3iD1T8NlCZIuSSn","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",3,3,1437,"R_wKMS5f4HdQYL8Zj",19,"2'500- 4'000€
<4'300- 5'899CHF",26,23,"okay"
"22",229166066833639,808,"R_7WGFlGsDSnQRpmh","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",2,5,897,"R_3s6Ss4gsg98OQGW",34,"2'500- 4'000€
<4'300- 5'899CHF",13,14,"okay"
"23",229166066833642,598,"R_cTN0cTJ7C5jMipr","male","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",4,7,730,"R_2S8EuuoWZ1zlEUd",20,"2'500- 4'000€
<4'300- 5'899CHF",9,12,"okay"
"24",229166416656617,3847,"R_ujLqmiC73EyREFX","male","Switzerland","> 4'000€
>5'900 CHF","degree",2,8,1101,"R_Dk5989wZHXlEzct",51,"> 4'000€
>5'900 CHF",64,18,"okay"
"25",229166416657657,812,"R_1rHAC97MaIFeZQs","female","Switzerland","> 4'000€
>5'900 CHF","obligatory school",2,4,1633,"R_3D2zYtpdbhtT6vH",39,"> 4'000€
>5'900 CHF",13,27,"okay"
"26",229166416658444,874,"R_3fAW9A9PUOTPSRY","female","Switzerland","> 4'000€
>5'900 CHF","degree",4,7,1417,"R_1mltiMTeFeXLWJB",49,"> 4'000€
>5'900 CHF",14,23,"okay"
"27",229166416658456,5555,"R_332rHLTBzW4o52Y","male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",4,5,3480,"R_Z9rUDwY108FGHgR",54,"2'500- 4'000€
<4'300- 5'899CHF",92,58,"okay"
"28",229166416659487,49193,"R_2UiwFRmg4DIHiHP","female","Switzerland","<1'500€
<3'100CHF","middle school",1,8,2828,"R_1lzB3yQwCXpUq1d",77,"<1'500€
<3'100CHF",819,47,"okay"
"29",229166416659499,9971,"R_3qpx95XzcwMK7Id","male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","degree",1,4,6417,"R_3mjBG4EWOAh2zPn",60,"2'500- 4'000€
<4'300- 5'899CHF",166,106,"okay"
"30",229166416660547,8076,"R_2qyee8RYNHe83N3","female","Switzerland","<1'500€
<3'100CHF","obligatory school",1,8,1610,"R_1BnkeWb8Yt6wKJz",59,"<1'500€
<3'100CHF",134,26,"okay"
