m,(Intercept),co2-30% CO2,tax+6%,energieabhaengigkeit+20%,zeitpunktin 7 Jahren,ResponseId.x,gender,age,country,income.wave1,education,climate_concern,concern.scaled
227471319859444,4.173141254799022,0.09389964158716313,-1.9876777792615128,0.1623111168313517,-5.421264679142057,R_8q6n1RRt6MyyXex,male,73,Germany,"> 4'000€
>5'900 CHF",middle school,6,1.0788177339901477
227471319859447,1.8968519925416651,0.4993662731401696,-5.4931871955665885,0.6326817974092143,-4.919266024308936,R_3037BPovs68z8Wp,female,64,Germany,"<1'500- 2'499€
3'100-4'299CHF",degree,6,1.0788177339901477
227471450945619,2.576620664632881,0.981394144929492,0.7527850942735421,0.4809521040935941,-5.663118341893572,R_eFZQYTp4gO6YksF,female,57,Switzerland,"> 4'000€
>5'900 CHF",degree,5.25,0.3288177339901477
227471450957862,-2.2581917590959897,0.2930855051980148,-3.3550550470954756,0.34534673011262607,-1.6184323759805235,R_DqafDJUij6pOidj,female,41,Switzerland,"> 4'000€
>5'900 CHF",no formal education,3,-1.9211822660098523
229166066768915,3.0916875100122763,0.5757110025053399,-7.572619039276161,0.5265484707498556,-0.4140043439607215,R_sSR9IooKusigb73,male,35,Germany,"<1'500- 2'499€
3'100-4'299CHF",middle school,4.75,-0.1711822660098523
229166066770991,-2.258191759095989,0.29308550519801474,-3.355055047095476,0.34534673011262607,-1.618432375980524,R_3ffPXWQN4a5pytn,male,69,Germany,"<1'500- 2'499€
3'100-4'299CHF",middle school,5,0.07881773399014769
229166066770993,2.3445174982578996,1.1226553803615205,-6.852876112305669,0.8607938961484076,-2.0969877795034755,R_O8b53p7xh5bwplT,male,58,Germany,"2'500- 4'000€
<4'300- 5'899CHF",obligatory school,5.25,0.3288177339901477
229166066778296,1.8968519925416658,0.49936627314016946,-5.4931871955665885,0.6326817974092142,-4.919266024308937,R_3gXXt1W2K8Pos3x,female,59,Germany,"> 4'000€
>5'900 CHF",middle school,6,1.0788177339901477
229166066778304,3.8519878822677613,0.7875321532510038,-5.8988021059704,0.5679913766923151,-1.7275982498340756,R_1C4wdUlbfbQ1hML,male,70,Germany,"2'500- 4'000€
<4'300- 5'899CHF",middle school,5.25,0.3288177339901477
229166066778312,0.8189855202344616,1.337393040169621,0.5264367751712031,0.7494920710122469,-6.126763214485893,R_BywDqqxLxP5MOLD,male,64,Germany,"2'500- 4'000€
<4'300- 5'899CHF",obligatory school,6,1.0788177339901477
229166066780404,3.0916875100122763,0.57571100250534,-7.572619039276162,0.5265484707498558,-0.4140043439607213,R_3ke5ZDJpQBX1C0j,female,72,Germany,"2'500- 4'000€
<4'300- 5'899CHF",obligatory school,5.25,0.3288177339901477
229166066782222,3.9663845351967213,0.09681455321339427,-1.27004379430057,0.04599963630566395,-3.9749500687877766,R_21aXH4qkpWoMUfc,male,29,Germany,"<1'500- 2'499€
3'100-4'299CHF",degree,6,1.0788177339901477
229166066786390,-2.2581917590959897,0.2930855051980146,-3.3550550470954756,0.34534673011262607,-1.618432375980524,R_2VdofypBJBuhz1H,male,60,Germany,"2'500- 4'000€
<4'300- 5'899CHF",obligatory school,1,-3.9211822660098523
229166066788472,2.384904273218086,1.5143281881382011,-2.1390112159799197,0.8066637937627325,-3.2550382964329847,R_1gIlDrlegDFV6sF,male,26,Germany,"2'500- 4'000€
<4'300- 5'899CHF",no formal education,6,1.0788177339901477
229166066788475,0.09267025281299102,1.579977569828722,-3.878078289861447,0.8283244627120555,0.38285123631284046,R_WfbcOa4R3TKEukN,male,60,Germany,"2'500- 4'000€
<4'300- 5'899CHF",middle school,6,1.0788177339901477
229166066789519,-0.29322808588390936,1.980926961596898,-3.305849939875905,0.9639126445060305,1.0428741893587548,R_2EEuiLLUQlAKcEz,male,25,Germany,"<1'500- 2'499€
3'100-4'299CHF",no formal education,1.75,-3.1711822660098523
229166066792658,3.3010542785528316,0.5500809202760761,-2.909612287845042,0.44148554772373627,-4.840517107936808,R_DAy13Qg9X0yju5b,male,57,Germany,"<1'500€
<3'100CHF",no formal education,5.25,0.3288177339901477
229166066799696,4.350527978668878,0.9479809712273131,-1.5383094083495075,0.3041408313065037,-0.9204125067226729,R_2e8rPRQ3Tf6hpC0,male,41,Germany,"<1'500- 2'499€
3'100-4'299CHF",no formal education,4.75,-0.1711822660098523
229166066803864,4.350527978668877,0.9479809712273134,-1.538309408349508,0.304140831306504,-0.9204125067226747,R_2cBDYRcdwlr6tJe,male,67,Germany,"2'500- 4'000€
<4'300- 5'899CHF",no formal education,5.5,0.5788177339901477
229166066809875,3.0769408099066977,0.8611694124386513,-1.02470725334768,0.5882959121813465,-6.89706890304609,R_3iwZiFBbukhyafr,female,64,Germany,"<1'500€
<3'100CHF",middle school,6,1.0788177339901477
