"","ResponseId.wave1","mean.est.bias","mean.abs.error","Conf.level","Trad.lower","Trad.upper","binary","m","frequency_device_4","frequency_device_1","frequency_device_2","frequency_device_3","Duration.wave1","gender","country","income.wave1","education","household_size","politicalorientation_1","Duration.wave2","ResponseId","age","income.wave2","Minutes.wave1","Minutes.wave2","Minutes","climate_concern","concern.scaled","mean.freq","mean.freq.clean","freq.binary"
"1","R_01khgozVq3awK6l",-0.529,0.794,0.95,0.426,1.16,"under",229255657984114,1,2,1,1,1227,"male","Germany","> 4'000€
>5'900 CHF","degree",2,3,1170,"R_3jTAW9uI1ykta3D",51,"> 4'000€
>5'900 CHF",20,19,"okay",6,1.2375,1.25,1.33333333333333,"low"
"2","R_0Ccj6UbDeEIHB29",-0.0918,0.452,0.95,0.23,0.674,"under",229320605935722,2,2,1,3,671,"male","Germany","> 4'000€
>5'900 CHF","degree",5,6,525,"R_1pmuFdooAp2AmoL",49,"> 4'000€
>5'900 CHF",11,8,"okay",3.75,-1.0125,2,2,"high"
"3","R_0dg1Hw00DVaqtzz",-0.0742,0.403,0.95,-0.00685,0.813,"under",229678093154327,1,1,1,1,1410,"male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","degree",1,5,1528,"R_1DC5nrZ8uUaZwqY",41,"2'500- 4'000€
<4'300- 5'899CHF",23,25,"okay",5.25,0.4875,1,1,"low"
"4","R_0ePq1ONxoWexxIZ",0.0246,0.491,0.95,0.315,0.666,"over",229677069770883,1,2,1,2,516,"male","Germany","> 4'000€
>5'900 CHF","obligatory school",3,4,647,"R_2yeVJlifqE1mXtM",58,"> 4'000€
>5'900 CHF",8,10,"okay",5,0.2375,1.5,1.66666666666667,"high"
"5","R_0j0zAq6VQ3vdScp",-0.0287,0.513,0.95,0.302,0.723,"under",229242295751744,3,3,1,3,939,"male","Germany","> 4'000€
>5'900 CHF","middle school",4,6,852,"R_3n1R19NUDl9sDMH",46,"> 4'000€
>5'900 CHF",15,14,"okay",3.5,-1.2625,2.5,2.33333333333333,"high"
"6","R_0OfdToodUAnFM6B",-1.08,1.08,0.95,0.436,1.72,"under",229320606084260,2,1,1,2,601,"male","Germany","> 4'000€
>5'900 CHF","middle school",5,3,900,"R_2OGwTX83fhyDNnI",20,"> 4'000€
>5'900 CHF",10,15,"okay",5.25,0.4875,1.5,1.33333333333333,"low"
"7","R_0OolMie4oWOnlJv",-0.0843,0.32,0.95,0.0987,0.542,"under",229678093372428,3,2,1,2,747,"male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","middle school",3,8,1097,"R_2492pCKHqf5dlKi",41,"2'500- 4'000€
<4'300- 5'899CHF",12,18,"okay",2.75,-2.0125,2,1.66666666666667,"high"
"8","R_0TmEasAMNDaTx73",-0.342,0.565,0.95,0.313,0.818,"under",229255657997387,2,1,1,1,1630,"female","Germany","<1'500- 2'499€
3'100-4'299CHF","degree",1,6,1415,"R_2uTLa7HMnc5Gs9E",28,"<1'500- 2'499€
3'100-4'299CHF",27,23,"okay",4,-0.7625,1.25,1,"low"
"9","R_10AtUJUGZhCk5ng",-0.594,0.662,0.95,0.215,1.11,"under",229242295744695,1,2,1,2,247,"female","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",3,7,294,"R_27WfeRMBd73Aqa8",42,"2'500- 4'000€
<4'300- 5'899CHF",4,4,"speeder",4,-0.7625,1.5,1.66666666666667,"high"
"10","R_10BPCjelrDxAXgb",-1.25,1.25,0.95,0.841,1.65,"under",230469411950672,1,1,1,1,1222,"male","Switzerland","> 4'000€
>5'900 CHF","degree",2,5,1708,"R_2XogjSrW9vqpdC3",70,"> 4'000€
>5'900 CHF",20,28,"okay",6,1.2375,1,1,"low"
"11","R_10TQ9M87QSuIqpq",-0.551,0.63,0.95,0.184,1.08,"under",229677069783098,1,2,1,2,977,"male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,2,1317,"R_1mt96mbxkfZ8oJc",63,"2'500- 4'000€
<4'300- 5'899CHF",16,21,"okay",6,1.2375,1.5,1.66666666666667,"high"
"12","R_10ZfwML5Q6HbOBv",0.442,0.683,0.95,0.255,1.11,"over",230296025238534,2,2,2,2,975,"female","Switzerland","<1'500- 2'499€
3'100-4'299CHF","obligatory school",4,4,1272,"R_1pyPj6pxQTGpmoY",36,"<1'500- 2'499€
3'100-4'299CHF",16,21,"okay",6,1.2375,2,2,"high"
"13","R_1118V3m8mB8zTU3",-0.323,0.745,0.95,0.247,1.24,"under",229242450005063,1,2,2,2,3182,"female","Switzerland","<1'500- 2'499€
3'100-4'299CHF","middle school",1,6,721,"R_2f6EtfUFp544Jg0",27,"<1'500- 2'499€
3'100-4'299CHF",53,12,"okay",3.5,-1.2625,1.75,2,"high"
"14","R_114x80EEaCoWOK0",0.0948,0.68,0.95,0.223,1.14,"over",229321437670402,1,1,1,2,905,"male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",3,2,1519,"R_3xe9GWONYDTpSKZ",46,"2'500- 4'000€
<4'300- 5'899CHF",15,25,"okay",5.75,0.9875,1.25,1.33333333333333,"low"
"15","R_11bfomFynMxQ2HS",-0.11,0.701,0.95,0.382,1.02,"under",229256171561183,1,1,1,1,724,"male","Switzerland","<1'500€
<3'100CHF","obligatory school",1,1,11181,"R_2e4gsRcT2FLvlEh",53,"<1'500- 2'499€
3'100-4'299CHF",12,186,"okay",5.75,0.9875,1,1,"low"
"16","R_11crUzIYPdbRfiF",-0.114,0.73,0.95,0.198,1.26,"under",229320605939886,1,2,1,2,1111,"female","Germany","> 4'000€
>5'900 CHF","degree",2,3,680,"R_stD5sQvmIeLJCtr",29,"> 4'000€
>5'900 CHF",18,11,"okay",6,1.2375,1.5,1.66666666666667,"high"
"17","R_122NLeAz7IQz6Db",0.521,0.535,0.95,0.188,0.883,"over",229409893558502,1,2,1,1,985,"male","Germany","> 4'000€
>5'900 CHF","degree",2,7,1151,"R_24pwPmPBXaNb1Jp",73,"> 4'000€
>5'900 CHF",16,19,"okay",6,1.2375,1.25,1.33333333333333,"low"
"18","R_123mcZ5Ghsa8y8U",-0.378,0.674,0.95,0.0846,1.26,"under",229409893567654,1,1,1,1,1347,"female","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,9,1337,"R_2pVN9xJPvGeQwTl",56,"2'500- 4'000€
<4'300- 5'899CHF",22,22,"okay",6,1.2375,1,1,"low"
"19","R_1253hukGlxFYfER",0.36,0.592,0.95,0.326,0.859,"over",229255657952395,3,2,1,1,1815,"male","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",1,4,1206,"R_ZvZNUw4EfkNkyCl",28,"<1'500- 2'499€
3'100-4'299CHF",30,20,"okay",6,1.2375,1.75,1.33333333333333,"low"
"20","R_12DTHefOjls1akp",-0.179,0.467,0.95,0.239,0.696,"under",229409893556414,2,2,2,2,1025,"female","Germany","2'500- 4'000€
<4'300- 5'899CHF","degree",5,6,1282,"R_yEXDxhzyve1juHD",39,"2'500- 4'000€
<4'300- 5'899CHF",17,21,"okay",6,1.2375,2,2,"high"
"21","R_12GrTCx97UpFVGv",-0.264,0.491,0.95,0.198,0.783,"under",229678093097023,1,1,1,1,456,"male","Switzerland","<1'500- 2'499€
3'100-4'299CHF","obligatory school",1,5,687,"R_Urlxrri2RjmT8k1",56,"<1'500- 2'499€
3'100-4'299CHF",7,11,"speeder",5,0.2375,1,1,"low"
"22","R_12i4SXq1sTQbnI2",-0.759,1.08,0.95,0.712,1.45,"under",229678093243470,1,1,1,2,2686,"female","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","middle school",1,6,831,"R_3PB2Ltxuh03nSYU",46,"2'500- 4'000€
<4'300- 5'899CHF",44,13,"okay",4,-0.7625,1.25,1.33333333333333,"low"
"23","R_12JYacNsaMn3IDo",0.531,0.649,0.95,0.19,1.11,"over",229678093128888,1,1,1,3,1285,"female","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",3,4,1142,"R_rjxdCSSgbclxtmN",56,"2'500- 4'000€
<4'300- 5'899CHF",21,19,"okay",6,1.2375,1.5,1.66666666666667,"high"
