"","ResponseId.wave1","m","Sum","Duration.wave1","gender","country","income.wave1","education","household_size","politcalorientation","ResponseId","age","Minutes.wave1","Minutes","climate_concern","concern.scaled","percent","type","choice","A","B","priceA","priceB","energyA","energyB","trade.price","trade.energy","price.level","energy.level"
"1","R_01khgozVq3awK6l",229255657984114,4,1227,"male","Germany","> 4'000€
>5'900 CHF","degree",2,3,"R_3jTAW9uI1ykta3D",51,20,"okay",6,1.2375,0.571428571428571,"exp.low_che.int",0,"exp.low","che.int","exp","che","low","int","expensive-cheap","low-medium","2","1"
"2","R_01khgozVq3awK6l",229255657984114,4,1227,"male","Germany","> 4'000€
>5'900 CHF","degree",2,3,"R_3jTAW9uI1ykta3D",51,20,"okay",6,1.2375,0.571428571428571,"exp.low_che.hig",1,"exp.low","che.hig","exp","che","low","hig","expensive-cheap","low-high","2","2"
"3","R_01khgozVq3awK6l",229255657984114,4,1227,"male","Germany","> 4'000€
>5'900 CHF","degree",2,3,"R_3jTAW9uI1ykta3D",51,20,"okay",6,1.2375,0.571428571428571,"exp.low_mid.hig",1,"exp.low","mid.hig","exp","mid","low","hig","expensive-mid","low-high","1","2"
"4","R_01khgozVq3awK6l",229255657984114,4,1227,"male","Germany","> 4'000€
>5'900 CHF","degree",2,3,"R_3jTAW9uI1ykta3D",51,20,"okay",6,1.2375,0.571428571428571,"exp.int_che.hig",0,"exp.int","che.hig","exp","che","int","hig","expensive-cheap","medium-high","2","1"
"5","R_01khgozVq3awK6l",229255657984114,4,1227,"male","Germany","> 4'000€
>5'900 CHF","degree",2,3,"R_3jTAW9uI1ykta3D",51,20,"okay",6,1.2375,0.571428571428571,"exp.int_mid.hig",1,"exp.int","mid.hig","exp","mid","int","hig","expensive-mid","medium-high","1","1"
"6","R_01khgozVq3awK6l",229255657984114,4,1227,"male","Germany","> 4'000€
>5'900 CHF","degree",2,3,"R_3jTAW9uI1ykta3D",51,20,"okay",6,1.2375,0.571428571428571,"mid.low_che.int",0,"mid.low","che.int","mid","che","low","int","mid-cheap","low-medium","1","1"
"7","R_01khgozVq3awK6l",229255657984114,4,1227,"male","Germany","> 4'000€
>5'900 CHF","degree",2,3,"R_3jTAW9uI1ykta3D",51,20,"okay",6,1.2375,0.571428571428571,"mid.low_che.hig",1,"mid.low","che.hig","mid","che","low","hig","mid-cheap","low-high","1","2"
"8","R_0Ccj6UbDeEIHB29",229320605935722,5,671,"male","Germany","> 4'000€
>5'900 CHF","degree",5,6,"R_1pmuFdooAp2AmoL",49,11,"okay",3.75,-1.0125,0.714285714285714,"exp.low_che.int",0,"exp.low","che.int","exp","che","low","int","expensive-cheap","low-medium","2","1"
"9","R_0Ccj6UbDeEIHB29",229320605935722,5,671,"male","Germany","> 4'000€
>5'900 CHF","degree",5,6,"R_1pmuFdooAp2AmoL",49,11,"okay",3.75,-1.0125,0.714285714285714,"exp.low_che.hig",1,"exp.low","che.hig","exp","che","low","hig","expensive-cheap","low-high","2","2"
"10","R_0Ccj6UbDeEIHB29",229320605935722,5,671,"male","Germany","> 4'000€
>5'900 CHF","degree",5,6,"R_1pmuFdooAp2AmoL",49,11,"okay",3.75,-1.0125,0.714285714285714,"exp.low_mid.hig",1,"exp.low","mid.hig","exp","mid","low","hig","expensive-mid","low-high","1","2"
"11","R_0Ccj6UbDeEIHB29",229320605935722,5,671,"male","Germany","> 4'000€
>5'900 CHF","degree",5,6,"R_1pmuFdooAp2AmoL",49,11,"okay",3.75,-1.0125,0.714285714285714,"exp.int_che.hig",0,"exp.int","che.hig","exp","che","int","hig","expensive-cheap","medium-high","2","1"
"12","R_0Ccj6UbDeEIHB29",229320605935722,5,671,"male","Germany","> 4'000€
>5'900 CHF","degree",5,6,"R_1pmuFdooAp2AmoL",49,11,"okay",3.75,-1.0125,0.714285714285714,"exp.int_mid.hig",1,"exp.int","mid.hig","exp","mid","int","hig","expensive-mid","medium-high","1","1"
"13","R_0Ccj6UbDeEIHB29",229320605935722,5,671,"male","Germany","> 4'000€
>5'900 CHF","degree",5,6,"R_1pmuFdooAp2AmoL",49,11,"okay",3.75,-1.0125,0.714285714285714,"mid.low_che.int",1,"mid.low","che.int","mid","che","low","int","mid-cheap","low-medium","1","1"
"14","R_0Ccj6UbDeEIHB29",229320605935722,5,671,"male","Germany","> 4'000€
>5'900 CHF","degree",5,6,"R_1pmuFdooAp2AmoL",49,11,"okay",3.75,-1.0125,0.714285714285714,"mid.low_che.hig",1,"mid.low","che.hig","mid","che","low","hig","mid-cheap","low-high","1","2"
"15","R_0dg1Hw00DVaqtzz",229678093154327,3,1410,"male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","degree",1,5,"R_1DC5nrZ8uUaZwqY",41,23,"okay",5.25,0.4875,0.428571428571429,"exp.low_che.int",0,"exp.low","che.int","exp","che","low","int","expensive-cheap","low-medium","2","1"
"16","R_0dg1Hw00DVaqtzz",229678093154327,3,1410,"male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","degree",1,5,"R_1DC5nrZ8uUaZwqY",41,23,"okay",5.25,0.4875,0.428571428571429,"exp.low_che.hig",0,"exp.low","che.hig","exp","che","low","hig","expensive-cheap","low-high","2","2"
"17","R_0dg1Hw00DVaqtzz",229678093154327,3,1410,"male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","degree",1,5,"R_1DC5nrZ8uUaZwqY",41,23,"okay",5.25,0.4875,0.428571428571429,"exp.low_mid.hig",1,"exp.low","mid.hig","exp","mid","low","hig","expensive-mid","low-high","1","2"
"18","R_0dg1Hw00DVaqtzz",229678093154327,3,1410,"male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","degree",1,5,"R_1DC5nrZ8uUaZwqY",41,23,"okay",5.25,0.4875,0.428571428571429,"exp.int_che.hig",0,"exp.int","che.hig","exp","che","int","hig","expensive-cheap","medium-high","2","1"
"19","R_0dg1Hw00DVaqtzz",229678093154327,3,1410,"male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","degree",1,5,"R_1DC5nrZ8uUaZwqY",41,23,"okay",5.25,0.4875,0.428571428571429,"exp.int_mid.hig",1,"exp.int","mid.hig","exp","mid","int","hig","expensive-mid","medium-high","1","1"
"20","R_0dg1Hw00DVaqtzz",229678093154327,3,1410,"male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","degree",1,5,"R_1DC5nrZ8uUaZwqY",41,23,"okay",5.25,0.4875,0.428571428571429,"mid.low_che.int",0,"mid.low","che.int","mid","che","low","int","mid-cheap","low-medium","1","1"
"21","R_0dg1Hw00DVaqtzz",229678093154327,3,1410,"male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","degree",1,5,"R_1DC5nrZ8uUaZwqY",41,23,"okay",5.25,0.4875,0.428571428571429,"mid.low_che.hig",1,"mid.low","che.hig","mid","che","low","hig","mid-cheap","low-high","1","2"
"22","R_0ePq1ONxoWexxIZ",229677069770883,6,516,"male","Germany","> 4'000€
>5'900 CHF","obligatory school",3,4,"R_2yeVJlifqE1mXtM",58,8,"okay",5,0.2375,0.857142857142857,"exp.low_che.int",0,"exp.low","che.int","exp","che","low","int","expensive-cheap","low-medium","2","1"
"23","R_0ePq1ONxoWexxIZ",229677069770883,6,516,"male","Germany","> 4'000€
>5'900 CHF","obligatory school",3,4,"R_2yeVJlifqE1mXtM",58,8,"okay",5,0.2375,0.857142857142857,"exp.low_che.hig",1,"exp.low","che.hig","exp","che","low","hig","expensive-cheap","low-high","2","2"
"24","R_0ePq1ONxoWexxIZ",229677069770883,6,516,"male","Germany","> 4'000€
>5'900 CHF","obligatory school",3,4,"R_2yeVJlifqE1mXtM",58,8,"okay",5,0.2375,0.857142857142857,"exp.low_mid.hig",1,"exp.low","mid.hig","exp","mid","low","hig","expensive-mid","low-high","1","2"
"25","R_0ePq1ONxoWexxIZ",229677069770883,6,516,"male","Germany","> 4'000€
>5'900 CHF","obligatory school",3,4,"R_2yeVJlifqE1mXtM",58,8,"okay",5,0.2375,0.857142857142857,"exp.int_che.hig",1,"exp.int","che.hig","exp","che","int","hig","expensive-cheap","medium-high","2","1"
"26","R_0ePq1ONxoWexxIZ",229677069770883,6,516,"male","Germany","> 4'000€
>5'900 CHF","obligatory school",3,4,"R_2yeVJlifqE1mXtM",58,8,"okay",5,0.2375,0.857142857142857,"exp.int_mid.hig",1,"exp.int","mid.hig","exp","mid","int","hig","expensive-mid","medium-high","1","1"
