"","m","ResponseId.wave1.x","mean.est.bias.wave1","mean.abs.error.wave1","binary.x","ResponseId.wave2","ResponseId.x","mean.est.bias.wave2","mean.abs.error.wave2","binary.y","numeracy.f","error.diff","error.diff.2","error.diff.f","Duration.wave1","ResponseId.wave1.y","gender","country","income.wave1","education","household_size","politicalorientation_1","Duration.wave2","ResponseId.y","age","income.wave2","Minutes.wave1","Minutes.wave2","Minutes"
"1",227471319859444,"R_8q6n1RRt6MyyXex",0.432,0.57,"over","R_tE6MoKzmZtjFxD3","R_tE6MoKzmZtjFxD3",0.642,0.736,"over","numeracy high",-0.166,-0.2,"increased error",1022,"R_8q6n1RRt6MyyXex","male","Germany","> 4'000€
>5'900 CHF","middle school",2,3,1157,"R_tE6MoKzmZtjFxD3",73,"> 4'000€
>5'900 CHF",17,19,"okay"
"2",227471319859447,"R_3037BPovs68z8Wp",-0.231,0.421,"under","R_Ojo34qwq19Vpce5","R_Ojo34qwq19Vpce5",-0.158,0.526,"under","numeracy low",-0.105,-0.1,"increased error",1366,"R_3037BPovs68z8Wp","female","Germany","<1'500- 2'499€
3'100-4'299CHF","degree",2,5,2392,"R_Ojo34qwq19Vpce5",64,"<1'500€
<3'100CHF",22,39,"okay"
"3",227471450945619,"R_eFZQYTp4gO6YksF",0.436,0.499,"over","R_2qw808RHTW32LfJ","R_2qw808RHTW32LfJ",0.0523,0.458,"over","numeracy high",0.041,0,"no change",1465,"R_eFZQYTp4gO6YksF","female","Switzerland","> 4'000€
>5'900 CHF","degree",5,4,1572,"R_2qw808RHTW32LfJ",57,"2'500- 4'000€
<4'300- 5'899CHF",24,26,"okay"
"4",227471450957862,"R_DqafDJUij6pOidj",-1.74,1.74,"under","R_1oqkBndhcpDZMqi","R_1oqkBndhcpDZMqi",-1.08,1.08,"under","numeracy low",0.66,0.7,"decreased error",574,"R_DqafDJUij6pOidj","female","Switzerland","> 4'000€
>5'900 CHF","no formal education",3,4,851,"R_1oqkBndhcpDZMqi",41,"2'500- 4'000€
<4'300- 5'899CHF",9,14,"okay"
"5",229166066768915,"R_sSR9IooKusigb73",0.342,0.569,"over","R_3rS4w78ysOQsr12","R_3rS4w78ysOQsr12",0.479,0.569,"over","numeracy high",0,0,"no change",1200,"R_sSR9IooKusigb73","male","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",1,7,639,"R_3rS4w78ysOQsr12",35,"<1'500- 2'499€
3'100-4'299CHF",20,10,"okay"
"6",229166066770991,"R_3ffPXWQN4a5pytn",-0.868,0.939,"under","R_3nAgm8GpHtzVUDU","R_3nAgm8GpHtzVUDU",-1.3,1.3,"under","numeracy low",-0.361,-0.4,"increased error",697,"R_3ffPXWQN4a5pytn","male","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",1,5,886,"R_3nAgm8GpHtzVUDU",69,"<1'500- 2'499€
3'100-4'299CHF",11,14,"okay"
"7",229166066770993,"R_O8b53p7xh5bwplT",0.00338,0.394,"over","R_1mPZTN6F4Yrwu6f","R_1mPZTN6F4Yrwu6f",-0.252,0.397,"under","numeracy low",-0.003,0,"no change",1609,"R_O8b53p7xh5bwplT","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,5,4263,"R_1mPZTN6F4Yrwu6f",58,"2'500- 4'000€
<4'300- 5'899CHF",26,71,"okay"
"8",229166066778296,"R_3gXXt1W2K8Pos3x",0.311,0.769,"over","R_1Frcm9brNvhVz0E","R_1Frcm9brNvhVz0E",-1.08,1.08,"under","numeracy low",-0.311,-0.3,"increased error",1123,"R_3gXXt1W2K8Pos3x","female","Germany","> 4'000€
>5'900 CHF","middle school",2,5,1239,"R_1Frcm9brNvhVz0E",59,"> 4'000€
>5'900 CHF",18,20,"okay"
"9",229166066778304,"R_1C4wdUlbfbQ1hML",-0.223,0.488,"under","R_8hNT7jXVSBb9qhP","R_8hNT7jXVSBb9qhP",-0.0925,0.274,"under","numeracy high",0.214,0.2,"decreased error",1477,"R_1C4wdUlbfbQ1hML","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",1,3,1453,"R_8hNT7jXVSBb9qhP",70,"<1'500- 2'499€
3'100-4'299CHF",24,24,"okay"
"10",229166066778312,"R_BywDqqxLxP5MOLD",0.108,0.346,"over","R_3Oq241l7XqxA9WE","R_3Oq241l7XqxA9WE",0.123,0.242,"over","numeracy low",0.104,0.1,"decreased error",1299,"R_BywDqqxLxP5MOLD","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,3,1503,"R_3Oq241l7XqxA9WE",64,"2'500- 4'000€
<4'300- 5'899CHF",21,25,"okay"
"11",229166066780404,"R_3ke5ZDJpQBX1C0j",0.0622,0.528,"over","R_1IGfF1abpdkWhLy","R_1IGfF1abpdkWhLy",0.124,0.466,"over","numeracy low",0.062,0.1,"decreased error",1365,"R_3ke5ZDJpQBX1C0j","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,5,1497,"R_1IGfF1abpdkWhLy",72,"2'500- 4'000€
<4'300- 5'899CHF",22,24,"okay"
"12",229166066782222,"R_21aXH4qkpWoMUfc",-0.0082,0.574,"under","R_1I6MKxO41jAt15N","R_1I6MKxO41jAt15N",-0.0323,0.689,"under","numeracy low",-0.115,-0.1,"increased error",1295,"R_21aXH4qkpWoMUfc","male","Germany","<1'500- 2'499€
3'100-4'299CHF","degree",2,5,1439,"R_1I6MKxO41jAt15N",29,"2'500- 4'000€
<4'300- 5'899CHF",21,23,"okay"
"13",229166066786390,"R_2VdofypBJBuhz1H",-0.382,0.579,"under","R_1LUJuqInfZjP2R8","R_1LUJuqInfZjP2R8",-0.233,0.434,"under","numeracy low",0.145,0.1,"decreased error",876,"R_2VdofypBJBuhz1H","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,8,1868,"R_1LUJuqInfZjP2R8",60,"2'500- 4'000€
<4'300- 5'899CHF",14,31,"okay"
"14",229166066788472,"R_1gIlDrlegDFV6sF",0.224,0.618,"over","R_3M0xwiuX0tjd8ZJ","R_3M0xwiuX0tjd8ZJ",-0.28,0.736,"under","numeracy low",-0.118,-0.1,"increased error",3813,"R_1gIlDrlegDFV6sF","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","no formal education",5,3,3729,"R_3M0xwiuX0tjd8ZJ",26,"<1'500€
<3'100CHF",63,62,"okay"
"15",229166066788475,"R_WfbcOa4R3TKEukN",-0.543,0.689,"under","R_eUJ7b0qtFajcHiF","R_eUJ7b0qtFajcHiF",-0.872,0.872,"under","numeracy low",-0.183,-0.2,"increased error",639,"R_WfbcOa4R3TKEukN","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",2,6,855,"R_eUJ7b0qtFajcHiF",60,"> 4'000€
>5'900 CHF",10,14,"okay"
"16",229166066789519,"R_2EEuiLLUQlAKcEz",-0.289,0.561,"under","R_ZKQs1KphaxQxIbf","R_ZKQs1KphaxQxIbf",-0.553,0.585,"under","numeracy low",-0.0239999999999999,0,"no change",481,"R_2EEuiLLUQlAKcEz","male","Germany","<1'500- 2'499€
3'100-4'299CHF","no formal education",2,6,382,"R_ZKQs1KphaxQxIbf",25,"<1'500- 2'499€
3'100-4'299CHF",8,6,"speeder"
"17",229166066792658,"R_DAy13Qg9X0yju5b",-0.304,0.803,"under","R_2ZQvMICyBHJJC25","R_2ZQvMICyBHJJC25",-0.431,0.808,"under","numeracy low",-0.005,0,"no change",1235,"R_DAy13Qg9X0yju5b","male","Germany","<1'500€
<3'100CHF","no formal education",1,5,1520,"R_2ZQvMICyBHJJC25",57,"<1'500€
<3'100CHF",20,25,"okay"
"18",229166066799696,"R_2e8rPRQ3Tf6hpC0",-0.0648,0.754,"under","R_3Pe0emppqE6grrU","R_3Pe0emppqE6grrU",0.799,0.799,"over","numeracy low",-0.045,0,"no change",2921,"R_2e8rPRQ3Tf6hpC0","male","Germany","<1'500- 2'499€
3'100-4'299CHF","no formal education",1,5,939,"R_3Pe0emppqE6grrU",41,"<1'500- 2'499€
3'100-4'299CHF",48,15,"okay"
"19",229166066803864,"R_2cBDYRcdwlr6tJe",0.469,0.648,"over","R_10xEptLaoi40BlX","R_10xEptLaoi40BlX",0.14,0.543,"over","numeracy low",0.105,0.1,"decreased error",1514,"R_2cBDYRcdwlr6tJe","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","no formal education",3,4,2083,"R_10xEptLaoi40BlX",67,"2'500- 4'000€
<4'300- 5'899CHF",25,34,"okay"
"20",229166066809875,"R_3iwZiFBbukhyafr",-0.172,0.304,"under","R_6s6crm2aG0TsoBr","R_6s6crm2aG0TsoBr",-0.19,0.619,"under","numeracy high",-0.315,-0.3,"increased error",5059,"R_3iwZiFBbukhyafr","female","Germany","<1'500€
<3'100CHF","middle school",1,5,2803,"R_6s6crm2aG0TsoBr",64,"<1'500€
<3'100CHF",84,46,"okay"
"21",229166066821130,"R_2BnFF7O0UemP6bn",-0.164,0.361,"under","R_1KXEGN3b38r2ypb","R_1KXEGN3b38r2ypb",0.0508,0.333,"over","numeracy low",0.028,0,"no change",1319,"R_2BnFF7O0UemP6bn","female","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",2,4,829,"R_1KXEGN3b38r2ypb",36,"<1'500- 2'499€
3'100-4'299CHF",21,13,"okay"
"22",229166066823206,"R_3iD1T8NlCZIuSSn",0.56,0.602,"over","R_wKMS5f4HdQYL8Zj","R_wKMS5f4HdQYL8Zj",-0.824,0.97,"under","numeracy low",-0.368,-0.4,"increased error",1602,"R_3iD1T8NlCZIuSSn","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",3,3,1437,"R_wKMS5f4HdQYL8Zj",19,"2'500- 4'000€
<4'300- 5'899CHF",26,23,"okay"
"23",229166066833639,"R_7WGFlGsDSnQRpmh",0.167,0.503,"over","R_3s6Ss4gsg98OQGW","R_3s6Ss4gsg98OQGW",0.0644,0.55,"over","numeracy high",-0.047,0,"no change",808,"R_7WGFlGsDSnQRpmh","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",2,5,897,"R_3s6Ss4gsg98OQGW",34,"2'500- 4'000€
<4'300- 5'899CHF",13,14,"okay"
"24",229166066833642,"R_cTN0cTJ7C5jMipr",0.308,0.561,"over","R_2S8EuuoWZ1zlEUd","R_2S8EuuoWZ1zlEUd",0.031,0.87,"over","numeracy high",-0.309,-0.3,"increased error",598,"R_cTN0cTJ7C5jMipr","male","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",4,7,730,"R_2S8EuuoWZ1zlEUd",20,"2'500- 4'000€
<4'300- 5'899CHF",9,12,"okay"
"25",229166416656617,"R_ujLqmiC73EyREFX",0.855,0.855,"over","R_Dk5989wZHXlEzct","R_Dk5989wZHXlEzct",0.656,0.656,"over","numeracy high",0.199,0.2,"decreased error",3847,"R_ujLqmiC73EyREFX","male","Switzerland","> 4'000€
>5'900 CHF","degree",2,8,1101,"R_Dk5989wZHXlEzct",51,"> 4'000€
>5'900 CHF",64,18,"okay"
"26",229166416657657,"R_1rHAC97MaIFeZQs",0.195,0.475,"over","R_3D2zYtpdbhtT6vH","R_3D2zYtpdbhtT6vH",0.503,0.53,"over","numeracy low",-0.055,-0.1,"increased error",812,"R_1rHAC97MaIFeZQs","female","Switzerland","> 4'000€
>5'900 CHF","obligatory school",2,4,1633,"R_3D2zYtpdbhtT6vH",39,"> 4'000€
>5'900 CHF",13,27,"okay"
"27",229166416658444,"R_3fAW9A9PUOTPSRY",0.66,0.723,"over","R_1mltiMTeFeXLWJB","R_1mltiMTeFeXLWJB",0.564,0.654,"over","numeracy high",0.069,0.1,"decreased error",874,"R_3fAW9A9PUOTPSRY","female","Switzerland","> 4'000€
>5'900 CHF","degree",4,7,1417,"R_1mltiMTeFeXLWJB",49,"> 4'000€
>5'900 CHF",14,23,"okay"
"28",229166416658456,"R_332rHLTBzW4o52Y",0.648,0.761,"over","R_Z9rUDwY108FGHgR","R_Z9rUDwY108FGHgR",0.473,0.6,"over","numeracy low",0.161,0.2,"decreased error",5555,"R_332rHLTBzW4o52Y","male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",4,5,3480,"R_Z9rUDwY108FGHgR",54,"2'500- 4'000€
<4'300- 5'899CHF",92,58,"okay"
"29",229166416659487,"R_2UiwFRmg4DIHiHP",0.648,0.667,"over","R_1lzB3yQwCXpUq1d","R_1lzB3yQwCXpUq1d",0.0285,0.555,"over","numeracy high",0.112,0.1,"decreased error",49193,"R_2UiwFRmg4DIHiHP","female","Switzerland","<1'500€
<3'100CHF","middle school",1,8,2828,"R_1lzB3yQwCXpUq1d",77,"<1'500€
<3'100CHF",819,47,"okay"
"30",229166416659499,"R_3qpx95XzcwMK7Id",0.395,0.561,"over","R_3mjBG4EWOAh2zPn","R_3mjBG4EWOAh2zPn",0.137,0.47,"over","numeracy low",0.0910000000000001,0.1,"decreased error",9971,"R_3qpx95XzcwMK7Id","male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","degree",1,4,6417,"R_3mjBG4EWOAh2zPn",60,"2'500- 4'000€
<4'300- 5'899CHF",166,106,"okay"
"31",229166416660547,"R_2qyee8RYNHe83N3",0.184,0.531,"over","R_1BnkeWb8Yt6wKJz","R_1BnkeWb8Yt6wKJz",0.417,0.7,"over","numeracy low",-0.169,-0.2,"increased error",8076,"R_2qyee8RYNHe83N3","female","Switzerland","<1'500€
<3'100CHF","obligatory school",1,8,1610,"R_1BnkeWb8Yt6wKJz",59,"<1'500€
<3'100CHF",134,26,"okay"
"32",229166416662627,"R_pbbiWuR68CLd12V",-0.067,0.487,"under","R_2VEBV1FZqbQzJh9","R_2VEBV1FZqbQzJh9",-0.208,0.504,"under","numeracy low",-0.017,0,"no change",763,"R_pbbiWuR68CLd12V","male","Switzerland","> 4'000€
>5'900 CHF","degree",4,6,15418,"R_2VEBV1FZqbQzJh9",40,"> 4'000€
>5'900 CHF",12,256,"okay"
"33",229166416662637,"R_ZFcYjQPti4GmnId",0.629,0.726,"over","R_3mAe9TEtmdbknbb","R_3mAe9TEtmdbknbb",-0.257,0.697,"under","numeracy low",0.029,0,"no change",1916,"R_ZFcYjQPti4GmnId","female","Switzerland","<1'500€
<3'100CHF","obligatory school",1,5,1480,"R_3mAe9TEtmdbknbb",40,"<1'500€
<3'100CHF",31,24,"okay"
"34",229166416663673,"R_3EGccqupxv5YC29",0.284,0.761,"over","R_31gXaeWDD8YXO0m","R_31gXaeWDD8YXO0m",0.0246,0.347,"over","numeracy high",0.414,0.4,"decreased error",1506,"R_3EGccqupxv5YC29","male","Switzerland","> 4'000€
>5'900 CHF","obligatory school",4,3,1124,"R_31gXaeWDD8YXO0m",42,"> 4'000€
>5'900 CHF",25,18,"okay"
"35",229166416665772,"R_279DrW8COJ7EWg9",-0.0185,0.725,"under","R_1GHQl4ynOuXKsoJ","R_1GHQl4ynOuXKsoJ",-0.565,0.833,"under","numeracy high",-0.108,-0.1,"increased error",993,"R_279DrW8COJ7EWg9","male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","degree",3,5,781,"R_1GHQl4ynOuXKsoJ",33,"> 4'000€
>5'900 CHF",16,13,"okay"
