"","m","wave","country","gender","age","income.wave1","income.wave2","education","numeracy.f","error.diff.f","mean.abs.error","mean.est.bias"
"1",227471319859444,"wave1","Germany","male",73,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","middle school","numeracy high","increased error",0.57,0.432
"2",227471319859444,"wave2","Germany","male",73,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","middle school","numeracy high","increased error",0.736,0.642
"3",227471319859447,"wave1","Germany","female",64,"<1'500- 2'499€
3'100-4'299CHF","<1'500€
<3'100CHF","degree","numeracy low","increased error",0.421,-0.231
"4",227471319859447,"wave2","Germany","female",64,"<1'500- 2'499€
3'100-4'299CHF","<1'500€
<3'100CHF","degree","numeracy low","increased error",0.526,-0.158
"5",227471450945619,"wave1","Switzerland","female",57,"> 4'000€
>5'900 CHF","2'500- 4'000€
<4'300- 5'899CHF","degree","numeracy high","no change",0.499,0.436
"6",227471450945619,"wave2","Switzerland","female",57,"> 4'000€
>5'900 CHF","2'500- 4'000€
<4'300- 5'899CHF","degree","numeracy high","no change",0.458,0.0523
"7",227471450957862,"wave1","Switzerland","female",41,"> 4'000€
>5'900 CHF","2'500- 4'000€
<4'300- 5'899CHF","no formal education","numeracy low","decreased error",1.74,-1.74
"8",227471450957862,"wave2","Switzerland","female",41,"> 4'000€
>5'900 CHF","2'500- 4'000€
<4'300- 5'899CHF","no formal education","numeracy low","decreased error",1.08,-1.08
"9",229166066768915,"wave1","Germany","male",35,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy high","no change",0.569,0.342
"10",229166066768915,"wave2","Germany","male",35,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy high","no change",0.569,0.479
"11",229166066770991,"wave1","Germany","male",69,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy low","increased error",0.939,-0.868
"12",229166066770991,"wave2","Germany","male",69,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy low","increased error",1.3,-1.3
"13",229166066770993,"wave1","Germany","male",58,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","no change",0.394,0.00338
"14",229166066770993,"wave2","Germany","male",58,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","no change",0.397,-0.252
"15",229166066778296,"wave1","Germany","female",59,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","middle school","numeracy low","increased error",0.769,0.311
"16",229166066778296,"wave2","Germany","female",59,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","middle school","numeracy low","increased error",1.08,-1.08
"17",229166066778304,"wave1","Germany","male",70,"2'500- 4'000€
<4'300- 5'899CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy high","decreased error",0.488,-0.223
"18",229166066778304,"wave2","Germany","male",70,"2'500- 4'000€
<4'300- 5'899CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy high","decreased error",0.274,-0.0925
"19",229166066778312,"wave1","Germany","male",64,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","decreased error",0.346,0.108
"20",229166066778312,"wave2","Germany","male",64,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","decreased error",0.242,0.123
"21",229166066780404,"wave1","Germany","female",72,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","decreased error",0.528,0.0622
"22",229166066780404,"wave2","Germany","female",72,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","decreased error",0.466,0.124
"23",229166066782222,"wave1","Germany","male",29,"<1'500- 2'499€
3'100-4'299CHF","2'500- 4'000€
<4'300- 5'899CHF","degree","numeracy low","increased error",0.574,-0.0082
"24",229166066782222,"wave2","Germany","male",29,"<1'500- 2'499€
3'100-4'299CHF","2'500- 4'000€
<4'300- 5'899CHF","degree","numeracy low","increased error",0.689,-0.0323
"25",229166066786390,"wave1","Germany","male",60,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","decreased error",0.579,-0.382
"26",229166066786390,"wave2","Germany","male",60,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","decreased error",0.434,-0.233
"27",229166066788472,"wave1","Germany","male",26,"2'500- 4'000€
<4'300- 5'899CHF","<1'500€
<3'100CHF","no formal education","numeracy low","increased error",0.618,0.224
"28",229166066788472,"wave2","Germany","male",26,"2'500- 4'000€
<4'300- 5'899CHF","<1'500€
<3'100CHF","no formal education","numeracy low","increased error",0.736,-0.28
"29",229166066788475,"wave1","Germany","male",60,"2'500- 4'000€
<4'300- 5'899CHF","> 4'000€
>5'900 CHF","middle school","numeracy low","increased error",0.689,-0.543
"30",229166066788475,"wave2","Germany","male",60,"2'500- 4'000€
<4'300- 5'899CHF","> 4'000€
>5'900 CHF","middle school","numeracy low","increased error",0.872,-0.872
"31",229166066789519,"wave1","Germany","male",25,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","no formal education","numeracy low","no change",0.561,-0.289
"32",229166066789519,"wave2","Germany","male",25,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","no formal education","numeracy low","no change",0.585,-0.553
"33",229166066792658,"wave1","Germany","male",57,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","no formal education","numeracy low","no change",0.803,-0.304
"34",229166066792658,"wave2","Germany","male",57,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","no formal education","numeracy low","no change",0.808,-0.431
"35",229166066799696,"wave1","Germany","male",41,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","no formal education","numeracy low","no change",0.754,-0.0648
"36",229166066799696,"wave2","Germany","male",41,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","no formal education","numeracy low","no change",0.799,0.799
