m,(Intercept),wavewave2,co2-30% CO2,tax+6%,energieabhaengigkeit+20%,zeitpunktin 7 years,wave,gender,age,country,income,education,concern.scaled
227471319859444,1.8902968670095162,0.08374653219906461,0.5410330879174204,-1.0091269174947066,0.3605711959909246,-4.338757836398711,wave1,male,73,Germany,"> 4'000€
>5'900 CHF",middle school,1.0788177339901477
227471319859444,1.8902968670095162,0.08374653219906461,0.5410330879174204,-1.0091269174947066,0.3605711959909246,-4.338757836398711,wave2,male,73,Germany,"> 4'000€
>5'900 CHF",middle school,1.1958128078817731
227471319859447,1.495527392683754,0.08374653219906461,0.44961745218068916,-4.626314111461106,0.4990088895595582,-4.153123680436332,wave1,female,64,Germany,"<1'500- 2'499€
3'100-4'299CHF",degree,1.0788177339901477
227471319859447,1.495527392683754,0.08374653219906461,0.44961745218068916,-4.626314111461106,0.4990088895595582,-4.153123680436332,wave2,female,64,Germany,"<1'500€
<3'100CHF",degree,1.1958128078817731
227471450945619,2.53524732663052,0.08374653219906461,0.6651643448268949,-1.0183614409956547,0.3230827331405452,-2.8498414997101387,wave1,female,57,Switzerland,"> 4'000€
>5'900 CHF",degree,0.3288177339901477
227471450945619,2.53524732663052,0.08374653219906461,0.6651643448268949,-1.0183614409956547,0.3230827331405452,-2.8498414997101387,wave2,female,57,Switzerland,"2'500- 4'000€
<4'300- 5'899CHF",degree,0.19581280788177313
227471450957862,-1.3749647856755431,0.08374653219906461,0.07289272353576431,-3.8019751629842626,0.29103377530076324,0.5443784514567112,wave2,female,41,Switzerland,"2'500- 4'000€
<4'300- 5'899CHF",no formal education,0.19581280788177313
227471450957862,-1.3749647856755431,0.08374653219906461,0.07289272353576431,-3.8019751629842626,0.29103377530076324,0.5443784514567112,wave1,female,41,Switzerland,"> 4'000€
>5'900 CHF",no formal education,-1.9211822660098523
229166066768915,2.6339560015039725,0.08374653219906461,0.65698312851659,-5.086816341600393,0.4710627540390392,-2.0955651504072743,wave2,male,35,Germany,"<1'500- 2'499€
3'100-4'299CHF",middle school,-0.05418719211822687
229166066768915,2.6339560015039725,0.08374653219906461,0.65698312851659,-5.086816341600393,0.4710627540390392,-2.0955651504072743,wave1,male,35,Germany,"<1'500- 2'499€
3'100-4'299CHF",middle school,-0.1711822660098523
229166066770991,-1.071164703686517,0.08374653219906461,0.10980757610674208,-3.6343946539536445,0.3123524587097557,-0.29150619121459553,wave2,male,69,Germany,"<1'500- 2'499€
3'100-4'299CHF",middle school,-0.8041871921182269
229166066770991,-1.071164703686517,0.08374653219906461,0.10980757610674208,-3.6343946539536445,0.3123524587097557,-0.29150619121459553,wave1,male,69,Germany,"<1'500- 2'499€
3'100-4'299CHF",middle school,0.07881773399014769
229166066770993,2.180736147631483,0.08374653219906461,0.5758146963281736,-4.479106267255008,0.470031452310833,-3.0770157332759465,wave2,male,58,Germany,"2'500- 4'000€
<4'300- 5'899CHF",obligatory school,0.6958128078817731
229166066770993,2.180736147631483,0.08374653219906461,0.5758146963281736,-4.479106267255008,0.470031452310833,-3.0770157332759465,wave1,male,58,Germany,"2'500- 4'000€
<4'300- 5'899CHF",obligatory school,0.3288177339901477
229166066778296,2.4205356076014657,0.08374653219906461,0.6195752908717592,-4.0831411906727935,0.4506422772020847,-2.9077976045931218,wave2,female,59,Germany,"> 4'000€
>5'900 CHF",middle school,1.1958128078817731
229166066778296,2.4205356076014657,0.08374653219906461,0.6195752908717592,-4.0831411906727935,0.4506422772020847,-2.9077976045931218,wave1,female,59,Germany,"> 4'000€
>5'900 CHF",middle school,1.0788177339901477
229166066778304,4.104092936402822,0.08374653219906461,0.8872821283508273,-4.644392351211473,0.4815174954758362,-2.5026905340262173,wave2,male,70,Germany,"<1'500- 2'499€
3'100-4'299CHF",middle school,0.6958128078817731
229166066778304,4.104092936402822,0.08374653219906461,0.8872821283508273,-4.644392351211473,0.4815174954758362,-2.5026905340262173,wave1,male,70,Germany,"2'500- 4'000€
<4'300- 5'899CHF",middle school,0.3288177339901477
229166066778312,1.8116392246295507,0.08374653219906461,0.5203758102123495,0.11298798391612364,0.349112243670162,-5.537514973728316,wave2,male,64,Germany,"2'500- 4'000€
<4'300- 5'899CHF",obligatory school,1.1958128078817731
229166066778312,1.8116392246295507,0.08374653219906461,0.5203758102123495,0.11298798391612364,0.349112243670162,-5.537514973728316,wave1,male,64,Germany,"2'500- 4'000€
<4'300- 5'899CHF",obligatory school,1.0788177339901477
229166066780404,2.5658631371221063,0.08374653219906461,0.6609088353339605,-6.740371602311301,0.48018766416758096,-0.14997313961732206,wave2,female,72,Germany,"2'500- 4'000€
<4'300- 5'899CHF",obligatory school,-0.05418719211822687
229166066780404,2.5658631371221063,0.08374653219906461,0.6609088353339605,-6.740371602311301,0.48018766416758096,-0.14997313961732206,wave1,female,72,Germany,"2'500- 4'000€
<4'300- 5'899CHF",obligatory school,0.3288177339901477
229166066782222,3.239340858335445,0.08374653219906461,0.7521113475334872,-1.2170884539224174,0.3860127744410732,-4.3797125588488175,wave2,male,29,Germany,"2'500- 4'000€
<4'300- 5'899CHF",degree,0.9458128078817731
229166066782222,3.239340858335445,0.08374653219906461,0.7521113475334872,-1.2170884539224174,0.3860127744410732,-4.3797125588488175,wave1,male,29,Germany,"<1'500- 2'499€
3'100-4'299CHF",degree,1.0788177339901477
229166066786390,-1.9994105989259445,0.08374653219906461,-0.02111598439703255,-3.4178995635629716,0.2647745841562955,0.6451389835327728,wave2,male,60,Germany,"2'500- 4'000€
<4'300- 5'899CHF",obligatory school,-3.554187192118227
229166066786390,-1.9994105989259445,0.08374653219906461,-0.02111598439703255,-3.4178995635629716,0.2647745841562955,0.6451389835327728,wave1,male,60,Germany,"2'500- 4'000€
<4'300- 5'899CHF",obligatory school,-3.9211822660098523
229166066788472,2.4556045917074627,0.08374653219906461,0.6418300068132152,-0.8375637118699779,0.34108063973947467,-3.690679372585272,wave2,male,26,Germany,"<1'500€
<3'100CHF",no formal education,1.1958128078817731
229166066788472,2.4556045917074627,0.08374653219906461,0.6418300068132152,-0.8375637118699779,0.34108063973947467,-3.690679372585272,wave1,male,26,Germany,"2'500- 4'000€
<4'300- 5'899CHF",no formal education,1.0788177339901477
229166066788475,0.5569542286286528,0.08374653219906461,0.3902331533805493,-1.9804174548556703,0.2518326479277604,0.20291177980194797,wave2,male,60,Germany,"> 4'000€
>5'900 CHF",middle school,1.1958128078817731
229166066788475,0.5569542286286528,0.08374653219906461,0.3902331533805493,-1.9804174548556703,0.2518326479277604,0.20291177980194797,wave1,male,60,Germany,"2'500- 4'000€
<4'300- 5'899CHF",middle school,1.0788177339901477
229166066789519,1.211748162907043,0.08374653219906461,0.47237897740795926,-1.253063177894532,0.2829751546564899,-1.6326624349293368,wave1,male,25,Germany,"<1'500- 2'499€
3'100-4'299CHF",no formal education,-3.1711822660098523
229166066789519,1.211748162907043,0.08374653219906461,0.47237897740795926,-1.253063177894532,0.2829751546564899,-1.6326624349293368,wave2,male,25,Germany,"<1'500- 2'499€
3'100-4'299CHF",no formal education,-3.804187192118227
229166066792658,1.3939848798430738,0.08374653219906461,0.47737141012367357,-1.2539495136062353,0.3328145122835144,-3.223405070540445,wave2,male,57,Germany,"<1'500€
<3'100CHF",no formal education,0.44581280788177313
229166066792658,1.3939848798430738,0.08374653219906461,0.47737141012367357,-1.2539495136062353,0.3328145122835144,-3.223405070540445,wave1,male,57,Germany,"<1'500€
<3'100CHF",no formal education,0.3288177339901477
229166066799696,3.898660313632698,0.08374653219906461,0.9099280327350809,-0.9858418079255076,0.2832761916055651,-0.9679758580764116,wave2,male,41,Germany,"<1'500- 2'499€
3'100-4'299CHF",no formal education,-0.05418719211822687
229166066799696,3.898660313632698,0.08374653219906461,0.9099280327350809,-0.9858418079255076,0.2832761916055651,-0.9679758580764116,wave1,male,41,Germany,"<1'500- 2'499€
3'100-4'299CHF",no formal education,-0.1711822660098523
229166066803864,3.898660313632698,0.08374653219906461,0.9099280327350809,-0.9858418079255076,0.2832761916055651,-0.9679758580764116,wave2,male,67,Germany,"2'500- 4'000€
<4'300- 5'899CHF",no formal education,1.1958128078817731
229166066803864,3.898660313632698,0.08374653219906461,0.9099280327350809,-0.9858418079255076,0.2832761916055651,-0.9679758580764116,wave1,male,67,Germany,"2'500- 4'000€
<4'300- 5'899CHF",no formal education,0.5788177339901477
229166066809875,2.7154936324346997,0.08374653219906461,0.6491612484290352,-0.5204689371712585,0.40284931066943075,-6.116979448006268,wave2,female,64,Germany,"<1'500€
<3'100CHF",middle school,0.9458128078817731
229166066809875,2.7154936324346997,0.08374653219906461,0.6491612484290352,-0.5204689371712585,0.40284931066943075,-6.116979448006268,wave1,female,64,Germany,"<1'500€
<3'100CHF",middle school,1.0788177339901477
229166066821130,1.952646791114843,0.08374653219906461,0.5301388130548056,-2.43832602816145,0.4358234757513304,-4.881116488761718,wave2,female,36,Germany,"<1'500- 2'499€
3'100-4'299CHF",obligatory school,1.1958128078817731
229166066821130,1.952646791114843,0.08374653219906461,0.5301388130548056,-2.43832602816145,0.4358234757513304,-4.881116488761718,wave1,female,36,Germany,"<1'500- 2'499€
3'100-4'299CHF",obligatory school,1.0788177339901477
229166066823206,1.4494543702616822,0.08374653219906461,0.4913327405860538,-5.76799739834852,0.4302549868900307,-0.24511861925494816,wave2,female,19,Germany,"2'500- 4'000€
<4'300- 5'899CHF",obligatory school,-3.804187192118227
229166066823206,1.4494543702616822,0.08374653219906461,0.4913327405860538,-5.76799739834852,0.4302549868900307,-0.24511861925494816,wave1,female,19,Germany,"2'500- 4'000€
<4'300- 5'899CHF",obligatory school,-3.9211822660098523
229166066833639,2.5658631371221063,0.08374653219906461,0.6609088353339605,-6.740371602311301,0.48018766416758096,-0.14997313961732206,wave2,male,34,Germany,"2'500- 4'000€
<4'300- 5'899CHF",middle school,-3.804187192118227
229166066833639,2.5658631371221063,0.08374653219906461,0.6609088353339605,-6.740371602311301,0.48018766416758096,-0.14997313961732206,wave1,male,34,Germany,"2'500- 4'000€
<4'300- 5'899CHF",middle school,-3.4211822660098523
229166066833642,1.7335523065800962,0.08374653219906461,0.5707809627539591,-4.016435323064322,0.32417499853043447,1.0226074854276042,wave2,male,20,Germany,"2'500- 4'000€
<4'300- 5'899CHF",middle school,1.1958128078817731
229166066833642,1.7335523065800962,0.08374653219906461,0.5707809627539591,-4.016435323064322,0.32417499853043447,1.0226074854276042,wave1,male,20,Germany,"<1'500- 2'499€
3'100-4'299CHF",middle school,-0.4211822660098523
229166416656617,2.034823429323418,0.08374653219906461,0.5668469993741008,-5.677940250758431,0.46651140745392466,-1.4127062030749027,wave2,male,51,Switzerland,"> 4'000€
>5'900 CHF",degree,-0.05418719211822687
229166416656617,2.034823429323418,0.08374653219906461,0.5668469993741008,-5.677940250758431,0.46651140745392466,-1.4127062030749027,wave1,male,51,Switzerland,"> 4'000€
>5'900 CHF",degree,0.07881773399014769
229166416657657,1.503289763688569,0.08374653219906461,0.5227027464825662,-0.6710797377480517,0.2628841477520822,-1.678380745208849,wave2,female,39,Switzerland,"> 4'000€
>5'900 CHF",obligatory school,1.1958128078817731
229166416657657,1.503289763688569,0.08374653219906461,0.5227027464825662,-0.6710797377480517,0.2628841477520822,-1.678380745208849,wave1,female,39,Switzerland,"> 4'000€
>5'900 CHF",obligatory school,1.0788177339901477
229166416658444,2.9858687032805156,0.08374653219906461,0.7386582432631381,0.0829145699231506,0.29977365592447763,-3.367612287007167,wave2,female,49,Switzerland,"> 4'000€
>5'900 CHF",degree,1.1958128078817731
229166416658444,2.9858687032805156,0.08374653219906461,0.7386582432631381,0.0829145699231506,0.29977365592447763,-3.367612287007167,wave1,female,49,Switzerland,"> 4'000€
>5'900 CHF",degree,1.0788177339901477
