"","ResponseId","m","Sum","gender","country","education","household_size","Duration.wave2","age","income.wave2","Minutes.wave2","Minutes","climate_concern","concern.scaled","exp.low_che.int","exp.low_che.hig","exp.low_mid.hig","exp.int_che.hig","exp.int_mid.hig","mid.low_che.int","mid.low_che.hig","percent"
"1","R_06dMV3ns8Oso0fv",229320605949036,4,"male","Germany","obligatory school",1,698,49,"<1'500€
<3'100CHF",11,"okay",4,-0.804187192118227,1,0,0,1,1,0,1,0.571428571428571
"2","R_0GLAzLpKzb2dj0t",229410206607464,3,"male","Switzerland","obligatory school",1,809,32,"2'500- 4'000€
<4'300- 5'899CHF",13,"okay",5.25,0.445812807881773,0,0,1,0,1,0,1,0.428571428571429
"3","R_0wTi4jmliqouWu5",229937963021321,3,"male","Switzerland","obligatory school",1,1760,58,"<1'500- 2'499€
3'100-4'299CHF",29,"okay",4,-0.804187192118227,0,0,0,0,1,1,1,0.428571428571429
"4","R_10pBdcRCpngqXjW",229409893581988,5,"female","Germany","middle school",2,1572,66,"<1'500- 2'499€
3'100-4'299CHF",26,"okay",5.75,0.945812807881773,0,1,1,1,1,0,1,0.714285714285714
"5","R_10r8rAWRBrcfRNn",229242295831746,0,"male","Germany","middle school",2,1450,67,"2'500- 4'000€
<4'300- 5'899CHF",24,"okay",4,-0.804187192118227,0,0,0,0,0,0,0,0
"6","R_10rCK8WbpwFbUPC",229409893585116,0,"male","Germany","middle school",2,2258,69,"2'500- 4'000€
<4'300- 5'899CHF",37,"okay",5.75,0.945812807881773,0,0,0,0,0,0,0,0
"7","R_10xEptLaoi40BlX",229166066803864,7,"male","Germany","no formal education",3,2083,67,"2'500- 4'000€
<4'300- 5'899CHF",34,"okay",6,1.19581280788177,1,1,1,1,1,1,1,1
"8","R_10ZbpT2snlVjOtf",229409893572855,1,"female","Germany","degree",2,3083,64,"> 4'000€
>5'900 CHF",51,"okay",6,1.19581280788177,0,0,1,0,0,0,0,0.142857142857143
"9","R_11Xg8JyRKok3DIm",229256171609167,5,"male","Switzerland","degree",4,1733,47,"> 4'000€
>5'900 CHF",28,"okay",5.25,0.445812807881773,0,1,1,0,1,1,1,0.714285714285714
"10","R_128Yrk2hM6RVtn2",229677069834245,2,"male","Germany","obligatory school",2,2335,55,"2'500- 4'000€
<4'300- 5'899CHF",38,"okay",1.5,-3.30418719211823,0,0,1,0,0,0,1,0.285714285714286
"11","R_12EXkLuWI7zwqvD",229255657957600,3,"female","Germany","degree",2,1879,54,"> 4'000€
>5'900 CHF",31,"okay",4.5,-0.304187192118227,0,1,1,0,0,0,1,0.428571428571429
"12","R_12fHiuDKnfCHBwJ",229855352002681,1,"female","Germany","degree",3,954,60,"> 4'000€
>5'900 CHF",15,"speeder",5.25,0.445812807881773,0,0,0,0,1,0,0,0.142857142857143
"13","R_12LqzQngtlo94Le",229321438315541,6,"male","Switzerland","obligatory school",3,1350,35,"> 4'000€
>5'900 CHF",22,"okay",3.75,-1.05418719211823,1,1,1,0,1,1,1,0.857142857142857
"14","R_12ncLRlhWhSi4HC",229255658003638,3,"male","Germany","middle school",4,6672,40,"2'500- 4'000€
<4'300- 5'899CHF",111,"okay",4.75,-0.0541871921182269,0,0,1,0,1,0,1,0.428571428571429
"15","R_12nepXyOEnwLAif",229255657936996,2,"female","Germany","middle school",1,775,22,"<1'500- 2'499€
3'100-4'299CHF",12,"okay",4,-0.804187192118227,0,0,1,0,0,0,1,0.285714285714286
"16","R_12rpjjaAH22b0AL",229255657970831,6,"female","Germany","obligatory school",2,438,29,"2'500- 4'000€
<4'300- 5'899CHF",7,"speeder",1.75,-3.05418719211823,1,1,1,1,0,1,1,0.857142857142857
"17","R_1BnkeWb8Yt6wKJz",229166416660547,5,"female","Switzerland","obligatory school",1,1610,59,"<1'500€
<3'100CHF",26,"okay",4.5,-0.304187192118227,0,1,1,1,1,0,1,0.714285714285714
"18","R_1Bw9BeGQL8DHYUF",229409893573885,1,"male","Germany","no formal education",4,652,38,"> 4'000€
>5'900 CHF",10,"speeder",1.75,-3.05418719211823,0,0,1,0,0,0,0,0.142857142857143
"19","R_1C4mhyAltGnXD7Q",229409893552237,0,"male","Germany","middle school",2,1434,70,"2'500- 4'000€
<4'300- 5'899CHF",23,"okay",6,1.19581280788177,0,0,0,0,0,0,0,0
"20","R_1CeTcMn0lbUzusP",229410207421640,3,"male","Switzerland","degree",2,749,35,"> 4'000€
>5'900 CHF",12,"okay",4.75,-0.0541871921182269,0,0,1,0,1,1,0,0.428571428571429
"21","R_1CftvhEnlM7DryY",229409893611678,3,"male","Germany","obligatory school",3,737,33,"2'500- 4'000€
<4'300- 5'899CHF",12,"okay",2.5,-2.30418719211823,0,0,1,0,1,0,1,0.428571428571429
"22","R_1CjS9gr2pSxsjzJ",229409893622879,5,"female","Germany","degree",2,2352,69,"> 4'000€
>5'900 CHF",39,"okay",6,1.19581280788177,0,1,1,1,1,0,1,0.714285714285714
"23","R_1Cl2SebPQbOFhuz",229256171549895,3,"male","Switzerland","degree",1,999,39,"> 4'000€
>5'900 CHF",16,"okay",5.75,0.945812807881773,0,0,1,0,0,1,1,0.428571428571429
"24","R_1cTvFzZh8rAXZLM",229410206789674,2,"female","Switzerland","middle school",2,1389,30,"> 4'000€
>5'900 CHF",23,"okay",3.25,-1.55418719211823,0,0,1,0,0,1,0,0.285714285714286
"25","R_1cYyqwuVjx1HrFm",230469411957892,3,"male","Switzerland","obligatory school",2,2535,73,"2'500- 4'000€
<4'300- 5'899CHF",42,"okay",5.25,0.445812807881773,0,0,1,0,1,0,1,0.428571428571429
"26","R_1DC5nrZ8uUaZwqY",229678093154327,6,"male","Switzerland","degree",1,1528,41,"2'500- 4'000€
<4'300- 5'899CHF",25,"okay",5,0.195812807881773,1,1,1,0,1,1,1,0.857142857142857
"27","R_1dGnuEDDeFDb6qd",229409893637217,5,"female","Germany","middle school",3,1480,34,"> 4'000€
>5'900 CHF",24,"okay",3.5,-1.30418719211823,0,1,1,1,1,0,1,0.714285714285714
"28","R_1dH1iYOib9kW6Yk",229678093228064,7,"female","Switzerland","obligatory school",1,1874,71,"<1'500- 2'499€
3'100-4'299CHF",31,"okay",5.75,0.945812807881773,1,1,1,1,1,1,1,1
"29","R_1DHhLExORVUMSTn",229256171569156,7,"female","Switzerland","no formal education",2,2958,55,"2'500- 4'000€
<4'300- 5'899CHF",49,"okay",5,0.195812807881773,1,1,1,1,1,1,1,1
"30","R_1dm0mgLEerYlg7d",229678093101130,5,"female","Switzerland","degree",1,3672,42,"2'500- 4'000€
<4'300- 5'899CHF",61,"okay",6,1.19581280788177,0,0,1,1,1,1,1,0.714285714285714
"31","R_1dodXvys6NxgTR9",229409893579886,4,"female","Germany","middle school",3,1697,56,"> 4'000€
>5'900 CHF",28,"okay",6,1.19581280788177,0,1,1,0,1,0,1,0.571428571428571
"32","R_1DSURcJvOpaPjL4",229410206632128,7,"male","Switzerland","obligatory school",4,2073,48,"> 4'000€
>5'900 CHF",34,"okay",5.5,0.695812807881773,1,1,1,1,1,1,1,1
"33","R_1Dw12dAWVKw9xMK",229677069763603,5,"female","Germany","middle school",4,5028,52,"2'500- 4'000€
<4'300- 5'899CHF",83,"okay",5,0.195812807881773,0,1,1,0,1,1,1,0.714285714285714
"34","R_1dyNNy7i0IogXjW",229321438291162,4,"female","Switzerland","middle school",1,1272,26,"<1'500- 2'499€
3'100-4'299CHF",21,"okay",5.25,0.445812807881773,0,1,1,1,0,0,1,0.571428571428571
"35","R_1E9U1jO9sggxQfj",229409893617680,2,"male","Germany","degree",2,969,41,"> 4'000€
>5'900 CHF",16,"okay",6,1.19581280788177,0,1,1,0,0,0,0,0.285714285714286
