"","m","wave","country","gender","age","income.wave1","income.wave2","education","numeracy.f","error.diff.f","mean.abs.error","mean.est.bias"
"1",227471319859444,"wave1","Germany","male",73,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","middle school","numeracy high","increased error",0.57,0.432
"2",227471319859444,"wave2","Germany","male",73,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","middle school","numeracy high","increased error",0.736,0.642
"3",227471319859447,"wave1","Germany","female",64,"<1'500- 2'499€
3'100-4'299CHF","<1'500€
<3'100CHF","degree","numeracy low","increased error",0.421,-0.231
"4",227471319859447,"wave2","Germany","female",64,"<1'500- 2'499€
3'100-4'299CHF","<1'500€
<3'100CHF","degree","numeracy low","increased error",0.526,-0.158
"5",227471450945619,"wave1","Switzerland","female",57,"> 4'000€
>5'900 CHF","2'500- 4'000€
<4'300- 5'899CHF","degree","numeracy high","no change",0.499,0.436
"6",227471450945619,"wave2","Switzerland","female",57,"> 4'000€
>5'900 CHF","2'500- 4'000€
<4'300- 5'899CHF","degree","numeracy high","no change",0.458,0.0523
"7",227471450957862,"wave1","Switzerland","female",41,"> 4'000€
>5'900 CHF","2'500- 4'000€
<4'300- 5'899CHF","no formal education","numeracy low","decreased error",1.74,-1.74
"8",227471450957862,"wave2","Switzerland","female",41,"> 4'000€
>5'900 CHF","2'500- 4'000€
<4'300- 5'899CHF","no formal education","numeracy low","decreased error",1.08,-1.08
"9",229166066768913,"wave1","Germany","male",52,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","no formal education","numeracy low","no change",0.628,-0.19
"10",229166066768913,"wave2","Germany","male",52,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","no formal education","numeracy low","no change",0.589,0.589
"11",229166066768915,"wave1","Germany","male",35,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy high","no change",0.569,0.342
"12",229166066768915,"wave2","Germany","male",35,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy high","no change",0.569,0.479
"13",229166066769952,"wave1","Germany","male",35,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","obligatory school","numeracy low","decreased error",0.799,-0.74
"14",229166066769952,"wave2","Germany","male",35,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","obligatory school","numeracy low","decreased error",0.545,-0.498
"15",229166066770991,"wave1","Germany","male",69,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy low","increased error",0.939,-0.868
"16",229166066770991,"wave2","Germany","male",69,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy low","increased error",1.3,-1.3
"17",229166066770993,"wave1","Germany","male",58,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","no change",0.394,0.00338
"18",229166066770993,"wave2","Germany","male",58,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","no change",0.397,-0.252
"19",229166066770995,"wave1","Germany","male",50,"2'500- 4'000€
<4'300- 5'899CHF","<1'500- 2'499€
3'100-4'299CHF","obligatory school","numeracy low","increased error",1.47,-1.47
"20",229166066770995,"wave2","Germany","male",50,"2'500- 4'000€
<4'300- 5'899CHF","<1'500- 2'499€
3'100-4'299CHF","obligatory school","numeracy low","increased error",1.66,-1.66
"21",229166066770996,"wave1","Germany","female",56,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","no formal education","numeracy low","decreased error",0.682,0.678
"22",229166066770996,"wave2","Germany","female",56,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","no formal education","numeracy low","decreased error",0.523,0.0133
"23",229166066772029,"wave1","Germany","male",43,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","middle school","numeracy low","no change",0.752,0.678
"24",229166066772029,"wave2","Germany","male",43,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","middle school","numeracy low","no change",0.73,0.211
"25",229166066772032,"wave1","Germany","female",51,"2'500- 4'000€
<4'300- 5'899CHF","> 4'000€
>5'900 CHF","obligatory school","numeracy low","increased error",0.348,0.168
"26",229166066772032,"wave2","Germany","female",51,"2'500- 4'000€
<4'300- 5'899CHF","> 4'000€
>5'900 CHF","obligatory school","numeracy low","increased error",0.417,0.38
"27",229166066774127,"wave1","Germany","male",37,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","middle school","numeracy low","increased error",0.43,-0.178
"28",229166066774127,"wave2","Germany","male",37,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","middle school","numeracy low","increased error",0.728,-0.695
"29",229166066775173,"wave1","Germany","female",24,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","obligatory school","numeracy low","increased error",0.346,-0.149
"30",229166066775173,"wave2","Germany","female",24,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","obligatory school","numeracy low","increased error",0.647,-0.615
"31",229166066778296,"wave1","Germany","female",59,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","middle school","numeracy low","increased error",0.769,0.311
"32",229166066778296,"wave2","Germany","female",59,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","middle school","numeracy low","increased error",1.08,-1.08
"33",229166066778304,"wave1","Germany","male",70,"2'500- 4'000€
<4'300- 5'899CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy high","decreased error",0.488,-0.223
"34",229166066778304,"wave2","Germany","male",70,"2'500- 4'000€
<4'300- 5'899CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy high","decreased error",0.274,-0.0925
"35",229166066778312,"wave1","Germany","male",64,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","decreased error",0.346,0.108
"36",229166066778312,"wave2","Germany","male",64,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","decreased error",0.242,0.123
