"","wave","m","type","energy.level","price.level","age","gender","education","income.wave1","country","politcalorientation","Sum.policy.wave1","mean.abs.error.wave1","Sum.product","climate_concern.wave1","income.wave2","mean.abs.error.wave2","Sum.policy.wave2","Sum.product.wave2","climate_concern.wave2","choice","concern.scaled","mean.error_scaled","income"
"1","wave1",227471319859444,"exp.int_che.hig","1","2",73,"male","middle school","> 4'000€
>5'900 CHF","Germany",3,9,0.57,5,6,"> 4'000€
>5'900 CHF",0.736,6,7,6,1,1.2375,-0.438984097335463,"> 4'000€
>5'900 CHF"
"2","wave1",227471319859444,"exp.int_mid.hig","1","1",73,"male","middle school","> 4'000€
>5'900 CHF","Germany",3,9,0.57,5,6,"> 4'000€
>5'900 CHF",0.736,6,7,6,1,1.2375,-0.438984097335463,"> 4'000€
>5'900 CHF"
"3","wave1",227471319859444,"exp.low_che.hig","2","2",73,"male","middle school","> 4'000€
>5'900 CHF","Germany",3,9,0.57,5,6,"> 4'000€
>5'900 CHF",0.736,6,7,6,1,1.2375,-0.438984097335463,"> 4'000€
>5'900 CHF"
"4","wave1",227471319859444,"exp.low_che.int","1","2",73,"male","middle school","> 4'000€
>5'900 CHF","Germany",3,9,0.57,5,6,"> 4'000€
>5'900 CHF",0.736,6,7,6,0,1.2375,-0.438984097335463,"> 4'000€
>5'900 CHF"
"5","wave1",227471319859444,"exp.low_mid.hig","2","1",73,"male","middle school","> 4'000€
>5'900 CHF","Germany",3,9,0.57,5,6,"> 4'000€
>5'900 CHF",0.736,6,7,6,1,1.2375,-0.438984097335463,"> 4'000€
>5'900 CHF"
"6","wave1",227471319859444,"mid.low_che.hig","2","1",73,"male","middle school","> 4'000€
>5'900 CHF","Germany",3,9,0.57,5,6,"> 4'000€
>5'900 CHF",0.736,6,7,6,1,1.2375,-0.438984097335463,"> 4'000€
>5'900 CHF"
"7","wave1",227471319859444,"mid.low_che.int","1","1",73,"male","middle school","> 4'000€
>5'900 CHF","Germany",3,9,0.57,5,6,"> 4'000€
>5'900 CHF",0.736,6,7,6,0,1.2375,-0.438984097335463,"> 4'000€
>5'900 CHF"
"8","wave1",227471319859447,"exp.int_che.hig","1","2",64,"female","degree","<1'500- 2'499€
3'100-4'299CHF","Germany",5,4,0.421,1,6,"<1'500€
<3'100CHF",0.526,4,1,6,0,1.2375,-0.974520481043898,"<1'500- 2'499€
3'100-4'299CHF"
"9","wave1",227471319859447,"exp.int_mid.hig","1","1",64,"female","degree","<1'500- 2'499€
3'100-4'299CHF","Germany",5,4,0.421,1,6,"<1'500€
<3'100CHF",0.526,4,1,6,1,1.2375,-0.974520481043898,"<1'500- 2'499€
3'100-4'299CHF"
"10","wave1",227471319859447,"exp.low_che.hig","2","2",64,"female","degree","<1'500- 2'499€
3'100-4'299CHF","Germany",5,4,0.421,1,6,"<1'500€
<3'100CHF",0.526,4,1,6,0,1.2375,-0.974520481043898,"<1'500- 2'499€
3'100-4'299CHF"
