Gemeinde;Preise2023
Aadorf ;31,63
Aadorf ;23,4
Aarau ;27,2
Aarberg ;52,23
Aarburg ;28,38
Aarwangen ;23,22
Abtwil ;23,68
Aclens ;32,26
Acquarossa ;29,24
Adelboden ;36,78
Adligenswil ;28,85
Adlikon ;21,88
Adliswil ;21,88
Aedermannsdorf ;31,47
Aefligen ;32,38
Aegerten ;51,53
Aesch (BL) ;31,31
Aesch (LU) ;28,85
Aesch (ZH) ;21,88
Aeschi (SO) ;25,1
Aeschi bei Spiez ;25,5
Aeugst am Albis ;21,88
Affeltrangen ;20,64
Affoltern am Albis ;21,88
Affoltern im Emmental ;25,5
Agarn ;22,75
Agiez ;32,26
Agno ;28,52
Aigle ;32,86
Aire-la-Ville ;24,22
Airolo ;22,9
Alberswil ;28,85
Albinen ;22,75
Albula/Alvra ;20,58
Alchenstorf ;25,5
Allaman ;39,93
Alle ;25,5
Allmendingen ;25,5
Allschwil ;31,31
Alpnach ;29,77
Alpthal ;40,39
Altbüron ;28,85
Altdorf (UR) ;30,66
Altendorf ;37
Altikon ;21,88
Altishofen ;28,85
Altnau ;22,31
Alto Malcantone ;28,52
Altstätten ;28,28
Amden ;27,32
Amlikon-Bissegg ;25,37
Ammerswil ;25,13
Amriswil ;36,49
Amsoldingen ;25,5
Andeer ;12,51
Andelfingen ;12,8
Andermatt ;36,61
Andwil (SG) ;45,02
Anières ;24,22
Anniviers ;30,8
Anwil ;25,65
Appenzell ;26,29
Aranno ;28,52
Arbaz ;30,8
Arbedo-Castione ;21,9
Arboldswil ;25,65
Arbon ;24,86
Arch ;38,1
Ardon ;27,45
Arisdorf ;25,65
Aristau ;18,51
Arlesheim ;31,31
Arnex-sur-Nyon ;31,56
Arnex-sur-Orbe ;32,26
Arni (AG) ;18,06
Arni (BE) ;23,84
Arogno ;28,52
Arosa ;24,97
Arth ;31,02
Arzier-Le Muids ;32,26
Ascona ;25,77
Assens ;32,26
Astano ;28,52
Attalens ;25,35
Attinghausen ;30,66
Attiswil ;25,5
Au (SG) ;29,09
Aubonne ;39,93
Auboranges ;25,35
Auenstein ;25,13
Augst ;25,31
Ausserberg ;24,69
Auswil ;25,5
Autigny ;25,35
Auw ;37,68
Avegno Gordevio ;29,24
Avenches ;26,25
Avers ;13,01
Avry ;25,35
Avully ;24,22
Avusy ;24,22
Ayent ;30,8
Baar ;33,16
Baar ;29,27
Bachenbülach ;21,88
Bachs ;21,88
Bad Ragaz ;27,32
Baden ;25,84
Balerna ;25,43
Balgach ;36,07
Ballaigues ;30,43
Ballens ;32,26
Ballwil ;28,85
Balm bei Günsberg ;25,1
Balsthal ;31,95
Baltschieder ;24,69
Bannwil ;25,5
Bardonnex ;24,22
Bäretswil ;21,88
Bargen (BE) ;26,09
Bargen (SH) ;24,4
Bäriswil ;32,39
Bärschwil ;31,31
Bas-Intyamon ;25,35
Basadingen-Schlattingen ;23,62
Basel ;31,73
Basse-Allaine ;25,5
Bassersdorf ;21,88
Bassins ;31,56
Bätterkinden ;25,5
Bätterkinden ;31,49
Bättwil ;31,31
Baulmes ;32,26
Bauma ;21,88
Bavois ;32,26
Beatenberg ;25,5
Beckenried ;21,53
Bedano ;28,52
Bedigliora ;28,52
Bedretto ;24,37
Beggingen ;24,4
Begnins ;32,66
Begnins ;26,38
Beinwil (Freiamt) ;18,22
Beinwil (SO) ;31,31
Beinwil am See ;21,46
Belfaux ;25,35
Bellach ;25,1
Bellevue ;24,22
Bellikon ;26,3
Bellinzona ;21,9
Bellmund ;38,75
Bellwald ;28,75
Belmont-Broye ;25,35
Belmont-sur-Lausanne ;34,28
Belmont-sur-Yverdon ;31,56
Belp ;37,83
Belprahon ;25,5
Benken (SG) ;26,59
Benken (ZH) ;23,69
Bennwil ;25,65
Bercher ;32,31
Berg (SG) ;45,03
Berg (TG) ;23,4
Berg am Irchel ;21,88
Bergdietikon ;25,13
Bergün Filisur ;30,46
Berikon ;21,28
Beringen ;24,4
Berken ;24
Berlingen ;22,84
Bern ;25,46
Berneck ;27,76
Bernex ;24,22
Berolle ;32,26
Beromünster ;28,85
Besenbüren ;25,61
Bettenhausen ;25,5
Bettens ;31,76
Bettingen ;31,73
Bettlach ;25,1
Bettmeralp ;28,75
Bettwiesen ;23,58
Bettwil ;48,09
Beurnevésin ;25,5
Bever ;28,06
Bex ;32,99
Biasca ;29,24
Biberist ;25
Biberist ;28,54
Biberstein ;27,2
Bichelsee-Balterswil ;27,05
Biel-Benken ;31,31
Biel/Bienne ;31,88
Bière ;39,93
Bière ;32,26
Biezwil ;44,95
Biglen ;20,07
Billens-Hennens ;25,35
Binn ;20,73
Binn ;19,83
Binningen ;31,31
Bioggio ;28,52
Bioley-Magnoux ;32,26
Birmensdorf (ZH) ;21,88
Birmenstorf (AG) ;23,53
Birr ;24,54
Birrhard ;25,13
Birrwil ;20,96
Birsfelden ;31,31
Birwinken ;21,73
Bischofszell ;34,62
Bissone ;28,52
Bister ;28,75
Bitsch ;28,75
Blatten ;25,73
Blauen ;25,5
Bleienbach ;25,5
Blenio ;29,24
Blonay - Saint-Légier ;32,26
Blumenstein ;51,24
Böckten ;25,65
Bodio ;29,24
Boécourt ;25,5
Bofflens ;32,26
Bogis-Bossey ;32,26
Bois-d'Amont ;25,35
Bolken ;25,1
Bolligen ;25,5
Boltigen ;25,5
Bonaduz ;28,47
Boncourt ;24
Bonfol ;25,5
Bönigen ;25,5
Boningen ;26,02
Boniswil ;25,13
Bonstetten ;21,88
Bonvillars ;32,26
Boppelsen ;21,88
Borex ;32,26
Bosco/Gurin ;29,24
Bösingen ;25,35
Bossonnens ;25,35
Boswil ;24,96
Bottens ;32,26
Bottenwil ;27,2
Botterens ;28,62
Bottighofen ;23,31
Bottmingen ;31,31
Böttstein ;25,13
Böttstein ;29,41
Boudry ;33,33
Bougy-Villars ;39,23
Boulens ;31,56
Bourg-en-Lavaux ;32,26
Bourg-Saint-Pierre ;22,69
Bournens ;31,56
Bourrignon ;25,5
Boussens ;31,56
Bovernier ;31,31
Bowil ;25,5
Bözberg ;25,13
Böztal ;24,54
Böztal ;25,13
Braunau ;53,93
Bregaglia ;14,31
Breggia ;28,52
Breil/Brigels ;27,56
Breitenbach ;31,31
Bremblens ;31,56
Bremgarten (AG) ;25,13
Bremgarten (AG) ;19,51
Bremgarten bei Bern ;25,5
Brenzikofen ;25,5
Bretigny-sur-Morrens ;31,56
Bretonnières ;32,26
Bretzwil ;31,31
Brienz (BE) ;31,09
Brienzwiler ;34,96
Brig-Glis ;28,75
Brione sopra Minusio ;29,24
Brislach ;31,31
Brissago ;29,24
Brittnau ;25,13
Broc ;25,35
Brot-Plamboz ;26,75
Brugg ;24,54
Brügg ;36,32
Brunegg ;25,13
Brünisried ;25,35
Brusino Arsizio ;28,52
Brusio ;10,99
Brüttelen ;25,5
Brütten ;21,88
Bubendorf ;25,65
Bubikon ;21,88
Buch (SH) ;24,4
Buch am Irchel ;21,88
