"","ResponseId.wave1","mean.est.bias","mean.abs.error","Conf.level","Trad.lower","Trad.upper","binary","m","frequency_device_4","frequency_device_1","frequency_device_2","frequency_device_3","Duration.wave1","gender","country","income.wave1","education","household_size","politicalorientation_1","Duration.wave2","ResponseId","age","income.wave2","Minutes.wave1","Minutes.wave2","Minutes","climate_concern","concern.scaled","mean.freq","mean.freq.clean","freq.binary"
"1","R_0dg1Hw00DVaqtzz",-0.0742,0.403,0.95,-0.00685,0.813,"under",229678093154327,1,1,1,1,1410,"male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","degree",1,5,1528,"R_1DC5nrZ8uUaZwqY",41,"2'500- 4'000€
<4'300- 5'899CHF",23,25,"okay",5.25,0.328817733990148,1,1,"low"
"2","R_0OfdToodUAnFM6B",-1.08,1.08,0.95,0.436,1.72,"under",229320606084260,2,1,1,2,601,"male","Germany","> 4'000€
>5'900 CHF","middle school",5,3,900,"R_2OGwTX83fhyDNnI",20,"> 4'000€
>5'900 CHF",10,15,"okay",5.25,0.328817733990148,1.5,1.33333333333333,"low"
"3","R_0OolMie4oWOnlJv",-0.0843,0.32,0.95,0.0987,0.542,"under",229678093372428,3,2,1,2,747,"male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","middle school",3,8,1097,"R_2492pCKHqf5dlKi",41,"2'500- 4'000€
<4'300- 5'899CHF",12,18,"okay",2.75,-2.17118226600985,2,1.66666666666667,"high"
"4","R_0TmEasAMNDaTx73",-0.342,0.565,0.95,0.313,0.818,"under",229255657997387,2,1,1,1,1630,"female","Germany","<1'500- 2'499€
3'100-4'299CHF","degree",1,6,1415,"R_2uTLa7HMnc5Gs9E",28,"<1'500- 2'499€
3'100-4'299CHF",27,23,"okay",4,-0.921182266009852,1.25,1,"low"
"5","R_10TQ9M87QSuIqpq",-0.551,0.63,0.95,0.184,1.08,"under",229677069783098,1,2,1,2,977,"male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,2,1317,"R_1mt96mbxkfZ8oJc",63,"2'500- 4'000€
<4'300- 5'899CHF",16,21,"okay",6,1.07881773399015,1.5,1.66666666666667,"high"
"6","R_10ZfwML5Q6HbOBv",0.442,0.683,0.95,0.255,1.11,"over",230296025238534,2,2,2,2,975,"female","Switzerland","<1'500- 2'499€
3'100-4'299CHF","obligatory school",4,4,1272,"R_1pyPj6pxQTGpmoY",36,"<1'500- 2'499€
3'100-4'299CHF",16,21,"okay",6,1.07881773399015,2,2,"high"
"7","R_114x80EEaCoWOK0",0.0948,0.68,0.95,0.223,1.14,"over",229321437670402,1,1,1,2,905,"male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",3,2,1519,"R_3xe9GWONYDTpSKZ",46,"2'500- 4'000€
<4'300- 5'899CHF",15,25,"okay",5.75,0.828817733990148,1.25,1.33333333333333,"low"
"8","R_11bfomFynMxQ2HS",-0.11,0.701,0.95,0.382,1.02,"under",229256171561183,1,1,1,1,724,"male","Switzerland","<1'500€
<3'100CHF","obligatory school",1,1,11181,"R_2e4gsRcT2FLvlEh",53,"<1'500- 2'499€
3'100-4'299CHF",12,186,"okay",5.75,0.828817733990148,1,1,"low"
"9","R_11crUzIYPdbRfiF",-0.114,0.73,0.95,0.198,1.26,"under",229320605939886,1,2,1,2,1111,"female","Germany","> 4'000€
>5'900 CHF","degree",2,3,680,"R_stD5sQvmIeLJCtr",29,"> 4'000€
>5'900 CHF",18,11,"okay",6,1.07881773399015,1.5,1.66666666666667,"high"
"10","R_122NLeAz7IQz6Db",0.521,0.535,0.95,0.188,0.883,"over",229409893558502,1,2,1,1,985,"male","Germany","> 4'000€
>5'900 CHF","degree",2,7,1151,"R_24pwPmPBXaNb1Jp",73,"> 4'000€
>5'900 CHF",16,19,"okay",6,1.07881773399015,1.25,1.33333333333333,"low"
"11","R_123mcZ5Ghsa8y8U",-0.378,0.674,0.95,0.0846,1.26,"under",229409893567654,1,1,1,1,1347,"female","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,9,1337,"R_2pVN9xJPvGeQwTl",56,"2'500- 4'000€
<4'300- 5'899CHF",22,22,"okay",6,1.07881773399015,1,1,"low"
"12","R_1253hukGlxFYfER",0.36,0.592,0.95,0.326,0.859,"over",229255657952395,3,2,1,1,1815,"male","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",1,4,1206,"R_ZvZNUw4EfkNkyCl",28,"<1'500- 2'499€
3'100-4'299CHF",30,20,"okay",6,1.07881773399015,1.75,1.33333333333333,"low"
"13","R_12DTHefOjls1akp",-0.179,0.467,0.95,0.239,0.696,"under",229409893556414,2,2,2,2,1025,"female","Germany","2'500- 4'000€
<4'300- 5'899CHF","degree",5,6,1282,"R_yEXDxhzyve1juHD",39,"2'500- 4'000€
<4'300- 5'899CHF",17,21,"okay",6,1.07881773399015,2,2,"high"
"14","R_12i4SXq1sTQbnI2",-0.759,1.08,0.95,0.712,1.45,"under",229678093243470,1,1,1,2,2686,"female","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","middle school",1,6,831,"R_3PB2Ltxuh03nSYU",46,"2'500- 4'000€
<4'300- 5'899CHF",44,13,"okay",4,-0.921182266009852,1.25,1.33333333333333,"low"
"15","R_12KA26bT3vvPUxO",0.411,0.528,0.95,0.126,0.931,"over",229855352032472,2,1,1,2,1337,"female","Germany","> 4'000€
>5'900 CHF","degree",2,5,1690,"R_3K7ud1ITarVlcMF",65,"> 4'000€
>5'900 CHF",22,28,"okay",4.75,-0.171182266009852,1.5,1.33333333333333,"low"
"16","R_12McFRO8avvy3pt",-1.02,1.04,0.95,0.556,1.52,"under",229320605959210,2,2,2,2,786,"female","Germany","<1'500€
<3'100CHF","no formal education",3,5,1782,"R_1Q5SORbIaDcvhXw",43,"<1'500€
<3'100CHF",13,29,"okay",5.25,0.328817733990148,2,2,"high"
"17","R_12nkx2QU4KAOjzq",-0.0313,0.493,0.95,0.423,0.563,"under",229256171672827,1,3,3,3,1784,"male","Switzerland","> 4'000€
>5'900 CHF","degree",4,8,1773,"R_WetzP6sCYnlwhs5",57,"> 4'000€
>5'900 CHF",29,29,"okay",3.25,-1.67118226600985,2.5,3,"high"
"18","R_12sASZ4D9fY0jtV",0.36,0.869,0.95,0.331,1.41,"over",229242450030694,2,2,2,2,1054,"male","Switzerland","> 4'000€
>5'900 CHF","obligatory school",4,5,1383,"R_w5XWAQ49QLmCWfD",33,"> 4'000€
>5'900 CHF",17,23,"okay",4.25,-0.671182266009852,2,2,"high"
"19","R_12zZPiBUIW0qjxi",0.532,0.669,0.95,0.283,1.06,"over",229678093270176,1,1,1,3,2102,"male","Switzerland","<1'500- 2'499€
3'100-4'299CHF","obligatory school",2,5,2848,"R_3NEcJYl36tldrhz",75,"<1'500- 2'499€
3'100-4'299CHF",35,47,"okay",5.25,0.328817733990148,1.5,1.66666666666667,"high"
"20","R_1C4wdUlbfbQ1hML",-0.223,0.488,0.95,0.122,0.854,"under",229166066778304,1,1,1,1,1477,"male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",1,3,1453,"R_8hNT7jXVSBb9qhP",70,"<1'500- 2'499€
3'100-4'299CHF",24,24,"okay",5.25,0.328817733990148,1,1,"low"
"21","R_1CaoCMfaarSxBtF",-0.812,0.812,0.95,0.303,1.32,"under",229242449956909,3,1,1,2,1303,"male","Switzerland","> 4'000€
>5'900 CHF","obligatory school",2,7,1628,"R_Rkm2OIdJcP6tieZ",74,"> 4'000€
>5'900 CHF",21,27,"okay",4,-0.921182266009852,1.75,1.33333333333333,"low"
"22","R_1CdA8mHseMZSYAc",-0.499,0.645,0.95,0.396,0.894,"under",229242295761139,1,1,1,1,833,"male","Germany","<1'500€
<3'100CHF","middle school",1,5,2028,"R_sziDyRIyZS2XPAR",51,"<1'500€
<3'100CHF",13,33,"okay",3.75,-1.17118226600985,1,1,"low"
"23","R_1Cf6yTr5MYyJtR8",0.221,0.425,0.95,0.202,0.648,"over",229677069772955,3,2,2,2,1387,"female","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",2,6,1571,"R_88FkXzzd92InUJP",73,"2'500- 4'000€
<4'300- 5'899CHF",23,26,"okay",6,1.07881773399015,2.25,2,"high"
