"","ResponseId.wave1","m","Sum","Duration.wave1","gender","country","income.wave1","education","household_size","politcalorientation","ResponseId","age","Minutes.wave1","Minutes","climate_concern","concern.scaled","exp.low_che.int","exp.low_che.hig","exp.low_mid.hig","exp.int_che.hig","exp.int_mid.hig","mid.low_che.int","mid.low_che.hig","percent"
"1","R_0dg1Hw00DVaqtzz",229678093154327,3,1410,"male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","degree",1,5,"R_1DC5nrZ8uUaZwqY",41,23,"okay",5.25,0.328817733990148,0,0,1,0,1,0,1,0.428571428571429
"2","R_0OfdToodUAnFM6B",229320606084260,4,601,"male","Germany","> 4'000€
>5'900 CHF","middle school",5,3,"R_2OGwTX83fhyDNnI",20,10,"okay",5.25,0.328817733990148,1,0,1,0,0,1,1,0.571428571428571
"3","R_0OolMie4oWOnlJv",229678093372428,5,747,"male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","middle school",3,8,"R_2492pCKHqf5dlKi",41,12,"okay",2.75,-2.17118226600985,0,1,1,0,1,1,1,0.714285714285714
"4","R_0TmEasAMNDaTx73",229255657997387,2,1630,"female","Germany","<1'500- 2'499€
3'100-4'299CHF","degree",1,6,"R_2uTLa7HMnc5Gs9E",28,27,"okay",4,-0.921182266009852,0,0,1,0,0,0,1,0.285714285714286
"5","R_10TQ9M87QSuIqpq",229677069783098,2,977,"male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,2,"R_1mt96mbxkfZ8oJc",63,16,"okay",6,1.07881773399015,0,0,1,0,1,0,0,0.285714285714286
"6","R_10ZfwML5Q6HbOBv",230296025238534,6,975,"female","Switzerland","<1'500- 2'499€
3'100-4'299CHF","obligatory school",4,4,"R_1pyPj6pxQTGpmoY",36,16,"okay",6,1.07881773399015,0,1,1,1,1,1,1,0.857142857142857
"7","R_114x80EEaCoWOK0",229321437670402,3,905,"male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",3,2,"R_3xe9GWONYDTpSKZ",46,15,"okay",5.75,0.828817733990148,0,0,1,0,0,1,1,0.428571428571429
"8","R_11bfomFynMxQ2HS",229256171561183,5,724,"male","Switzerland","<1'500€
<3'100CHF","obligatory school",1,1,"R_2e4gsRcT2FLvlEh",53,12,"okay",5.75,0.828817733990148,0,1,1,1,1,0,1,0.714285714285714
"9","R_11crUzIYPdbRfiF",229320605939886,0,1111,"female","Germany","> 4'000€
>5'900 CHF","degree",2,3,"R_stD5sQvmIeLJCtr",29,18,"okay",6,1.07881773399015,0,0,0,0,0,0,0,0
"10","R_122NLeAz7IQz6Db",229409893558502,7,985,"male","Germany","> 4'000€
>5'900 CHF","degree",2,7,"R_24pwPmPBXaNb1Jp",73,16,"okay",6,1.07881773399015,1,1,1,1,1,1,1,1
"11","R_123mcZ5Ghsa8y8U",229409893567654,5,1347,"female","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,9,"R_2pVN9xJPvGeQwTl",56,22,"okay",6,1.07881773399015,0,1,1,1,1,0,1,0.714285714285714
"12","R_1253hukGlxFYfER",229255657952395,3,1815,"male","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",1,4,"R_ZvZNUw4EfkNkyCl",28,30,"okay",6,1.07881773399015,0,0,1,0,1,0,1,0.428571428571429
"13","R_12DTHefOjls1akp",229409893556414,3,1025,"female","Germany","2'500- 4'000€
<4'300- 5'899CHF","degree",5,6,"R_yEXDxhzyve1juHD",39,17,"okay",6,1.07881773399015,0,1,1,0,0,0,1,0.428571428571429
"14","R_12i4SXq1sTQbnI2",229678093243470,1,2686,"female","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","middle school",1,6,"R_3PB2Ltxuh03nSYU",46,44,"okay",4,-0.921182266009852,0,0,0,0,0,0,1,0.142857142857143
"15","R_12KA26bT3vvPUxO",229855352032472,0,1337,"female","Germany","> 4'000€
>5'900 CHF","degree",2,5,"R_3K7ud1ITarVlcMF",65,22,"okay",4.75,-0.171182266009852,0,0,0,0,0,0,0,0
"16","R_12McFRO8avvy3pt",229320605959210,7,786,"female","Germany","<1'500€
<3'100CHF","no formal education",3,5,"R_1Q5SORbIaDcvhXw",43,13,"okay",5.25,0.328817733990148,1,1,1,1,1,1,1,1
"17","R_12nkx2QU4KAOjzq",229256171672827,2,1784,"male","Switzerland","> 4'000€
>5'900 CHF","degree",4,8,"R_WetzP6sCYnlwhs5",57,29,"okay",3.25,-1.67118226600985,0,0,1,0,1,0,0,0.285714285714286
"18","R_12sASZ4D9fY0jtV",229242450030694,7,1054,"male","Switzerland","> 4'000€
>5'900 CHF","obligatory school",4,5,"R_w5XWAQ49QLmCWfD",33,17,"okay",4.25,-0.671182266009852,1,1,1,1,1,1,1,1
"19","R_12zZPiBUIW0qjxi",229678093270176,7,2102,"male","Switzerland","<1'500- 2'499€
3'100-4'299CHF","obligatory school",2,5,"R_3NEcJYl36tldrhz",75,35,"okay",5.25,0.328817733990148,1,1,1,1,1,1,1,1
"20","R_1C4wdUlbfbQ1hML",229166066778304,6,1477,"male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",1,3,"R_8hNT7jXVSBb9qhP",70,24,"okay",5.25,0.328817733990148,0,1,1,1,1,1,1,0.857142857142857
"21","R_1CaoCMfaarSxBtF",229242449956909,1,1303,"male","Switzerland","> 4'000€
>5'900 CHF","obligatory school",2,7,"R_Rkm2OIdJcP6tieZ",74,21,"okay",4,-0.921182266009852,0,0,1,0,0,0,0,0.142857142857143
