"","m","Duration.wave1","ResponseId.wave1","gender","country","income.wave1","education","household_size","politicalorientation_1","Duration.wave2","ResponseId","age","income.wave2"
"1",227471319859444,1022,"R_8q6n1RRt6MyyXex","male","Germany","> 4'000€
>5'900 CHF","middle school",2,3,1157,"R_tE6MoKzmZtjFxD3",73,"> 4'000€
>5'900 CHF"
"2",227471319859447,1366,"R_3037BPovs68z8Wp","female","Germany","<1'500- 2'499€
3'100-4'299CHF","degree",2,5,2392,"R_Ojo34qwq19Vpce5",64,"<1'500€
<3'100CHF"
"3",227471450945619,1465,"R_eFZQYTp4gO6YksF","female","Switzerland","> 4'000€
>5'900 CHF","degree",5,4,1572,"R_2qw808RHTW32LfJ",57,"2'500- 4'000€
<4'300- 5'899CHF"
"4",227471450957862,574,"R_DqafDJUij6pOidj","female","Switzerland","> 4'000€
>5'900 CHF","no formal education",3,4,851,"R_1oqkBndhcpDZMqi",41,"2'500- 4'000€
<4'300- 5'899CHF"
"5",229166066768913,10587,"R_1DHkbYKKczezY5F","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","no formal education",2,5,2617,"R_5ubF1SY3fuyTBgB",52,"2'500- 4'000€
<4'300- 5'899CHF"
"6",229166066768915,1200,"R_sSR9IooKusigb73","male","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",1,7,639,"R_3rS4w78ysOQsr12",35,"<1'500- 2'499€
3'100-4'299CHF"
"7",229166066769952,714,"R_3000hwBRNJeHRkh","male","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",1,5,1107,"R_1JWxlIuMDhQbBIo",35,"<1'500- 2'499€
3'100-4'299CHF"
"8",229166066770991,697,"R_3ffPXWQN4a5pytn","male","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",1,5,886,"R_3nAgm8GpHtzVUDU",69,"<1'500- 2'499€
3'100-4'299CHF"
"9",229166066770993,1609,"R_O8b53p7xh5bwplT","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,5,4263,"R_1mPZTN6F4Yrwu6f",58,"2'500- 4'000€
<4'300- 5'899CHF"
"10",229166066770995,1721,"R_3pur3flLVeCyf0a","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,5,3500,"R_1Nwcl43Ai659iKk",50,"<1'500- 2'499€
3'100-4'299CHF"
