m,(Intercept),co2-30% CO2,tax+6%,energieabhaengigkeit+20%,zeitpunktin 7 Jahren,ResponseId,gender,age,country,income.wave1,education,climate_concern,concern.scaled
227471319859444,3.3504247352564946,0.30758556259328396,-1.4626819532236377,0.05588044720129459,-4.629785412963417,R_8q6n1RRt6MyyXex,male,73,Germany,"> 4'000€
>5'900 CHF",middle school,6,1.2374999999999998
227471319859447,1.5581580292725294,0.6124843049049287,-4.741323438235339,0.40917670171812814,-4.140011682471172,R_3037BPovs68z8Wp,female,64,Germany,"<1'500- 2'499€
3'100-4'299CHF",degree,6,1.2374999999999998
227471450945619,2.2914489308871966,0.6561890839887607,0.6145362377178429,0.21015598485498585,-4.794385172680667,R_eFZQYTp4gO6YksF,female,57,Switzerland,"> 4'000€
>5'900 CHF",degree,5.25,0.4874999999999998
227471450957862,-2.1864874653063024,0.23654871917192344,-2.1826063115506256,0.22393792884880998,-1.0673285753289563,R_DqafDJUij6pOidj,female,41,Switzerland,"> 4'000€
>5'900 CHF",no formal education,3,-1.7625000000000002
229166066768913,0.9049214701941877,0.37223186122262564,-4.962919719033086,0.3094595100850702,-0.2868489604410822,R_1DHkbYKKczezY5F,male,52,Germany,"2'500- 4'000€
<4'300- 5'899CHF",no formal education,5,0.23749999999999982
229166066768915,2.6382056313641424,0.5786409697107547,-6.573875871267578,0.43306483307304267,-0.3020284376745719,R_sSR9IooKusigb73,male,35,Germany,"<1'500- 2'499€
3'100-4'299CHF",middle school,4.75,-0.012500000000000178
229166066769952,3.549307647682572,0.5297585446265641,-0.8576500691768092,0.1655732050484539,-0.5256153059547235,R_3000hwBRNJeHRkh,male,35,Germany,"<1'500- 2'499€
3'100-4'299CHF",obligatory school,4,-0.7625000000000002
229166066770991,-2.186487465306302,0.23654871917192388,-2.1826063115506265,0.22393792884881022,-1.0673285753289574,R_3ffPXWQN4a5pytn,male,69,Germany,"<1'500- 2'499€
3'100-4'299CHF",middle school,5,0.23749999999999982
229166066770993,2.1051342537411237,0.9023203288243706,-6.0060873975419256,0.6116500370722999,-1.6725170012048853,R_O8b53p7xh5bwplT,male,58,Germany,"2'500- 4'000€
<4'300- 5'899CHF",obligatory school,5.25,0.4874999999999998
229166066770995,0.17019483811536107,-0.038422782987321824,1.1299612700552757,-0.12888124764566306,-0.7339739331201214,R_3pur3flLVeCyf0a,male,50,Germany,"2'500- 4'000€
<4'300- 5'899CHF",obligatory school,4.75,-0.012500000000000178
